gene bait_usage
29127 2
29844 2
80829 2
25894 2
391723 2
10464 2
552900 2
654483 1
374462 2
57634 1
199223 2
101928527 2
102724428 1
11343 1
2993 2
6404 2
55890 2
54556 2
10201 2
23200 2
27033 2
5727 2
123688 2
80032 2
24139 2
9922 2
123016 2
780 2
100130520 2
825 2
2176 2
2202 2
5546 2
6049 2
9050 2
22899 2
27232 2
54971 2
55454 2
55342 2
57679 2
79777 2
83549 2
151531 2
550643 2
2543 2
100505478 2
647135 2
5602 2
8621 2
9674 2
7284 2
65095 2
84561 2
54502 2
79989 2
203062 2
79733 2
580 2
55236 2
57488 2
83850 2
219541 2
80726 2
102724631 2
57698 2
79064 2
130106 2
140711 2
152573 2
389549 2
144404 2
643236 2
645104 2
152078 2
79658 2
90835 2
340069 2
337963 2
338440 2
63027 1
115703 2
338699 2
54959 2
130074 2
10994 2
441631 2
284184 2
644186 2
26030 2
729422 2
729428 2
729431 2
100132399 2
54754 2
284297 2
123722 2
285590 2
137392 2
400120 2
257019 2
138639 2
6194 2
124093 2
162967 2
253769 2
155006 1
51594 2
123283 2
219854 2
9840 2
440087 2
57613 2
129450 2
343263 2
440955 2
340204 2
149069 2
282969 2
5001 2
222255 2
340277 2
54103 2
85865 2
29062 2
346689 2
401409 2
136242 2
3624 2
255374 2
10652 2
816 1
392862 2
8969 2
8329 2
8330 2
8332 2
8336 2
10903 2
79729 2
134121 2
129446 2
348174 2
55048 1
115948 2
5662 2
84626 2
80006 2
285242 2
23019 2
445328 2
57571 2
50618 2
392307 2
283234 1
123103 2
390243 2
644815 1
401994 2
554235 2
342979 2
283871 2
255275 2
340390 2
653657 2
91433 2
378950 2
84218 2
285679 2
644096 2
388939 1
441161 2
780776 2
388743 2
344787 2
79861 1
100170841 2
23347 2
343930 2
143872 2
196074 2
284338 2
342933 2
142686 2
644943 2
80003 2
138715 2
7355 2
342931 2
388333 1
642843 1
22829 2
127255 1
8933 2
57644 2
9743 2
9755 2
84530 2
4978 2
100287171 2
8773 2
5704 2
124599 2
655 2
131377 2
9370 2
5518 2
9814 2
146540 1
64147 2
112479 2
255877 2
375791 1
6285 2
201254 2
79740 2
730112 2
344022 2
92482 2
751071 2
389136 2
613227 2
255809 2
253012 2
51105 2
441925 2
389207 2
440836 2
342900 2
402569 2
9474 2
57409 2
207 1
1719 2
9200 2
4174 2
553158 2
6595 2
2786 2
10277 2
92181 2
5567 2
3767 2
728194 2
222967 2
4598 1
387911 1
4649 2
388468 2
402117 2
388588 2
284067 2
