node1 node2
9604 2908
9604 8031
9604 2099
9604 7324
9604 FAM46A
9604 367
55585 10273
9921 C1orf103
9921 1915
9921 7088
9921 10813
9921 1287
9921 60492
9921 9869
26994 C1orf124
26994 11060
26994 83737
26994 11059
26994 4734
26994 51619
26994 10617
26994 7322
26994 8078
26994 2074
26994 7321
26994 8737
26994 9372
26994 8517
26994 10422
26994 QARS
26994 4646
26994 11201
26994 133957
26994 2060
26994 64750
26994 10075
26994 29978
26994 10241
26994 9765
26994 56893
26994 5788
26994 6625
26994 868
26994 6233
26994 10133
26994 27342
26994 29924
26994 55040
26994 22905
26994 26088
26994 54165
26994 23163
26994 10318
26994 6386
26994 8887
26994 8925
26994 7334
26994 165918
26994 10015
26994 7128
26994 23327
26994 7311
26994 8924
26994 59348
26994 146691
26994 7314
26994 7316
26994 84164
26994 10254
28954 7534
28954 783
28954 782
28954 10971
28954 785
28954 7533
28954 7531
57132 23020
57132 25904
57132 C15orf23
57132 6749
57132 128866
57132 10617
57132 8045
57132 8766
57132 8802
57132 27183
57132 9525
57132 5119
57132 51510
5372 5870
445 2006
445 84164
445 64400
445 369
2272 7329
2272 6714
2272 3329
2272 2232
2272 2934
163051 382
22795 3915
22795 1305
22795 2006
22795 6498
22795 3339
8536 4842
8536 10014
8536 801
8536 8672
8536 2597
8536 10645
8536 84254
8536 466
8536 6853
6697 818
286075 4188
814 4842
814 9759
814 2597
814 10645
814 84254
814 5970
814 1387
84872 11030
84872 6310
55905 26289
27246 SSSCA1
27246 7879
79882 54474
79882 23265
6693 1616
6693 2534
6693 7430
6693 1499
6693 4478
6693 3383
6693 3956
6693 6614
54778 4092
54778 4091
54778 64750
54778 8312
54778 4088
2902 5518
2902 2521
2902 6709
2902 3265
2902 TUBA4
2902 1499
2902 5605
2902 5335
2902 7187
2902 1759
2902 1213
2902 11113
2902 821
2902 1741
2902 1740
2902 1742
2902 801
2902 4747
2902 4133
2902 4627
2902 3192
2902 116443
2902 3303
2902 22839
2902 1846
2902 1000
2902 2048
2902 5911
2902 4763
2902 2050
2902 5520
2902 5579
2902 5581
2902 815
2902 5582
2902 5327
2902 8831
2902 6670
2902 7082
2902 88
2902 6197
2902 340719
2902 7804
2902 10142
2902 1812
2902 2904
2902 2903
2902 2906
2902 9118
23761 221955
23761 54505
1660 6607
1660 672
1660 6606
1660 6749
1660 10657
1660 10594
1660 3725
1660 2959
1660 26993
1660 SIP1
1660 MGEA5
1660 3183
1660 7153
1660 5111
1660 3069
1660 10482
1660 3276
1660 11218
1660 5430
1660 6628
1660 6732
1660 5970
1660 6780
1660 6629
1660 6908
1660 50628
1660 8932
1660 3609
6949 5111
6949 10528
6949 7343
6949 1459
4928 4927
4928 1104
4928 3843
4928 23636
4928 10482
4928 55746
4928 6396
4928 3837
4928 3842
4928 7175
4928 2033
4928 1387
4928 8480
7508 5887
7508 5886
7508 2965
7508 2071
7508 6996
7508 1069
7508 27258
7508 4086
7508 1643
6667 3312
6667 55729
6667 5914
6667 2113
6667 4609
6667 RNASEN
6667 672
6667 6464
6667 6670
6667 6671
6667 8863
6667 4088
6667 1457
6667 595
6667 80063
6667 5928
6667 914
6667 3091
6667 6663
6667 1958
6667 3725
6667 10291
6667 2516
6667 57708
6667 6874
6667 2100
6667 2099
6667 6908
6667 3172
6667 4208
6667 C14orf106
6667 4209
6667 3065
6667 3066
6667 7528
6667 4089
6667 4087
6667 5591
6667 5966
6667 9612
6667 9611
6667 7704
6667 7025
6667 5595
6667 5594
6667 5371
6667 6886
6667 5933
6667 6256
6667 3159
6667 54880
6667 7157
6667 2033
6667 5970
6667 1870
6667 7428
6667 SKIV2L2
6667 30812
6667 6721
6667 6720
6667 26574
6667 2551
6667 4801
6667 4800
6667 1997
6667 4656
6667 1051
6667 7071
6667 4654
6667 3054
6667 5925
6667 1316
6667 9314
6667 4487
6667 5705
6667 4846
6667 51341
6667 367
6667 10848
6667 1871
6667 836
6667 1869
6667 8473
6667 23126
6667 5813
6667 3064
6667 604
6667 5451
7507 2961
7507 11186
7507 29935
7507 2965
7507 472
7507 6117
7507 2074
7507 6118
7507 545
7507 11321
7507 2067
7507 1643
7507 5591
7507 56949
6670 3065
6670 7329
6670 3066
6670 51341
6670 1869
6670 2099
6670 7341
6670 2033
6670 5925
6670 5928
6670 8859
6670 7157
6670 2551
6670 8554
6671 51341
6671 1869
KLRA1 5777
79012 6919
57799 114034
57799 5662
1294 284217
1294 3312
1294 29066
1294 649
1294 2335
1294 25827
1294 7057
1294 1282
1294 1277
1294 3918
1294 3914
1294 4313
1294 92799
1294 3911
567 912
567 913
567 910
567 10859
567 909
567 3107
567 3106
567 811
567 3135
567 3134
567 3133
567 2
567 BAT3
567 11098
567 925
567 2217
567 3077
567 3105
25936 79003
25936 23468
25936 79980
3680 FIGF
3680 6303
3680 3688
3680 6696
3680 5829
7357 6252
7357 10313
487 5350
487 6588
487 3667
487 8660
488 815
488 8660
488 3667
488 5350
488 6271
488 596
489 3667
3672 4146
3672 3688
3672 1295
3672 550
3672 284217
3672 7094
3672 1305
3672 5771
3672 274
3673 3688
3673 284217
3673 1295
3673 58
3673 3339
3673 550
3673 1278
3673 1277
3673 928
3673 4312
3675 3688
3675 11234
3675 7077
3675 2335
3675 3329
3675 811
3675 3732
3675 8754
3675 2274
3675 977
3675 3964
3675 7106
3675 5877
3675 274
3675 928
3676 3688
3676 3695
3676 2335
3676 9404
3676 975
3676 3386
3676 3732
3676 1462
3676 3964
3676 5566
3676 5829
3676 7041
3676 8174
3676 8726
3676 10863
3676 5573
6014 5365
6014 MLLT4
6014 5900
6014 6654
6014 801
6014 23179
6014 3265
6014 6018
6014 5457
6016 57154
6016 5764
6016 59349
6016 C1orf103
6016 5900
6016 23179
6016 6018
6016 4087
6016 4088
6016 MLLT4
6016 160
6016 3475
6016 8452
3679 2274
3679 2275
3679 4653
3679 1134
7201 7200
7201 408
10260 7532
23075 1951
23075 142
23075 3500
10113 7046
10113 4086
22822 4188
22822 5359
22822 8761
22822 3308
22822 8664
22822 9045
22822 22824
22822 83755
55325 823
2596 1996
2596 801
2596 6709
2596 5579
2596 5580
2596 5333
2596 9135
2596 1457
59340 2775
59340 2769
59340 6360
59340 2770
54850 1028
54850 7046
54850 4086
54850 5349
3274 114928
80028 10241
80028 83755
80028 5359
2922 2925
2922 1803
2922 4224
2922 4225
ZFP161 ZNF295
1288 1634
1288 4147
1288 2335
1288 351
1288 22918
1288 5008
1288 3026
1288 4318
1288 2199
1288 5270
1287 1634
1287 4147
1287 2335
1287 351
1287 22918
1287 5008
1287 3026
1287 4318
1287 2199
1287 5270
1286 1634
1286 4147
1286 2335
1286 118429
1286 22918
1286 6288
1286 7045
1286 5008
1286 3026
1286 4318
1286 2199
1286 5270
1285 1634
1285 4147
1285 COL4A3BP
1285 7399
1285 2335
1285 118429
1285 351
1285 22918
1285 816
1285 7045
1285 5008
1285 4237
1285 3026
1285 4318
1285 2199
1285 6288
1285 5270
1284 4147
1284 651
1284 3026
1284 2335
1284 118429
1284 351
1284 22918
1284 633
1284 55729
1284 7045
1284 5008
1284 6288
1284 1282
1284 4318
1284 2199
1284 FAM46A
1284 5270
1284 6498
1282 1634
1282 2199
1282 4147
1282 651
1282 2335
1282 351
1282 6291
1282 325
1282 22918
1282 6288
1282 4086
1282 6289
1282 4811
1282 7045
1282 5008
1282 3026
1282 4318
1282 43
1282 5270
2896 6590
2896 1991
2896 348487
2896 8328
