node1 node2
RNF14 VDR
RNF14 UBE2D4
RNF14 UBE2D2
RNF14 UBE2D3
RNF14 UBE2D1
RNF14 CTNNB1
RNF14 DET1
RNF14 ECT2
RNF14 FAM46A
RNF14 HNF1A
RNF14 PNPLA7
RNF14 TCF4
RNF14 TCF3
RNF14 HNRNPA1
RNF14 UBE2E1
RNF14 UBE2E3
RNF14 UBE2E2
RNF14 AR
RNF14 DACH1
RNF14 UBE2V1
RNF14 LEF1
RNF14 VTN
RNF14 TAGLN
RNF14 TNFAIP3
RNF14 PHF7
RNF14 UBE2U
RNF14 UBE2W
UBE2Q1 SNW1
UBE2Q1 TP53
UBE2Q1 LYPD3
UBE2Q1 KIAA0368
UBE2Q1 STUB1
UBE2Q1 C3AR1
UBE2Q1 ERP44
UBE2Q1 IRF2BPL
UBE2Q1 MFSD11
UBE2Q1 FHL3
UBE2Q1 TCEAL1
UBE2Q1 USP11
UBE2Q1 C1QTNF2
UBE2Q1 HTR2C
UBE2Q1 RNF7
UBE2Q1 RNF26
UBE2Q1 GPR161
UBE2Q1 SRPRB
UBE2Q2 CAPZB
UBE2Q2 PCGF2
UBE2Q2 ELAVL1
UBE2Q2 BIRC3
UBE2Q2 ARPC2
UBE2Q2 UBA1
UBE2Q2 MYO1C
UBE2Q2 BIRC2
UBE2Q2 PRMT5
UBE2Q2 RC3H2
UBE2Q2 RNF111
UBE2Q2 DBN1
UBE2Q2 ARPC4
UBE2Q2 ACTG1
UBE2Q2 WDR77
UBE2Q2 GSN
RNF10 KDM1A
RNF10 MOV10
RNF10 UBE2J2
RNF10 EEF1A1
RNF10 TLE1
RNF10 UBE2D2
RNF10 UBE2D3
RNF10 UBE2D1
RNF10 MEOX2
RNF10 XPO1
RNF10 LRIF1
RNF10 TERF1
RNF10 CCDC90B
RNF10 UBE2D4
RNF10 NXF1
RNF10 TRIM26
RNF10 UBE2E1
RNF10 UBE2E3
RNF10 UBE2E2
RNF10 UTP14A
RNF10 UBTD1
RNF10 UBE2V1
RNF10 MDM2
RNF10 SHMT2
RNF10 TARDBP
RNF10 UBE2I
RNF10 UBE2H
RNF10 UBE2O
RNF10 ENO1
RNF10 SETDB1
RNF10 GRB2
RNF10 SNCA
RNF10 HSP90AA1
RNF10 UBE2U
RNF10 UBE2W
RNF11 WWP2
RNF11 WWP1
RNF11 AKT1
RNF11 IKBKG
RNF11 IKBKE
RNF11 QARS
RNF11 ZFYVE16
RNF11 CBLB
RNF11 AUP1
RNF11 CSNK1G3
RNF11 TNIP1
RNF11 CSNK2A1
RNF11 ZFYVE9
RNF11 APP
RNF11 UBA52
RNF11 BMPR2
RNF11 UBB
RNF11 UBC
RNF11 RNF216
RNF11 UBE2D4
RNF11 RPS27A
RNF11 UBE2D2
RNF11 UBE2D3
RNF11 UBE2D1
RNF11 AP2B1
RNF11 CCDC127
RNF11 AP2S1
RNF11 SMURF2
RNF11 UBE2E1
RNF11 EPN1
RNF11 UBE2E3
RNF11 UBE2E2
RNF11 DCUN1D1
RNF11 EPN3
RNF11 TBK1
RNF11 UBE2O
RNF11 UBE2N
RNF11 SLC25A48
RNF11 PSMD14
RNF11 PSMD11
RNF11 PSMD10
RNF11 TNFAIP3
RNF11 PSMD12
RNF11 ZNF350
RNF11 ASCC2
RNF11 UBE2U
RNF11 SOAT1
RNF11 ANKRD13A
RNF11 SMAD4
RNF11 STAMBP
RNF11 SDCBP
RNF11 TNFRSF10B
RNF11 POLI
RNF11 TNPO2
RNF11 OPTN
RNF11 STAT1
RNF11 NEDD4
RNF11 AP2M1
RNF11 SNRNP70
RNF11 PSMD7
