gene study_attention
1801 18
22894 42
115548 23
129807 21
51741 135
115992 46
5598 22
79442 3
22943 10
5331 9
55 19
23510 17
26986 2
3934 74
57187 81
283870 39
29903 33
170575 44
2326 6
51213 20
253980 1
55133 24
89832 24
1139 5
283450 8
687 3
27131 1
65124 36
286464 2
84795 4
4111 2
148418 21
27232 1
7450 17
9937 8
649 3
3125 42
6718 3
5217 7
11216 46
2523 2
158326 16
80243 1
4697 2
340075 4
337967 220
219333 4
1412 182
8687 26
10239 24
54512 73
353139 4
114897 64
166647 44
7481 9
221143 4
344658 20
10102 6
50614 9
25798 1
84255 1
10921 2
199731 20
602 195
2313 5
871 1
10640 9
4102 5
51312 39
51429 67
1112 14
102723553 1
54065 59
6227 18
146206 5
26091 15
26234 23
11160 4
1329 16
9053 2
26355 26
6536 69
362 56
79849 31
2766 10
84307 5
30817 6
2624 1
549 6
7366 3
163223 1
54929 36
11227 18
8214 31
785 5
81855 1
55892 1
53 20
3872 1
51192 16
10142 12
26281 27
3956 5
84867 31
56829 20
51455 3
3632 1
57801 51
432355 1
10052 44
28960 29
27343 129
56339 1
59284 12
5993 10
5493 1
5581 14
23530 1
100170841 4
6695 38
9368 233
5479 1
1857 13
11127 57
5547 10
3720 1
55758 19
89846 3
23031 33
51071 37
5780 189
8939 7
54465 3
2444 18
147166 93
386681 1
8412 1
10197 42
23506 1
5324 50
3177 1
2639 5
51068 10
79190 11
6692 389
5901 74
3975 135
122060 25
23322 4
55110 1
7405 21
220081 1
57787 12
6150 23
8841 1
342527 1
337971 6
3449 44
523 156
9231 80
9971 53
55028 1
143888 33
10087 26
988 90
284403 19
10959 4
337969 1
7177 84
29119 18
5196 32
144402 12
51684 27
9908 3
83650 26
7770 632
9590 52
7846 3
164091 43
22980 2
10021 100
117166 26
79768 12
54903 57
51110 1
342510 1
63910 8
8935 19
162515 362
55217 3
51622 24
221960 2
126299 9
4791 57
10273 79
84071 3
121278 8
10957 6
10289 11
51195 4
8566 11
55553 9
51292 17
6709 118
54437 1
51686 127
408050 2
80199 2
202333 10
2562 166
23601 1
8321 1
64641 12
150274 2
10058 2
85352 93
9978 8
7545 34
9787 4
91894 18
22932 15
143879 6
54869 15
23547 5
3294 10
27328 3
284654 1
83989 738
54958 12
27013 11
1903 1
3638 28
10325 47
51024 109
54927 15
203054 3
8277 2
4594 2
10451 1
91683 8
23504 1
27339 1
64781 1
10715 8
752 9
200504 18
22941 5
55342 3
3553 9
2701 24
254887 33
51154 1
131377 27
1856 6
84456 1
92675 11
9374 14
55088 6
9473 1
23564 58
2702 6
9903 11
79006 2
203062 16
3187 55
196472 4
4685 6
81622 5
91304 29
54431 5
399 108
1804 78
54862 3
221785 9
171024 7
7041 3
84667 2
23194 27
5875 13
55293 4
50674 28
64105 1
346288 19
57132 3
64753 355
5920 14
6326 46
2535 3
163859 3
4050 31
4284 28
57184 2
56949 3
654790 1
10716 10
23607 5
3716 6
221545 22
400569 17
100137047 44
7639 13
8831 14
3674 28
8916 6
125950 2
25 3
80097 13
84153 4
387778 1
375612 40
6401 10
9087 47
10780 1
1593 9
143471 56
25953 33
54584 2
83896 2
83937 28
54970 13
8778 5
116832 17
30014 5
728712 15
6258 6
4603 4
57717 211
127294 30
8565 4
7200 4
6281 3
26146 10
56888 1
4143 2
256957 5
5570 6
1767 82
54892 13
51105 82
65258 6
113178 5
9898 23
153572 1
10642 5
57102 20
9209 4
28969 1
9913 35
1650 1
124751 6
90075 1
84226 2
93058 22
55092 128
201158 1
100533496 22
90806 5
9926 1
7771 3
1027 1
3198 9
126374 2
7486 72
2319 18
6005 26
9180 3
28989 79
2587 5
11000 25
55284 1
8927 14
5255 1
146279 1
5792 2
3768 2
54943 1
56259 6
22933 1
10443 12
1386 15
727957 12
8925 2
6041 47
127281 272
7625 7
259232 32
8341 2
389812 5
9024 12
5446 1
2529 4
23770 19
23556 6
3661 4
255252 9
9651 44
348180 26
256227 3
22983 5
10420 45
10667 47
6855 29
339448 203
493869 1
55159 1
7187 30
10988 11
9129 8
196 2
3980 3
3185 14
55143 8
56254 2
5696 2
79000 2
11337 82
284098 9
164633 46
51514 4
64750 1
23234 21
3312 2
6370 36
51673 11
1841 1
6642 86
90637 2
1837 61
23038 1
283337 10
51778 154
23135 43
400735 60
529 31
3628 89
116224 11
60681 51
51084 138
51738 45
149297 6
54741 49
1142 3
161198 7
2099 2
57111 8
5638 1
84749 3
5435 71
90507 28
9898 1
26173 8
3361 1
633 2
284297 1
10056 1
55785 62
3643 5
10075 25
23091 26
6228 7
81027 12
84946 5
401563 1
345274 18
124790 4
25824 14
54930 9
199675 4
54733 34
593 2
2889 5
5126 14
9892 2
23368 18
90853 1883
163033 12
146330 1
63905 33
51542 63
54939 13
51302 1
200931 13
29956 20
199692 1
5197 3
114884 20
84569 27
3222 11
4632 54
2571 1
1154 20
9933 35
2232 78
8575 1
27091 32
83862 3
26099 144
4711 64
6786 26
55662 43
4179 13
84292 11
4217 40
386684 12
3149 1
6430 10
51333 89
201627 2
3725 31
29028 7
54849 23
1741 8
3799 29
55832 1
7030 7
79002 1
10216 3
127428 8
1413 1
10554 16
55195 20
10921 38
64710 2
10658 11
7348 8
143684 3
53632 7
11240 91
57124 21
5138 50
51377 39
4207 36
100271849 2
3419 48
10279 38
373863 200
64782 10
55660 134
340069 42
9113 46
55781 13
283431 41
80207 15
51199 14
3976 1371
8858 10
4068 34
5901 49
65109 4
4005 591
60312 43
27074 9
3824 2
79656 1
54919 23
2160 25
10741 9
100129271 18
25807 1
83850 9
3303 7
3304 32
94160 48
5717 20
202559 7
3586 1
81847 1
56143 3
7169 1
79720 8
55276 15
51062 1
116987 7
9975 40
4641 1
3306 12
200765 10
66000 17
2967 4
1326 1
8028 83
10563 109
55860 1
2826 1
80227 6
23283 31
7621 27
10102 2
9784 33
151011 209
4860 22
220296 2
8558 63
23767 2
8881 24
132321 32
10621 37
10602 4
64434 2
57616 4
9878 8
58495 12
159989 4
6867 27
4146 1
9975 95
10947 5
51499 5
128239 72
10116 7
5813 16
9019 2
8945 1
5306 31
339221 4
4860 5
83741 8
114792 6
8878 174
55103 54
51186 3
55922 25
7335 9
387522 9
2018 24
1811 5
23654 31
346 7
79041 1
10512 24
10352 40
5496 7
338376 37
10564 32
6155 17
1826 2
390980 1
84519 19
79871 5
163087 122
6188 2
939 24
56267 7
11093 39
28978 35
51530 35
3858 1
9734 58
57531 1
916 2
4796 36
123283 10
116328 13
25852 1
122830 38
2355 23
54665 38
7064 1
140606 11
25973 14
5478 18
9254 60
400916 7
5048 143
7994 7
54714 8
1181 34
4978 42
63922 2
4986 1
284680 25
340277 23
27043 6
7324 3
9673 6
56925 72
23130 9
92259 28
1462 51
79693 1
117177 1
2263 1
2738 33
10290 5
83451 3
283951 1
5252 26
6663 10
51645 2
91582 2
51427 29
79133 18
10379 35
222659 26
1749 1
51181 22
7347 25
55825 34
6656 2
7042 69
8534 3
200879 62
3431 1
6017 47
5045 6
6229 10
25831 9
29101 1
93986 2
10471 15
54820 95
6256 27
51274 17
6320 2
140711 30
64395 1
5287 11
57470 12
9448 13
50944 18
7428 1
6217 67
79414 3
79722 34
54784 21
374887 11
4745 1
246176 3
9958 53
440138 64
129852 4
6187 6
10971 43
6921 1
3881 1
984 13
1644 30
130617 24
88455 8
5891 43
55212 13
124944 1
8665 9
10772 12
1132 1
63939 9
100130742 2
729540 1
84220 2
79074 24
56125 14
284992 1
392862 10
8030 1
56886 1
1265 7
55509 2
317781 41
10841 12
9074 1
8464 36
80117 12
11126 31
23192 5
114907 60
5067 1
10857 20
200162 5
1312 12
6228 250
284613 75
2908 13
144501 32
220202 18
26262 4
51668 1
93185 37
5194 41
26228 81
57403 6
91057 3
11200 1
6327 319
219285 66
387755 377
192669 21
25963 1
115207 21
80831 5
90861 29
51075 18
30820 9
23521 65
93974 3
92667 1
6873 87
24142 49
378 76
744 1
28976 29
91433 1
3856 32
345643 6
5336 1
79671 48
5125 7
23507 4
6595 1
5701 65
4118 39
54346 10
914 42
6745 29
7542 6
56130 6
120939 10
386680 4
91442 8
83604 22
8318 5
6726 2
1982 1
80851 2
55885 1
10290 80
10200 1
7516 1
83884 3
10282 70
84896 29
58493 1
2950 25
139741 22
221938 1
4113 27
387990 10
8850 1
817 8
29993 8
7077 4
64983 101
9110 58
79931 4
2741 13
283237 1
6693 4
23064 19
60485 21
55208 7
51510 2
7157 8
51808 3
23568 174
257062 15
64946 43
26166 22
57684 21
10560 15
7101 1
5127 5
93349 2
9615 14
8289 70
3671 20
55422 1
414062 1
6349 7
51148 30
26503 1
10913 22
4037 77
79031 21
134147 2
54542 2
29893 1
29992 83
51200 19
55090 1
5093 10
6550 5
6128 1
65082 82
2214 1
89797 93
54822 140
79056 9
203522 4
9922 24
84971 42
2041 2
22837 32
8087 27
515 7
23107 102
23265 5
284498 33
4436 11
55184 3
8497 315
4661 17
345062 14
131831 1
124641 4
2140 7
51296 47
9518 6
55204 38
2176 133
