gene_or_protein,study_bias_score
801,1
6606,1
6607,1
79665,1
23097,1
10910,1
4358,1
3985,1
8945,1
85013,2
2824,1
11159,1
81617,1
8859,2
150165,1
375791,1
84695,1
100423062,1
79148,1
9235,1
1123,1
23092,1
440498,1
197135,1
14,3
29992,2
80731,1
441282,1
5979,2
10921,1
11275,1
7096,1
202134,1
345643,1
51151,1
3048,1
23122,1
5481,2
8803,2
892,6
4355,3
7484,1
54453,1
266747,2
5625,1
54790,1
8440,1
7036,1
4646,1
10399,1
9639,1
3680,2
101059953,1
101059938,1
54971,1
80199,1
89866,1
710,3
6799,1
3117,1
2215,1
10992,1
100130348,1
27315,1
10410,2
55195,1
7376,1
3608,1
3872,2
23030,1
89778,1
51296,1
399694,2
4277,1
79616,1
23435,1
196441,1
23034,1
1762,1
147906,3
166614,1
11179,1
7216,1
472,1
51086,2
100526835,1
3603,1
283078,1
100507203,1
79650,1
100500938,3
1877,1
10964,1
54820,1
3630,1
63948,1
162681,3
23392,1
144577,1
11127,1
26580,1
6398,1
5187,1
440335,1
79777,1
3693,1
1777,1
8540,1
7993,1
3796,1
6446,1
10212,1
9124,1
11332,1
2848,1
4641,1
4542,1
8773,1
10456,1
2139,1
5348,1
9049,1
6369,1
9567,1
3775,2
3965,1
6814,1
10747,1
9179,1
10944,2
5874,1
8739,1
8546,1
6820,1
7099,1
29984,1
322,1
3964,1
3038,1
8797,1
4794,2
1325,1
5717,1
5718,1
5715,1
658,1
10326,1
475,1
181,1
2151,1
4221,1
8535,1
10857,1
6829,1
6874,1
1676,1
3092,1
7287,1
7288,1
1192,1
8665,1
785,1
11060,1
8317,1
11045,1
406,2
5293,1
8050,1
6819,1
2304,1
10671,1
9197,1
8976,1
5138,1
1112,1
3843,1
5442,1
29904,2
9034,1
10284,1
2009,1
10643,1
10059,1
8634,1
5286,1
10733,2
6861,1
7940,1
5296,1
7188,1
375790,1
4211,1
10640,2
22936,1
10473,1
11119,1
2494,1
4697,1
10213,1
51042,1
274,1
3839,1
10494,1
607,1
2166,1
889,1
7379,1
10752,1
4013,1
23481,1
773,1
6386,1
9600,1
10528,1
6656,1
1654,1
8635,1
6366,1
1238,1
5420,1
2219,1
3491,1
5193,1
10246,1
6367,1
5191,1
3840,1
6588,1
4917,1
10475,1
4781,1
1871,1
5537,1
7480,1
4833,1
5287,1
7476,2
8789,2
11065,1
6319,1
9229,1
10603,1
1364,1
8611,1
8613,1
8289,1
3671,3
8553,1
8835,3
30837,1
344148,1
575,2
8099,1
364,1
6392,1
11122,1
9854,1
23306,1
460,1
23149,1
10190,1
10570,1
9021,1
9306,1
10906,1
126393,1
115703,1
4706,1
11068,1
1780,1
11316,1
26333,2
8625,1
10106,1
9083,3
442867,1
442868,1
9086,1
7404,1
8943,1
9973,2
6373,1
7748,3
26239,1
3983,1
1855,1
1856,2
7802,2
1105,3
1106,3
9570,9
8471,3
1861,1
27348,2
8675,2
5639,1
102,1
5826,5
9538,7
8507,4
8085,1
9270,8
1787,1
10692,1
317,2
8780,2
3613,1
5609,5
10005,1
10423,2
9141,4
10419,1
9368,1
7015,3
5017,14
8630,3
1111,9
8795,6
2563,2
4212,5
1200,2
10681,1
10915,2
10403,2
3797,6
8829,2
30000,4
8600,3
8542,1
2660,1
117157,10
8794,7
11128,3
22808,7
10815,2
7106,2
5688,6
5924,2
5475,1
5470,4
5264,10
23495,5
26873,5
2865,3
9447,2
7782,7
571,6
10295,4
3437,1
4259,2
8487,1
9032,2
3664,13
8462,1
7483,4
7484,1
30851,2
10755,2
8825,1
27253,4
3551,3
6003,1
6002,12
100287932,2
25794,1
8520,13
259197,1
9246,1
8573,10
5338,8
2069,2
27089,5
10627,3
103910,2
845,1
9146,3
6790,2
8934,2
10311,5
4659,3
2580,13
51582,5
10127,13
9987,2
7514,1
9639,5
9726,2
9919,1
23654,2
9870,3
23504,1
23351,11
9895,1
23350,2
9739,1
23135,10
8864,1
8871,6
9880,1
23336,4
9925,6
9710,1
9371,1
23263,1
9508,2
9201,3
80184,6
9751,1
23243,1
9826,3
4092,3
1147,5
27257,9
2533,1
4864,4
6926,5
10555,2
8560,4
285,3
9522,1
10066,1
3841,3
10095,1
10109,3
10094,1
4593,7
4194,1
10282,9
51043,5
9533,2
5359,1
8805,3
753,6
8312,1
10424,1
6862,6
1070,1
10217,1
50853,2
2051,2
4093,5
10537,2
9278,9
5863,5
2941,1
11318,1
55922,1
8564,2
7739,2
4148,6
22794,3
6183,1
54741,5
6580,6
1193,1
8310,1
11079,1
4867,1
6836,3
1673,4
100289462,1
5603,1
6314,5
6473,8
10558,14
9517,5
8557,1
2189,3
8473,2
247,2
8493,7
10572,1
5373,3
5890,2
10622,6
1101,2
8992,1
4281,2
3149,8
7161,6
8456,2
2861,1
5496,7
3636,5
2175,3
8664,6
8667,3
9122,4
9121,2
8841,15
4931,12
587,9
8778,1
332,1
7113,11
10526,4
2906,4
8417,7
9120,4
93986,3
9123,2
10257,13
758,2
6370,8
10849,4
7098,4
4438,1
8974,1
29906,6
6360,3
4113,2
4114,2
4115,2
1527,3
726,8
8908,1
8399,4
10652,1
3638,6
10092,8
5433,1
9575,1
8837,5
2255,2
8651,3
4097,4
4968,4
2866,3
5170,4
6892,1
5187,2
7746,3
6247,2
8490,1
7737,1
9127,5
7403,4
2867,1
4210,19
3783,1
1665,1
9905,3
8731,1
8853,5
200424,7
23768,5
9675,9
5364,3
23378,1
9841,1
80777,1
9128,1
51046,11
26227,21
4724,4
8038,1
1406,4
3656,4
5252,1
4439,2
5414,1
5655,5
5709,1
339669,2
23543,1
9061,3
6478,2
10467,1
9183,1
6692,2
11181,1
10278,2
9175,1
9092,2
10653,1
8733,3
1613,1
7041,2
9901,2
9422,1
23099,3
9907,1
26045,1
259217,2
9738,12
9717,1
23229,5
9753,5
9788,6
23300,16
366,4
5078,6
6885,2
8823,2
50846,1
9521,2
57149,2
4440,3
8767,1
3199,1
10156,3
284403,1
10236,4
9129,4
7165,13
10328,4
5612,1
8867,4
9158,1
8672,5
6899,1
9139,25
10465,2
9196,1
8972,8
51360,2
6839,2
27429,5
9314,4
11339,2
8574,2
8842,3
2037,2
10618,1
5889,3
10542,1
11041,1
8742,4
407977,5
9443,1
7456,1
5205,1
10018,1
2309,1
3785,2
9486,1
4091,7
7517,2
7516,1
9333,5
8740,5
10817,2
27040,2
11342,1
9066,7
8562,8
9051,8
11260,2
55806,7
10253,3
10591,3
1641,7
8811,1
10252,1
10251,2
10469,5
27095,2
6591,11
27243,2
2307,4
8440,3
8000,6
7105,15
5356,4
9055,8
6001,1
7756,1
4711,24
4695,3
9079,1
6943,5
439,13
699,3
9184,3
9465,2
8612,7
946,1
81,6
2954,2
114049,1
30012,2
51499,2
283459,1
27336,3
11015,3
10758,3
9452,2
9265,2
5565,4
63928,1
164,4
10228,2
9145,1
9144,2
3196,3
6449,2
2029,2
788,4
8444,3
3892,3
8405,10
8636,2
10478,6
11051,5
26584,2
10314,1
6801,11
9997,3
8372,1
755,1
10270,1
8707,1
2542,2
10218,1
7541,4
3420,1
813,5
10085,4
10768,6
10488,1
10749,2
7092,2
4007,3
2137,1
5001,4
7305,5
2277,3
8534,5
326,1
4725,5
1943,1
5147,1
10563,1
5000,4
5189,3
79157,6
5885,7
57016,2
1678,4
548313,2
6759,3
6758,3
8997,6
8449,2
10534,2
9535,1
9407,6
4660,1
665,4
9467,2
5346,1
576,2
577,3
9394,3
9282,1
5099,4
6665,8
5636,2
8822,3
11202,2
5071,2
2788,1
8467,1
9043,1
3800,9
9891,1
9875,2
643641,3
23295,1
196441,2
9836,1
66008,1
23247,15
9716,2
23031,1
9731,2
57194,1
4976,1
9839,11
8888,1
23396,1
23095,4
23005,4
10299,8
23028,3
9882,2
23239,2
8323,4
26471,4
10368,2
26959,1
2661,8
26532,6
26658,2
390874,1
3992,1
5493,13
1687,6
7813,5
100526664,5
4065,2
1620,2
7107,1
1747,4
7547,10
10205,6
2182,2
8724,4
9046,5
8677,10
4868,3
10724,15
10174,1
10492,15
8460,1
51362,1
8703,4
8702,11
8637,7
26953,1
1389,3
1149,3
2762,9
2306,1
9397,1
904,4
26585,12
701,1
8985,2
9470,7
27290,2
905,5
7100,1
7097,3
1729,1
9403,4
10103,5
10100,1
10099,5
11336,2
54600,17
10324,1
4010,2
10226,6
9214,5
5810,2
3717,1
7975,1
10196,1
9242,2
5192,3
23633,3
27286,6
29799,7
7358,2
9404,2
1500,4
9187,8
23463,3
8555,2
9947,3
8398,2
10289,3
6643,3
9595,1
27306,3
8813,4
8615,2
10560,10
10043,1
343071,4
343069,8
5208,4
28952,2
10084,2
10245,5
11230,2
1736,1
778,5
9669,2
653808,3
10206,6
8522,2
8721,8
4068,1
9283,2
10294,4
23476,1
51596,3
10266,3
10268,7
6474,1
6610,1
6907,1
8704,1
1515,1
3364,3
5201,1
6992,5
4683,11
8996,1
11081,1
6327,5
1838,2
8732,2
102725035,4
107987462,1
11025,1
10990,6
4286,2
11077,1
23046,5
23380,2
5362,5
9722,1
9829,2
9917,2
9911,8
4037,2
8745,4
4185,1
863,3
9948,1
8324,2
6585,4
6586,1
1953,1
4038,1
314,11
11155,4
9475,1
26024,2
23242,2
23245,1
8895,2
9889,1
9681,3
9776,2
23308,1
8541,4
9026,21
23363,1
9810,4
9877,3
9727,3
23066,6
9655,1
261734,1
9682,1
9749,2
9701,1
9507,1
4849,2
26039,2
23309,2
9914,1
10049,2
8800,3
4041,2
57017,2
374291,1
4616,7
6253,2
4720,2
8001,21
219333,3
8446,2
2631,5
8303,3
10446,3
8482,1
3161,3
8497,1
10016,1
242,1
8468,1
56242,2
9550,5
9525,3
9526,2
956,1
5626,1
8537,1
11156,1
10677,1
9555,1
6451,1
2317,4
9611,4
8674,2
4726,3
5195,3
10612,7
8408,12
7289,1
8501,1
9554,2
10522,1
55660,2
25763,1
6867,1
10721,2
8318,3
64598,1
26261,3
4034,8
10651,2
9559,13
9534,4
9512,4
4094,2
7399,1
8819,4
9862,9
11104,5
8712,2
2081,2
1876,3
9244,1
8856,3
11168,2
10613,3
6871,5
2239,4
4722,1
10772,4
51053,8
1203,1
3281,4
5010,1
27242,1
10455,2
10656,1
10474,1
27097,2
8726,2
8815,8
23451,1
7812,2
55565,3
1600,1
11193,1
8676,3
8935,2
8629,3
8575,2
27297,6
4040,1
9252,2
10001,4
23077,1
8928,1
8993,1
10143,7
23464,7
9247,3
9099,2
10360,5
10434,2
10637,2
26284,3
9191,3
639,4
7380,3
8547,10
30848,1
23020,2
261726,9
8481,3
10040,1
8986,2
10739,1
10738,2
5495,3
11033,1
27340,1
9631,4
6102,3
11341,1
8576,13
11169,4
8604,2
6581,1
8706,7
5892,4
5064,3
9028,1
10159,2
9402,1
10535,2
51364,3
23645,2
6650,1
8412,1
10248,2
10799,2
8666,1
8669,1
874,1
11061,3
5276,1
5716,5
7348,1
8906,1
284352,1
79090,2
3417,2
6341,1
9420,4
10741,1
10254,2
8741,1
10840,1
11334,3
9568,4
9182,1
8812,9
5063,2
10550,2
8787,3
728492,1
8293,5
8291,2
8554,5
9063,1
10286,2
11258,11
8424,3
10285,2
5884,4
26256,1
25822,7
10211,4
10263,2
7204,1
10566,7
8777,2
10302,2
10882,2
1362,2
10539,2
3885,1
100653049,1
8689,1
8688,2
8687,1
7466,2
8416,1
9437,1
10590,2
6792,3
10529,1
8614,8
7108,1
9025,6
6623,1
9391,3
8654,4
1677,2
8839,2
7763,2
8601,1
6584,3
5152,1
7439,6
6731,1
10899,4
8530,10
26664,6
1797,3
9401,6
9400,1
8725,14
26229,6
9262,1
4062,6
9219,3
8818,9
53942,2
7398,5
51412,1
23683,4
9945,1
8786,2
11076,5
9140,4
8715,4
26046,1
23120,1
9868,1
57449,2
9670,3
23259,1
4642,3
9878,2
9886,8
23109,10
9871,3
23114,1
9913,2
9873,2
23376,6
8470,2
9678,7
23328,1
9725,6
9855,1
26043,3
23276,1
9668,5
9860,2
23353,3
11160,7
24148,3
22943,10
285527,3
10725,4
23052,5
5218,1
23354,3
22885,4
22888,7
23030,1
22836,2
140710,10
10869,2
22911,17
4591,7
161,2
22872,1
23125,4
22883,1
22995,1
10144,1
22899,4
10614,4
135946,3
151531,1
27134,1
11185,3
148252,5
11102,5
9133,2
10897,5
51366,2
9985,4
100861412,4
25788,8
257,2
3268,2
11098,1
7753,3
9294,5
4712,2
9927,1
11072,2
10073,3
9966,2
22977,8
10277,1
11249,1
11248,1
7542,1
8518,14
5412,1
11337,2
4696,3
4714,15
8796,1
8912,4
4701,3
10791,1
8633,5
4947,4
10675,1
10313,6
11275,3
1102,4
7755,1
3954,4
8987,6
23484,1
9406,2
8723,1
338674,3
11130,3
27287,2
51747,1
10112,1
80833,4
9227,1
25803,2
24137,3
8930,2
6305,1
9527,4
11143,2
8807,1
10912,2
3756,2
11101,1
8658,2
23582,6
27076,5
7957,1
9217,3
23557,3
9019,4
4705,1
11328,1
10659,2
25796,2
9060,2
8647,1
10592,5
10533,2
10626,1
10667,1
51341,6
11313,1
10425,1
25816,1
9064,2
8840,4
8838,2
10220,4
10569,2
27302,6
9245,5
27304,1
10411,1
10421,11
9441,1
9372,6
10175,1
8771,5
25798,2
8403,4
28955,3
6840,2
89932,5
9530,1
10598,1
10568,1
55937,2
150082,1
10804,3
5073,1
23483,3
8624,4
8785,1
9215,3
752,1
8879,8
1366,1
23399,2
19,3
10412,1
9080,4
10802,1
10427,1
8875,2
23562,4
23466,3
65220,2
51567,2
92346,1
375035,2
25874,3
25770,1
23474,1
11279,2
25885,2
5116,1
8089,3
11062,2
10617,1
9423,5
10272,1
10898,3
4772,1
9077,2
534,2
8623,1
8760,2
2070,3
9119,3
11116,1
5509,2
23774,3
10307,3
10775,6
9450,4
8924,1
9547,3
9545,1
2103,7
9342,1
9362,2
9943,3
9453,2
23641,3
10505,1
9609,2
9991,2
11138,1
90865,1
83930,4
51691,3
58525,3
23586,5
6780,3
7268,2
23585,8
8436,1
9350,4
9532,1
9531,3
9448,1
23417,4
9131,2
9076,2
9022,2
24139,2
9113,3
9630,1
256281,1
23555,3
23554,4
10380,2
6615,1
9415,5
23564,5
58530,5
7920,1
7918,3
51060,1
58512,1
93145,2
26995,2
11319,5
25809,1
100526773,15
57119,1
25949,1
23492,7
9096,1
9436,2
6911,3
10841,2
30008,2
10648,1
10647,4
11126,2
9210,4
10261,2
8698,2
8434,2
53615,1
8940,4
9623,5
11165,1
11170,7
10551,4
2622,1
10297,2
9232,1
8915,2
4716,1
9421,1
9189,5
10452,1
9476,1
8799,4
10298,1
7481,6
10126,2
11200,1
9546,6
86,5
9134,1
8705,3
7468,8
1528,6
126,3
3939,1
216,1
1727,1
2936,1
4512,2
4513,1
6647,3
1356,4
2157,3
5009,3
2162,2
4860,2
3251,7
2806,4
25,3
1956,2
4342,1
5230,1
203,4
715,1
3240,1
2158,2
2159,2
5340,8
2161,3
5328,5
629,1
100,2
4508,1
759,2
760,1
445,2
4938,1
462,1
5265,4
12,3
183,1
2,1
718,2
727,1
7076,3
1472,2
1469,2
1475,2
3827,1
2353,4
4609,2
4893,2
3265,2
3845,6
5155,1
3949,1
1950,1
7039,1
7040,1
4803,1
2796,6
4878,1
5020,1
551,2
5443,1
5179,2
5173,1
1081,2
7252,2
2488,6
3972,3
5617,3
2688,1
2689,9
796,1
5741,1
7432,4
5539,5
3630,3
3481,2
2520,2
4049,1
7124,1
3447,1
3439,6
3440,2
3446,5
3452,4
3442,2
3448,3
3456,2
3458,3
3552,2
3553,1
2056,7
3559,3
920,7
3106,3
3122,2
3117,1
3123,1
3119,1
3050,1
3045,3
3046,2
4151,2
1277,1
1280,21
1281,7
1282,4
1409,1
102724652,2
1410,1
3861,9
3853,10
4000,3
6708,1
335,7
348,2
336,2
341,1
345,11
2243,1
2244,3
2266,3
4155,2
5375,1
2993,16
6521,1
1401,4
325,1
712,5
713,5
714,3
735,2
350,3
116844,2
2335,5
5950,2
259,1
5004,2
197,9
7276,1
213,4
2638,3
5473,2
5196,7
3627,2
7037,1
7018,3
3263,1
2512,1
2495,2
4502,2
6779,5
10879,5
2099,2
4535,3
4537,6
283,6
2160,2
3818,2
6590,3
722,19
7448,3
3156,1
847,3
5894,2
1791,1
2629,2
2517,8
5624,3
226,3
301,14
5154,5
338,2
1437,3
2908,1
7031,3
5621,2
6648,1
4942,2
7083,1
3273,2
4613,1
4142,1
1,1
972,6
915,1
3854,2
3848,1
6285,1
7450,2
6462,4
6406,1
10382,42
2597,80
435,10
3105,4
3115,2
5620,1
2064,2
7471,1
4914,3
826,4
7157,2
4489,2
4493,3
3315,1
1543,1
6013,2
1536,2
6184,4
6185,4
2771,2
8335,3
3012,1
6522,2
2995,3
3467,13
3443,3
3441,3
3479,1
476,3
481,1
1114,3
351,15
383,33
347,6
217,22
3690,8
3689,2
1583,6
6279,8
3623,4
3567,11
3150,1
5055,1
5054,4
5582,3
292,2
5104,2
710,1
3426,1
2165,1
9636,2
3957,1
4353,2
5095,4
5096,2
1544,1
1571,1
249,1
250,4
1965,1
3151,3
2246,6
3569,2
1906,4
3383,15
6176,1
6181,2
6175,1
6447,1
3725,1
2170,2
661,3
7123,1
516,5
3120,1
6906,2
3053,2
7020,4
3688,1
5579,1
3875,3
3856,1
1411,7
1447,4
793,2
2994,4
921,1
7389,2
3643,3
3932,3
2534,1
590,1
2717,3
885,3
3111,2
2934,1
5925,7
5241,10
5757,1
983,6
506,25
717,3
6280,8
6277,13
337,3
914,1
1977,1
1048,2
1158,1
2023,3
5836,3
5423,1
4869,5
7170,4
3685,15
1392,3
4023,4
3073,4
8970,3
5270,1
8513,6
2052,2
7054,19
1622,2
2168,1
3945,1
4747,2
4741,9
7056,5
5232,2
5034,1
354,1
3005,1
432,9
433,2
1420,1
2242,7
1436,8
1509,3
302,1
731,3
733,68
823,1
203068,1
4490,5
761,1
5644,2
5645,2
2922,2
1448,7
1146,2
154,3
1634,41
5660,2
3074,2
1514,2
5216,3
669,7
916,5
2058,1
1508,4
3320,2
2592,13
3183,3
7388,12
3912,4
7525,1
4067,3
5979,1
7169,10
2271,2
6439,1
2067,6
7057,2
6035,2
2705,2
6667,9
7544,6
3480,1
6010,3
4477,3
1278,12
309,2
389,4
4804,3
2735,1
1129,36
1132,2
1604,9
5243,2
866,175
6520,2
51032,1
4306,12
2990,3
5213,1
3326,1
6734,4
440,2
1991,8
6855,1
4313,1
4314,1
2938,1
6649,1
1511,2
3145,2
4311,2
3674,4
5160,3
5341,74
929,1
1537,2
5788,5
6629,3
4233,12
4241,11
153,1
4634,4
3075,3
2249,1
6625,1
3055,1
2214,4
3678,5
4782,1
7431,3
1576,2
2155,1
3880,1
3855,3
2773,4
308,3
3484,2
412,2
3921,2
3570,1
3350,2
1133,3
150,3
4828,3
967,4
5314,2
6626,2
3233,5
3221,1
2247,1
3215,2
5452,5
10136,17
2026,3
3049,3
30,1
1621,2
2939,1
2950,1
1470,1
6631,9
4316,21
4319,8
962,8
7429,8
2919,3
3956,2
5860,2
3146,4
7141,1
5947,3
5047,22
2203,28
2775,41
6678,2
2944,1
7168,2
1211,1
1212,5
307,44
1267,7
7472,4
924,18
3162,2
1435,3
5159,7
1738,3
3217,2
3178,6
6627,21
1345,2
2695,2
4070,2
2268,3
716,6
142,22
5422,7
3433,5
3434,4
240,2
248,2
7345,2
5045,2
4048,2
230,1
282808,2
720,2
721,2
100293534,5
721,4
3015,3
8329,2
8332,1
8336,5
8969,1
8330,4
29844,3
100130827,3
474381,4
83740,7
401067,2
284106,2
387715,12
342371,1
374355,2
338872,3
100137047,7
145781,1
100820829,1
81488,1
81488,1
642623,1
654231,3
146325,4
169834,13
653689,3
7314,4
7316,2
729597,3
57093,3
642612,1
26748,4
2579,3
100008586,4
645073,14
728137,4
100289087,8
100288695,3
96626,1
84968,18
6399,20
378949,10
5940,1
643847,1
6289,1
653464,6
1442,3
1442,3
1443,1
6818,24
445329,2
102723631,18
3304,2
3303,9
644591,1
93659,4
94115,3
1082,3
805,7
801,8
808,2
432355,2
111188157,2
66004,2
391123,1
29970,1
51082,2
110599583,1
9718,1
100129239,1
100133053,15
388677,2
2736,2
2737,1
342945,1
3104,5
797,2
5911,1
5552,2
3002,4
3576,2
6348,3
6036,6
1351,1
4602,1
4603,2
4605,2
2548,2
367,3
5914,4
6237,17
3107,2
49,5
369,1
3008,17
596,1
6696,6
1737,22
5792,1
2063,7
7025,5
7295,15
7043,2
1329,1
4257,4
1558,2
4137,3
5573,3
1113,1
7035,2
251,2
5197,5
3815,1
7390,2
940,2
2251,3
2098,5
3329,1
5915,9
7067,1
7068,2
1191,6
4168,3
2690,1
3659,3
4633,2
3309,1
951,2
5409,2
4133,4
3312,5
3990,2
1959,3
6513,1
6514,1
6515,1
2035,2
7372,2
5162,3
3684,1
5834,12
5837,2
4153,1
1128,4
1140,7
5898,1
5899,3
10,2
613,4
3916,2
2078,3
5292,2
2260,2
7150,2
7153,2
2539,1
8266,1
5669,3
7421,3
2101,18
2248,2
2779,2
5091,6
1548,4
1588,2
1756,3
8288,2
7356,5
6440,4
1559,19
3482,1
128,2
5681,3
1019,5
6722,2
931,5
5634,1
973,1
4953,1
26986,1
5111,1
7441,1
3850,3
4744,2
2169,3
1291,1
291,1
293,1
3615,1
7175,1
6017,2
1152,2
2209,1
2212,3
2205,3
306,1
4610,4
1159,1
548596,1
3001,1
650,1
652,1
651,11
6037,42
6497,1
6498,3
87,1
999,1
4295,1
4619,2
4625,3
6714,4
2547,5
7520,1
7374,1
7181,1
1327,3
211,1
3574,1
388372,1
6351,4
10437,1
6997,1
3920,2
6050,2
649,1
1535,2
6347,1
6352,2
7857,1
4624,2
1080,1
1580,1
4684,1
3384,2
3676,4
5916,3
478,4
3858,1
3860,3
3852,6
9601,1
729,2
7584,1
54,2
634,2
7178,7
5008,1
2152,2
5553,1
3133,43
3936,28
5358,2
327,10
2108,1
7138,11
2997,3
5576,31
728113,5
653145,2
2027,2
1302,2
2963,1
966,8
81576,1
10797,3
3283,1
1510,2
2670,26
4282,12
4267,1
3082,1
5551,1
5589,1
3660,2
3059,1
2224,2
5987,1
1368,2
1347,9
482,3
1813,8
10327,4
5320,7
653361,2
3645,4
5315,4
98,4
7184,13
891,3
140465,1
3212,1
6517,15
6628,1
7299,1
2815,2
3554,1
4318,3
3560,4
1340,2
5451,1
3191,3
1615,2
1610,1
2113,13
3728,2
7381,2
3976,4
2114,5
673,3
2167,5
2752,3
231,6
5817,10
5880,13
1369,1
2935,5
4654,4
4656,3
5224,4
3459,3
410,11
7430,4
525,1
1386,1
7347,1
3753,1
930,1
8061,6
2355,1
7409,4
2006,5
1438,1
374,5
4179,1
4830,2
1728,33
2799,5
51710,3
58500,4
7422,3
5261,4
913,19
3543,18
3096,1
6187,1
1123,2
6925,2
6480,2
5896,1
6929,4
1832,4
6118,2
4582,1
1350,1
2623,4
7077,3
246,1
4881,1
960,1
4835,1
3014,1
6403,6
176,5
5207,1
3691,1
6693,6
873,1
286,5
35,17
1385,1
5406,2
5156,4
2720,57
5175,16
5532,11
4690,2
6936,1
3737,3
1493,2
5447,1
1800,3
2038,3
5618,2
7253,2
5126,5
2784,3
7180,4
6401,3
2241,2
488,1
6349,1
414062,23
948,1
4879,1
1363,1
3575,6
5336,4
2184,1
3925,1
7559,2
7564,4
7565,5
7566,2
7567,3
7568,2
7570,3
7571,10
7572,1
7586,5
7574,2
7551,1
7579,2
7580,2
3310,3
23433,1
3159,3
7553,3
8834,5
3454,1
5578,2
3726,1
3673,4
2697,2
6609,4
7343,4
3219,1
1109,2
3727,6
1504,7
1160,1
6886,2
11016,3
6853,2
5566,4
7306,4
824,2
3742,10
1674,1
1051,2
2596,1
3135,6
5771,1
262,4
6898,12
7166,3
1141,5
1503,1
2022,3
1655,9
5211,2
7494,1
2760,3
1378,9
3958,2
3486,4
6688,4
2321,2
5702,4
6950,2
5770,4
239,2
3485,3
2068,1
655,12
6165,4
3693,5
378,1
151,5
6129,22
1958,3
7414,5
6715,3
5786,6
9,5
2560,1
2566,2
116,4
5148,4
6651,2
7936,2
5223,6
1104,11
152,1
6382,16
466,4
467,1
468,2
22926,3
522,8
7515,8
3866,3
3851,2
1000,4
2781,3
2780,8
3067,1
5335,2
54578,1
2057,5
7135,3
965,1
7412,2
4691,6
3098,1
5432,1
5434,1
963,2
4729,7
2002,16
7137,1
7132,4
2678,8
2071,3
6737,10
7942,11
5610,1
2523,10
7030,3
7490,2
6723,1
6548,8
1459,1
6256,1
26,15
3698,1
3697,1
4790,2
2920,5
2921,2
4688,2
10468,1
1890,1
3113,2
8894,1
310,9
10993,1
945,5
3817,2
6691,5
566,6
6908,23
7177,5
64499,1
890,3
5455,2
5454,3
933,1
689,1
241,3
1131,1
7133,1
5864,1
5865,1
5867,5
5868,4
5870,1
6863,2
9572,2
7200,1
4437,2
4599,5
4600,2
4882,3
5689,1
4074,1
9377,1
4001,1
3683,1
3202,3
602,1
4969,4
4908,8
4117,2
825,1
3589,4
