gene_or_protein,study_bias_score
29127,1
29844,1
80829,1
25894,1
391723,1
10464,1
9915,3
57186,1
552900,1
654483,1
374462,1
57634,1
29994,1
199223,1
101928527,1
102724428,1
11343,1
2993,1
6404,1
55890,1
54556,1
51329,1
10201,1
23200,1
27033,1
5727,2
123688,1
80032,1
24139,1
9922,1
10542,2
123016,1
780,2
100130520,1
825,1
2176,1
2202,3
5546,1
6049,2
9050,1
22899,1
27232,1
54971,2
55454,1
55342,1
57679,1
79777,1
83549,1
151531,1
550643,1
2543,1
100505478,1
81855,1
647135,1
5602,1
8621,1
9674,1
7284,1
65095,1
10669,1
84561,1
54502,1
79989,1
203062,1
79733,1
580,1
55236,1
57488,1
83850,1
219541,1
80726,1
102724631,1
57698,1
79064,1
130106,1
140711,1
152573,1
389549,1
144404,1
643236,1
645104,1
152078,1
79658,1
90835,1
340069,4
337963,1
338440,1
63027,1
115703,1
338699,1
54959,1
130074,1
10994,1
441631,1
284184,1
644186,1
26030,1
729422,1
100132399,1
729431,1
729428,1
54754,1
284297,1
123722,1
285590,1
137392,1
400120,1
257019,1
138639,1
6194,1
124093,1
85446,1
162967,1
253769,1
155006,1
51594,1
123283,1
219854,1
9840,1
440087,1
57613,1
129450,1
343263,1
440955,1
340204,1
149069,1
282969,1
5001,1
222255,1
340277,1
54103,1
85865,1
29062,1
346689,1
401409,1
136242,1
3624,2
255374,1
10652,2
816,1
392862,1
8329,1
8332,1
8336,1
8969,1
8330,2
10903,2
79729,2
134121,2
129446,1
348174,1
55048,2
115948,3
5662,1
84626,2
80006,1
285242,2
23019,2
445328,5
57571,1
50618,2
392307,2
283234,1
123103,7
390243,2
644815,1
401994,3
554235,1
342979,1
283871,1
255275,1
340390,2
653657,1
91433,2
378950,1
84218,1
285679,1
644096,1
388939,1
780776,1
388743,2
344787,1
79861,2
100170841,3
23347,1
343930,1
143872,3
196074,1
284338,3
342933,1
142686,2
644943,1
80003,2
138715,1
7355,1
342931,1
388333,1
642843,1
22829,1
127255,3
8933,2
57644,1
9743,1
9755,3
84530,1
4978,2
100287171,4
8773,1
5704,1
124599,1
655,1
131377,1
9370,1
5518,1
9814,1
146540,2
64147,1
112479,1
255877,3
375791,2
6285,2
201254,2
79740,2
730112,1
344022,1
92482,1
751071,2
389136,1
613227,1
255809,1
253012,3
51105,1
441925,1
389207,1
440836,2
342900,1
402569,2
9474,1
57409,2
207,1
1719,1
9200,1
4174,1
553158,1
6595,1
2786,1
10277,1
92181,1
5567,1
3767,1
728194,1
222967,1
4598,1
387911,1
4649,1
388468,1
402117,1
388588,1
284067,3
10579,3
100128927,4
440563,2
79810,2
22858,1
3093,2
8601,2
80830,2
5034,2
3303,9
5515,1
23132,1
283953,1
54971,2
805,1
808,2
