gene_or_protein,study_bias_score
54825,4
25932,9
151835,1
10900,54
6280,43
7862,1
1267,21
101060200,3
22944,1
817,2
8431,133
116369,12
6342,2
55531,13
224,3
2619,66
10609,1
84661,9
116113,73
3397,15
517,34
93100,2
10412,1
8402,8
340554,50
23555,41
11197,1
5438,61
5694,9
5068,27
142686,1
23768,4
24149,1
2001,1
8499,1
4033,26
79047,3
10468,3
92483,2
51693,19
972,15
4638,10
201562,36
285203,143
25900,13
50,26
119467,31
4052,3
79600,20
55773,1
6007,2
56521,2
50650,31
102723631,122
343702,15
5644,7
23118,15
80022,10
1716,6
7392,1
9440,3
80856,1
90390,2
158798,55
10225,26
9079,41
1230,40
123169,29
57688,2
317671,15
4648,5
56889,27
8193,17
56937,1
5442,1
4139,21
4904,30
9685,4
83759,1
203238,3
116519,4
54463,11
27247,7
6700,35
1316,1
29103,307
10250,73
1118,42
123,1
57679,16
7593,19
56681,22
57407,1
2162,11
10295,6
10973,5
219749,3
80324,1
776,4
641700,7
84960,17
346,2
130132,82
54928,2
8546,9
55909,22
23435,1
170463,26
54674,3
23075,18
6615,3
6996,4
51295,28
10945,23
2705,8
2628,16
64422,1
3075,38
342574,27
6624,50
91746,22
7748,2
53905,8
337876,62
1439,2
80168,101
11180,31
3984,44
23657,3
27067,31
10157,14
25821,142
246213,50
81493,38
10438,8
401505,1
144608,15
55643,8
55128,1
9150,1
56105,28
9025,9
10226,41
55006,8
5445,23
10400,4
274,41
83741,26
57161,6
7348,2
2181,37
57498,40
121504,17
8294,9
8359,68
8360,34
8361,7
8362,233
8364,64
8365,2
8366,69
8367,60
113174,19
5359,4
51639,48
80321,4
27436,35
54919,48
7391,117
80317,1
2322,59
84991,1
5892,36
9121,2
116496,250
7425,1
4753,37
54858,40
80063,22
55700,15
163223,4
5649,63
23318,2
6877,4
8547,3
3624,35
50837,11
54896,1
8891,1
84289,1
3925,1
3703,12
23309,19
496,1
3093,3
51635,11
10066,10
7251,36
56996,3
22954,20
160728,27
54984,31
2627,3
170960,40
80184,35
4054,10
7629,123
91653,16
92482,1
91966,18
10269,22
140609,113
9514,2
7056,1
2327,111
10300,1
84268,85
55051,7
30061,7
14,9
150274,1
5279,22
4316,1
254225,25
84181,8
80323,24
10125,1
84073,40
1655,5
8530,14
60492,3
5201,1
10886,738
5055,2
123904,15
3145,47
51115,10
116085,13
6318,3
186,7
115939,133
10617,8
9857,34
55,2
64759,1
6868,3
148254,47
29071,1
161142,4
5546,4
115825,3
7920,56
54531,2
11342,1
1062,3
64180,22
5577,47
4998,1
834,19
9862,13
8690,21
55223,6
152816,8
56163,2
5075,32
10484,27
667,70
387882,5
11154,26
5696,2
55731,28
5468,26
57704,3
5598,64
8838,1
7041,7
337973,21
338322,1
64175,41
9859,6
6790,25
80311,40
81502,3
1270,1
6904,2
51596,62
84759,2
3386,9
9551,20
948,3
401546,37
51588,42
8295,11
100130613,22
9108,4
90594,10
55691,64
9751,1
6390,32
4072,1
23397,1
284695,40
56899,18
333926,20
5250,1
