gene study_attention
ENSG00000291147 91
ENSG00000291147 3
ENSG00000291147 1
ENSG00000291147 9
ENSG00000291147 20
ENSG00000291147 4
ENSG00000291147 58
ENSG00000291147 69
ENSG00000291147 5
ENSG00000291147 1
ENSG00000291147 8
ENSG00000291147 52
ENSG00000291147 23
ENSG00000291147 1
ENSG00000291147 11
ENSG00000291147 5
ENSG00000291147 9
ENSG00000291147 40
ENSG00000291147 6
ENSG00000291147 3
ENSG00000291147 15
ENSG00000291147 31
ENSG00000291147 8
ENSG00000291147 4
ENSG00000291147 20
ENSG00000291147 3
ENSG00000291147 93
ENSG00000291147 4
ENSG00000291147 52
ENSG00000115380 18
ENSG00000291147 21
ENSG00000291147 23
ENSG00000291147 2
ENSG00000291147 19
ENSG00000291147 19
ENSG00000143294 83
ENSG00000291147 16
ENSG00000291147 37
ENSG00000291147 10
ENSG00000291147 40
ENSG00000291147 79
ENSG00000291147 21
ENSG00000291147 5
ENSG00000291147 15
ENSG00000291147 9
ENSG00000291147 30
ENSG00000291147 3
ENSG00000291147 29
ENSG00000291147 2
ENSG00000291147 17
ENSG00000291147 27
ENSG00000291147 12
ENSG00000291147 2
ENSG00000291147 1
ENSG00000291147 7
ENSG00000291147 3
ENSG00000291147 43
ENSG00000291147 27
ENSG00000291147 46
ENSG00000291147 18
ENSG00000291147 6
ENSG00000291147 6
ENSG00000291147 27
ENSG00000291147 16
ENSG00000291147 34
ENSG00000291147 3
ENSG00000291147 1
ENSG00000291147 1
ENSG00000291147 39
ENSG00000003393 28
ENSG00000291147 36
ENSG00000291147 2
ENSG00000291147 4
ENSG00000291147 38
ENSG00000291147 44
ENSG00000291147 36
ENSG00000291147 24
ENSG00000291147 20
ENSG00000291147 1
ENSG00000291147 1
ENSG00000291147 4
ENSG00000291147 96
ENSG00000291147 9
ENSG00000291147 34
ENSG00000291147 6
ENSG00000291147 8
ENSG00000291147 12
ENSG00000291147 27
ENSG00000291147 5
ENSG00000291147 86
ENSG00000007001 17
ENSG00000291147 16
ENSG00000291147 82
ENSG00000291147 24
ENSG00000291147 44
ENSG00000196369 5
ENSG00000291147 24
ENSG00000235750 5
ENSG00000291147 32
ENSG00000291147 5
ENSG00000291147 8
ENSG00000291147 50
ENSG00000291147 13
ENSG00000138376 30
ENSG00000291147 9
ENSG00000157884 2
ENSG00000291147 13
ENSG00000152102 2
ENSG00000291147 76
ENSG00000291147 57
ENSG00000291147 2
ENSG00000291147 32
ENSG00000291147 27
ENSG00000291147 18
ENSG00000291147 3
ENSG00000291147 145
ENSG00000291147 16
ENSG00000291147 8
ENSG00000151779 8
ENSG00000291147 172
ENSG00000162971 1
ENSG00000221986 3
ENSG00000222046 17
ENSG00000291147 27
ENSG00000014914 3
ENSG00000214193 81
ENSG00000291147 362
ENSG00000291147 16
ENSG00000291147 23
ENSG00000291147 17
ENSG00000291147 2
ENSG00000291147 180
ENSG00000163092 6
ENSG00000291147 35
ENSG00000291147 4
ENSG00000291147 62
ENSG00000198399 9
ENSG00000189181 31
ENSG00000179270 1
ENSG00000203697 29
ENSG00000151379 11
ENSG00000135749 5
ENSG00000162620 8
ENSG00000291147 62
ENSG00000291147 1
ENSG00000291147 29
ENSG00000291147 29
ENSG00000291147 43
ENSG00000291147 10
ENSG00000291147 11
ENSG00000291147 66
ENSG00000291147 6
ENSG00000291147 15
ENSG00000214513 45
ENSG00000215859 7
ENSG00000196289 64
ENSG00000204060 60
ENSG00000291147 21
ENSG00000291147 25
ENSG00000291147 10
ENSG00000291147 7
ENSG00000291147 44
ENSG00000291147 1
ENSG00000168243 24
ENSG00000130939 253
ENSG00000291147 33
ENSG00000291147 29
ENSG00000291147 1
ENSG00000291147 3
ENSG00000291147 1
ENSG00000291147 32
ENSG00000291147 1
ENSG00000291147 7
ENSG00000291147 139
ENSG00000291147 29
ENSG00000142875 10
ENSG00000291147 3
ENSG00000291147 34
ENSG00000291147 10
ENSG00000174453 1
ENSG00000235169 4
ENSG00000291147 52
