gene bait_usage
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 1
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000115380 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000143294 2
ENSG00000291147 2
ENSG00000291147 1
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000003393 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000007001 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000196369 2
ENSG00000291147 2
ENSG00000235750 2
ENSG00000291147 2
ENSG00000291147 1
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000138376 2
ENSG00000291147 2
ENSG00000157884 2
ENSG00000291147 2
ENSG00000152102 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000151779 2
ENSG00000291147 2
ENSG00000162971 2
ENSG00000221986 2
ENSG00000222046 2
ENSG00000291147 2
ENSG00000014914 2
ENSG00000214193 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 1
ENSG00000163092 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000198399 2
ENSG00000189181 2
ENSG00000179270 1
ENSG00000203697 2
ENSG00000151379 2
ENSG00000135749 2
ENSG00000162620 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000214513 2
ENSG00000215859 2
ENSG00000196289 2
ENSG00000204060 2
ENSG00000291147 1
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000168243 2
ENSG00000130939 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 1
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000142875 1
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000174453 2
ENSG00000235169 2
ENSG00000291147 2
ENSG00000275774 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000123600 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 1
ENSG00000291147 1
ENSG00000291147 2
ENSG00000291147 2
ENSG00000115204 2
ENSG00000291147 2
ENSG00000144134 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000115318 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000128656 2
ENSG00000127837 2
ENSG00000291147 2
ENSG00000291147 1
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000071051 2
ENSG00000120341 2
ENSG00000162747 2
ENSG00000143621 2
ENSG00000120948 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000259030 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000137959 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000143006 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000018510 2
ENSG00000097021 2
ENSG00000170128 2
ENSG00000143575 2
ENSG00000135750 2
ENSG00000116266 2
ENSG00000009724 2
ENSG00000116977 2
ENSG00000241563 2
ENSG00000160049 2
ENSG00000182389 2
ENSG00000097046 2
ENSG00000171608 2
ENSG00000198203 2
ENSG00000137996 2
ENSG00000082512 2
ENSG00000188157 2
ENSG00000143995 2
ENSG00000116833 2
ENSG00000115233 2
ENSG00000142684 2
ENSG00000136717 2
ENSG00000115694 2
ENSG00000116128 2
ENSG00000117480 2
ENSG00000142871 2
ENSG00000133056 2
ENSG00000162407 2
ENSG00000117713 2
ENSG00000176771 2
ENSG00000152092 2
ENSG00000115514 2
ENSG00000159455 2
ENSG00000107404 2
ENSG00000163879 2
ENSG00000119185 1
ENSG00000187730 2
ENSG00000084731 2
ENSG00000138379 2
ENSG00000198574 2
ENSG00000163568 2
ENSG00000143198 2
ENSG00000117595 2
ENSG00000172059 2
ENSG00000143816 2
ENSG00000127074 2
ENSG00000128708 1
ENSG00000118729 2
ENSG00000117280 2
ENSG00000082898 1
ENSG00000132326 2
ENSG00000132694 2
ENSG00000143753 1
ENSG00000163466 2
ENSG00000198625 2
ENSG00000160685 2
ENSG00000117009 2
ENSG00000132031 2
ENSG00000213625 2
ENSG00000291147 2
ENSG00000157916 2
ENSG00000144061 2
ENSG00000078900 2
ENSG00000115241 2
ENSG00000168679 2
ENSG00000143748 2
ENSG00000057468 2
ENSG00000162704 2
ENSG00000144231 1
ENSG00000003402 2
ENSG00000232995 2
ENSG00000151693 2
ENSG00000187605 2
ENSG00000092621 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000125944 2
ENSG00000117360 2
ENSG00000075151 2
ENSG00000171960 2
ENSG00000115317 2
ENSG00000053371 2
ENSG00000152291 2
ENSG00000134248 2
ENSG00000115935 2
ENSG00000153094 2
ENSG00000291147 1
ENSG00000115526 2
ENSG00000054116 2
ENSG00000071051 2
ENSG00000169679 2
ENSG00000131791 2
ENSG00000135823 2
ENSG00000115297 2
ENSG00000143420 2
ENSG00000143479 2
ENSG00000115365 2
ENSG00000115808 2
ENSG00000162630 2
ENSG00000171819 2
ENSG00000168710 2
ENSG00000168653 2
ENSG00000156973 2
ENSG00000115947 2
ENSG00000077157 2
ENSG00000121753 2
ENSG00000136720 2
ENSG00000168280 2
ENSG00000115993 2
ENSG00000116198 2
ENSG00000169554 2
ENSG00000054523 2
ENSG00000004487 2
ENSG00000291147 2
ENSG00000067208 2
ENSG00000054219 1
ENSG00000077585 2
ENSG00000158850 2
ENSG00000186564 2
ENSG00000135930 2
ENSG00000082258 2
ENSG00000187554 2
ENSG00000183291 2
ENSG00000117472 2
ENSG00000134198 2
ENSG00000241119 2
ENSG00000239474 2
ENSG00000162894 2
ENSG00000157911 2
ENSG00000025800 2
ENSG00000116237 1
ENSG00000115165 2
ENSG00000117479 2
ENSG00000187545 2
ENSG00000179172 2
ENSG00000123836 2
ENSG00000158417 2
ENSG00000170075 2
ENSG00000117411 2
ENSG00000138101 2
ENSG00000116852 2
ENSG00000266028 2
ENSG00000076356 2
ENSG00000198929 2
ENSG00000116675 2
ENSG00000116199 2
ENSG00000133069 2
ENSG00000114948 2
ENSG00000155760 2
ENSG00000162591 2
ENSG00000134318 2
ENSG00000291147 2
ENSG00000124006 2
ENSG00000058673 2
ENSG00000171150 2
ENSG00000131697 2
ENSG00000066135 2
ENSG00000158859 2
ENSG00000158864 2
ENSG00000144048 2
ENSG00000170382 1
ENSG00000143847 2
ENSG00000117533 2
ENSG00000142655 2
ENSG00000265808 2
ENSG00000196504 2
ENSG00000128654 2
ENSG00000042781 2
ENSG00000169016 2
ENSG00000188529 2
ENSG00000135801 2
ENSG00000115524 2
ENSG00000009307 2
ENSG00000173406 2
ENSG00000180228 2
ENSG00000243709 2
ENSG00000158796 2
ENSG00000142748 2
ENSG00000144028 2
ENSG00000143155 2
ENSG00000138032 2
ENSG00000115661 2
ENSG00000115840 2
ENSG00000137936 2
ENSG00000138413 2
ENSG00000115145 2
ENSG00000135636 2
ENSG00000116752 2
ENSG00000143412 2
ENSG00000144021 2
ENSG00000169598 2
ENSG00000143543 2
ENSG00000081320 2
ENSG00000162607 2
ENSG00000115825 2
ENSG00000171680 2
ENSG00000117408 2
ENSG00000163531 2
ENSG00000119760 2
ENSG00000291147 2
ENSG00000196187 2
ENSG00000006607 2
ENSG00000198799 2
ENSG00000085433 1
ENSG00000171603 2
ENSG00000007001 2
ENSG00000156150 2
ENSG00000116688 2
ENSG00000162482 2
ENSG00000130939 2
ENSG00000144227 2
ENSG00000168899 2
ENSG00000132485 2
ENSG00000115607 2
ENSG00000143473 2
ENSG00000143553 2
ENSG00000197965 2
ENSG00000130414 2
ENSG00000073734 2
ENSG00000011009 2
ENSG00000142733 2
ENSG00000163217 2
ENSG00000157077 2
ENSG00000008130 2
ENSG00000180999 2
ENSG00000213064 2
ENSG00000143158 2
ENSG00000068654 2
ENSG00000124356 2
ENSG00000162595 2
ENSG00000152904 2
ENSG00000135622 2
ENSG00000204634 2
ENSG00000243725 2
ENSG00000183726 2
ENSG00000168497 2
ENSG00000071054 2
ENSG00000162813 2
ENSG00000117862 2
ENSG00000116544 2
ENSG00000117614 2
ENSG00000117281 2
ENSG00000142867 2
ENSG00000131779 2
ENSG00000117601 2
ENSG00000135744 2
ENSG00000213281 2
ENSG00000163235 1
ENSG00000134259 2
ENSG00000175206 2
ENSG00000115138 2
ENSG00000134200 2
ENSG00000115008 2
ENSG00000125538 2
ENSG00000291147 2
ENSG00000168542 2
ENSG00000160789 2
ENSG00000163554 2
ENSG00000158874 2
ENSG00000132693 2
ENSG00000132703 2
ENSG00000173372 2
ENSG00000173369 2
ENSG00000159189 2
ENSG00000115414 2
ENSG00000123838 1
ENSG00000177628 2
ENSG00000179163 2
ENSG00000115718 2
ENSG00000084674 2
ENSG00000134323 2
ENSG00000198400 2
ENSG00000136732 2
ENSG00000163399 2
ENSG00000143153 2
ENSG00000291147 2
ENSG00000143546 2
ENSG00000123999 2
ENSG00000143278 2
ENSG00000187608 2
ENSG00000162551 2
ENSG00000163283 2
ENSG00000198830 2
ENSG00000177606 2
ENSG00000121769 2
ENSG00000126088 2
ENSG00000182866 2
ENSG00000187514 2
ENSG00000163220 2
ENSG00000197956 2
ENSG00000116824 2
ENSG00000074800 2
ENSG00000143549 2
ENSG00000138448 2
ENSG00000135919 2
ENSG00000143819 2
ENSG00000155368 2
ENSG00000163586 2
ENSG00000163254 2
ENSG00000157131 2
ENSG00000196811 2
ENSG00000136628 2
ENSG00000173660 2
ENSG00000091483 2
ENSG00000168878 2
ENSG00000291147 2
ENSG00000155366 2
ENSG00000196352 2
ENSG00000215704 2
ENSG00000115956 2
ENSG00000081237 2
ENSG00000000971 2
ENSG00000203747 2
ENSG00000065135 2
ENSG00000160712 2
ENSG00000170166 2
ENSG00000142789 2
ENSG00000117091 2
ENSG00000127831 2
ENSG00000118245 2
ENSG00000134184 2
ENSG00000291147 2
ENSG00000196975 2
ENSG00000291147 1
ENSG00000184371 1
ENSG00000184292 2
ENSG00000000938 2
ENSG00000143799 2
ENSG00000163295 2
ENSG00000256671 2
ENSG00000171943 2
ENSG00000236334 2
ENSG00000243284 2
ENSG00000186825 2
ENSG00000286219 2
ENSG00000074047 2
ENSG00000204859 2
ENSG00000142949 2
ENSG00000135940 2
ENSG00000003436 2
ENSG00000163286 2
ENSG00000178562 1
ENSG00000144381 1
ENSG00000078018 2
ENSG00000117394 2
ENSG00000159023 2
ENSG00000144118 2
ENSG00000291147 2
ENSG00000115758 2
ENSG00000047410 2
ENSG00000150337 2
ENSG00000143226 2
ENSG00000179639 2
ENSG00000116990 2
ENSG00000157933 2
ENSG00000079246 2
ENSG00000171951 2
ENSG00000142973 2
ENSG00000115232 2
ENSG00000117525 1
ENSG00000065911 2
ENSG00000203857 2
ENSG00000196188 2
ENSG00000160752 2
ENSG00000117448 2
ENSG00000188257 2
ENSG00000027644 2
ENSG00000170634 2
ENSG00000115594 2
ENSG00000143190 2
ENSG00000115866 2
ENSG00000135821 2
ENSG00000122180 2
ENSG00000116039 2
ENSG00000115966 2
ENSG00000075426 2
ENSG00000117335 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000158488 2
ENSG00000128656 2
ENSG00000117748 2
ENSG00000185499 2
ENSG00000169418 2
ENSG00000291147 2
ENSG00000174175 2
ENSG00000291147 2
ENSG00000291147 2
ENSG00000118260 2
ENSG00000005436 2
ENSG00000177301 2
ENSG00000163599 2
ENSG00000007908 2
ENSG00000120937 2
ENSG00000117632 2
ENSG00000121903 2
ENSG00000173110 2
ENSG00000119729 2
ENSG00000162367 2
ENSG00000162909 2
ENSG00000175084 2
ENSG00000160716 2
ENSG00000171793 2
ENSG00000203710 2
ENSG00000115457 2
ENSG00000274286 2
ENSG00000180198 2
ENSG00000115884 2
ENSG00000162772 2
ENSG00000118217 2
ENSG00000134183 2
ENSG00000167165 2
ENSG00000159173 1
ENSG00000116815 1
ENSG00000162692 2
ENSG00000115053 2
ENSG00000143119 1
ENSG00000163161 2
ENSG00000055332 2
ENSG00000116649 2
ENSG00000090020 1
ENSG00000116701 2
ENSG00000198914 2
ENSG00000133019 2
ENSG00000028137 2
ENSG00000169213 2
ENSG00000168118 2
ENSG00000169242 2
ENSG00000123843 2
ENSG00000183091 2
ENSG00000198821 2
ENSG00000248333 2
ENSG00000172005 1
ENSG00000134202 2
ENSG00000159176 2
ENSG00000170989 2
ENSG00000172482 2
ENSG00000117118 1
ENSG00000162510 2
ENSG00000177272 2
ENSG00000136634 2
ENSG00000116171 2
ENSG00000241635 2
ENSG00000244474 2
ENSG00000158773 2
ENSG00000142875 2
ENSG00000142583 2
ENSG00000116748 2
ENSG00000091409 1
ENSG00000116560 1
ENSG00000160678 2
ENSG00000162434 2
ENSG00000203782 2
ENSG00000067066 2
ENSG00000058668 1
ENSG00000009709 2
ENSG00000135903 2
ENSG00000157184 2
ENSG00000170820 2
ENSG00000116717 2
ENSG00000114942 1
ENSG00000116459 2
ENSG00000115461 2
ENSG00000143727 2
ENSG00000163464 2
ENSG00000180871 2
ENSG00000115353 1
ENSG00000169403 2
ENSG00000144476 2
ENSG00000158887 2
ENSG00000135924 2
ENSG00000066032 2
ENSG00000162374 2
ENSG00000203859 2
ENSG00000196154 2
ENSG00000121989 2
ENSG00000162433 2
ENSG00000134308 2
ENSG00000143437 2
ENSG00000115590 2
ENSG00000143772 2
ENSG00000143106 2
ENSG00000159377 2
ENSG00000213366 2
ENSG00000117528 1
ENSG00000138434 2
ENSG00000158711 2
ENSG00000115361 2
ENSG00000023228 2
ENSG00000128709 2
ENSG00000128710 2
ENSG00000115271 2
ENSG00000117594 2
ENSG00000174059 2
ENSG00000120949 2
ENSG00000158485 2
ENSG00000196754 2
ENSG00000088179 2
ENSG00000142627 1
ENSG00000070886 2
ENSG00000133216 2
ENSG00000160691 2
ENSG00000143320 2
ENSG00000153250 2
ENSG00000291147 2
ENSG00000159423 2
ENSG00000117592 2
ENSG00000291147 1
ENSG00000162368 2
ENSG00000291147 2
ENSG00000035687 2
ENSG00000163485 2
ENSG00000143556 2
ENSG00000168906 2
ENSG00000277893 2
ENSG00000171848 2
ENSG00000116001 2
ENSG00000076258 2
ENSG00000007933 2
ENSG00000138363 2
ENSG00000175793 2
ENSG00000163191 2
ENSG00000072694 2
ENSG00000244682 2
ENSG00000115507 2
ENSG00000170802 2
ENSG00000158825 2
ENSG00000117228 2
ENSG00000162645 2
ENSG00000116761 2
ENSG00000196420 2
ENSG00000188015 2
ENSG00000291147 2
ENSG00000116985 2
ENSG00000188822 2
ENSG00000063660 2
ENSG00000143851 1
ENSG00000116251 2
ENSG00000241794 2
ENSG00000073756 2
ENSG00000291147 2
ENSG00000170178 2
ENSG00000288702 2
ENSG00000169047 2
ENSG00000066056 2
ENSG00000077522 2
ENSG00000057252 2
ENSG00000075340 2
ENSG00000117305 2
ENSG00000133048 2
ENSG00000080910 2
ENSG00000115756 2
ENSG00000158710 2
ENSG00000244038 2
ENSG00000042493 2
ENSG00000084652 2
ENSG00000117400 2
ENSG00000185630 2
ENSG00000162735 2
ENSG00000014641 2
ENSG00000116329 2
ENSG00000117036 2
ENSG00000163563 2
ENSG00000116741 2
ENSG00000270136 2
ENSG00000135914 2
ENSG00000115073 2
ENSG00000115415 2
ENSG00000163219 2
ENSG00000198793 2
ENSG00000085832 2
ENSG00000177954 2
ENSG00000143322 2
ENSG00000188739 2
ENSG00000138095 2
ENSG00000123080 2
ENSG00000117298 2
ENSG00000122420 2
ENSG00000050628 2
ENSG00000291147 2
ENSG00000143387 1
ENSG00000095002 2
ENSG00000163479 2
ENSG00000153234 2
ENSG00000115085 1
ENSG00000291147 2
ENSG00000181773 2
ENSG00000134201 2
ENSG00000122406 2
ENSG00000162882 2
ENSG00000183155 2
ENSG00000116711 2
ENSG00000076864 2
ENSG00000077549 2
ENSG00000158125 2
ENSG00000143184 2
ENSG00000117560 2
ENSG00000169756 2
ENSG00000154518 2
ENSG00000172023 2
ENSG00000116678 2
ENSG00000143390 2
ENSG00000143171 1
