node1 node2
Q9UBS8 P11473
Q9UBS8 Q9Y2X8
Q9UBS8 P62837
Q9UBS8 P61077
Q9UBS8 P51668
Q9UBS8 P35222
Q9UBS8 Q7L5Y6
Q9UBS8 Q9H8V3
Q9UBS8 FAM46A
Q9UBS8 P20823
Q9UBS8 Q6ZV29
Q9UBS8 P15884
Q9UBS8 P15923
Q9UBS8 P09651
Q9UBS8 P51965
Q9UBS8 Q969T4
Q9UBS8 Q96LR5
Q9UBS8 P10275
Q9UBS8 Q9UI36
Q9UBS8 Q13404
Q9UBS8 Q9UJU2
Q9UBS8 P04004
Q9UBS8 Q01995
Q9UBS8 P21580
Q9UBS8 Q9BWX1
Q9UBS8 Q5VVX9
Q9UBS8 Q96B02
Q7Z7E8 Q13573
Q7Z7E8 P04637
Q7Z7E8 O95274
Q7Z7E8 KIAA0368
Q7Z7E8 Q9UNE7
Q7Z7E8 Q16581
Q7Z7E8 Q9BS26
Q7Z7E8 Q9H1B7
Q7Z7E8 O43934
Q7Z7E8 Q13643
Q7Z7E8 Q15170
Q7Z7E8 P51784
Q7Z7E8 Q9BXJ5
Q7Z7E8 P28335
Q7Z7E8 Q9UBF6
Q7Z7E8 Q9BY78
Q7Z7E8 Q8N6U8
Q7Z7E8 Q9Y5M8
Q8WVN8 P47756
Q8WVN8 P35227
Q8WVN8 Q15717
Q8WVN8 Q13489
Q8WVN8 O15144
Q8WVN8 P22314
Q8WVN8 O00159
Q8WVN8 Q13490
Q8WVN8 O14744
Q8WVN8 Q9HBD1
Q8WVN8 Q6ZNA4
Q8WVN8 Q16643
Q8WVN8 P59998
Q8WVN8 P63261
Q8WVN8 Q9BQA1
Q8WVN8 P06396
Q8N5U6 O60341
Q8N5U6 Q9HCE1
Q8N5U6 Q8N2K1
Q8N5U6 P68104
Q8N5U6 Q04724
Q8N5U6 P62837
Q8N5U6 P61077
Q8N5U6 P51668
Q8N5U6 P50222
Q8N5U6 O14980
Q8N5U6 Q5T3J3
Q8N5U6 P54274
Q8N5U6 Q9GZT6
Q8N5U6 Q9Y2X8
