node1 node2
PILRA PILRB
PILRA LAMA4
PILRA B4GALNT4
PILRA B4GALNT3
PILRA LRRTM4
PILRA TRIM68
PILRA NID2
PILRA PODXL
PILRA KIAA0319L
Q96KY9 C15orf39
Q96KY9 MARK1
Q96KY9 MARK2
Q96KY9 MARK3
Q96KY9 PUSL1
Q96KY9 TADA3
Q96KY9 MBIP
Q96KY9 FBXO45
Q96KY9 TOP2A
Q96KY9 L3MBTL2
Q96KY9 PML
Q96KY9 KLHDC3
Q96KY9 TADA2A
Q96KY9 TPP2
Q96KY9 ZZZ3
Q96KY9 MGA
Q96KY9 DDX11
Q96KY9 KAT14
Q96KY9 MYCBP2
Q96KY9 YEATS2
Q96KY9 NCAPG
Q96KY9 SETX
Q96KY9 UBB
RIN2 NAA10
RIN2 NAA11
Q96AK3 CLK2
Q96AK3 JMJD4
Q96AK3 SRSF8
Q96AK3 SRSF10
Q96AK3 SIPA1L2
Q96AK3 HELZ2
Q96AK3 TRA2A
Q96AK3 Q13434
Q96AK3 HNRNPL
Q96AK3 ZC3H3
Q96AK3 ZNF644
Q96AK3 HERC4
Q96AK3 RALY
Q96AK3 YTHDC1
Q96AK3 FAM120A
Q96AK3 CASC3
Q96AK3 ANGEL1
Q96AK3 HNRNPC
Q96AK3 DUSP11
Q96AK3 ZC3H11A
Q96AK3 DNAJB4
Q96AK3 FAM83H
Q96AK3 ATXN2
Q96AK3 SLTM
Q96AK3 PPHLN1
Q96AK3 DNAJB5
Q96AK3 Q9BRJ2
Q96AK3 ZNF318
Q96AK3 APOBEC3F
Q96AK3 LARP1B
Q96AK3 LARP1
Q96AK3 ZCCHC3
Q96AK3 MOV10
Q96AK3 POLR3B
Q96AK3 PATZ1
Q96AK3 HNRNPUL2
Q96AK3 KIF23
Q96AK3 ELAVL2
Q96AK3 ZNF638
Q96AK3 RBMXL1
Q96AK3 IGF2BP3
Q96AK3 PABPC4
Q96AK3 ZFR
Q96AK3 PTCD1
Q96AK3 UPF1
Q96AK3 SYNCRIP
Q96AK3 HNRNPR
Q96AK3 MKRN2
Q96AK3 STRBP
Q96AK3 THRAP3
Q96AK3 SAFB2
Q96AK3 SAFB
Q96AK3 ZNF326
Q96AK3 YARS2
PRAMEF10 AIP
CTRB2 CTRB1
LRRC51 JOSD2
Q5T0J3 ATG4A
Q5T0J3 OXLD1
Q5T0J3 NUDT15
Q5T0J3 HCCS
Q8N1V8 GATB
KLRF1 REEP6
KLRF1 ZNG1A
KLRF1 REEP5
KLRF1 TOMM40
KLRF1 GAPDHS
Q8N9H9 CCT3
Q8N9H9 CCT6B
SHC4 GAREM1
SHC4 CHUK
SHC4 AMD1
SHC4 NBEA
SHC4 SHC3
ITGA9 EVPL
ITGA9 CALML5
ITGA9 KLK10
ITGA9 IGLL5
ITGA9 SMOC1
ITGA9 SPRR1B
ITGA9 LCN2
ITGA9 PCYOX1L
ITGA9 ITGB1
ITGA9 IVL
ITGA9 SERPINB4
ITGA9 ALDH1A3
ITGA9 TUBA4A
ITGA9 HSPA5
ITGA9 P01834
LOXL3 MSI1
LOXL3 MSI2
LOXL3 LTBP1
LOXL3 POGLUT2
