gene study_attention
FSD2 91
MZB1 3
CACNG7 1
ALPL 9
TAF6 20
SYT4 4
VSIG1 58
SRPK1 69
PLEKHF1 5
DEFB116 1
SPNS3 8
LMNB1 52
PJA1 23
TTC16 1
SDHAF4 11
TUBE1 5
DNAJC21 9
ZG16B 40
OBP2A 6
ZNF229 3
SLC7A3 15
BOLA1 31
DNAJB8 8
ZNF419 4
MAGEA12 20
NUDT11 3
EAF1 93
GMFG 4
TOE1 52
ZC3HC1 18
SH2B2 21
PRR5 23
LEFTY1 2
UNC5CL 19
DPYSL4 19
KRTAP6-1 83
ST6GAL1 16
TMEM19 37
FAM171B 10
XPO5 40
CD70 79
C16orf87 21
ZNF140 5
RCAN3 15
BOC 9
HSD17B4 30
MBOAT2 3
WDR59 29
KLB 2
BRWD1 17
NCAPG 27
INPP5B 12
ANGPT1 2
PCDHB3 1
TXNRD2 7
SBSPON 3
USP32 43
FRAS1 27
TUBGCP2 46
CENATAC 18
SPATS1 6
TRIM34 6
ABT1 27
PREB 16
ALDH2 34
NAGA 3
PXMP4 1
INPP4B 1
EIF3J 39
SYNGR1 28
TRDN 36
CA9 2
CAPN5 4
HELLS 38
TBC1D4 44
ARPC2 36
CNTN1 24
THRA 20
GAGE7 1
ATP11B 1
DNAJC14 4
TERF2IP 96
TBC1D2 9
PHAX 34
LRRC8C 6
SEMA5B 8
POMGNT2 12
FBXO2 27
ROMO1 5
MAPK9 86
SGSM2 17
FLT4 16
RPS9 82
NBAS 24
GGA1 44
ST3GAL3 5
APH1A 24
LSM10 5
ASPSCR1 32
STXBP5L 5
LDHAL6A 8
TMEM147 50
TTLL5 13
STAT5A 30
NBEAL1 9
NXF5 2
SELENOO 13
ITLN2 2
CDH5 76
TMEM25 57
RBFOX3 2
TGS1 32
TOPBP1 27
FASTKD5 18
CHST11 3
WDR5 145
EXTL2 16
PAIP2 8
ZNF136 8
GOLT1B 172
PNLIPRP2 1
ARHGEF25 3
CSTF1 17
PPP6R3 27
OR6B1 3
PNKD 81
MAP1LC3B 362
C2CD3 16
ANGPTL4 23
KDM4B 17
CLCF1 2
YWHAE 180
EBI3 6
RBMY1F 35
PCDH18 4
CHERP 62
KLRK1 9
PTK6 31
SULT1C3 1
SRSF11 29
RBM12B 11
SRCIN1 5
B4GALT4 8
EXOC4 62
PPP1R3G 1
SLC4A8 29
HK2 29
CDK5RAP3 43
ARMS2 10
THBS2 11
ABI3 66
UNG 6
NFATC2 15
MRFAP1 45
PLXND1 7
STK24 64
ATL3 60
SEPTIN12 21
RBM27 25
SLC2A8 10
SLC25A18 7
TEAD4 44
CGREF1 1
POMT1 24
AIFM1 253
ZSCAN22 33
MXD3 29
CTSS 1
SLC22A12 3
LRTM1 1
PROSER2 32
NPFFR1 1
FKBP2 7
TNIP1 139
ISCA1 29
RRP9 10
CKAP2L 3
BRD4 34
PMAIP1 10
GAL3ST2 1
NUDT15 4
RPL27 52
GSX2 1
GPR37L1 49
ICE2 27
KMT2E 6
UQCRC1 45
CAMKMT 6
BLCAP 17
PTPN3 47
XKR3 1
TUBA8 24
CXCL17 17
WDR92 19
CCZ1 9
TUBA1B 47
SLC25A11 41
RELB 79
CLEC14A 18
FAM186A 1
ZNF605 1
C1orf216 68
KCTD8 3
NUDT16 3
RBBP4 124
YBX3 55
HNF4G 1
VCAM1 623
UBE2NL 2
CASP6 10
C1orf131 12
L3MBTL2 96
WDCP 44
CD9 87
FGD2 5
FUT1 16
DOCK11 13
RASIP1 11
EIF2B1 47
CABP7 1
ZNF383 5
NFATC1 58
DCAF4 29
OSTC 16
DCPS 4
SLX1B 61
C6orf141 75
CRH 9
RPL10A 82
EOMES 2
RPL3 95
RPRD1A 27
B4GALT6 4
BMPR1B 4
KLRD1 2
PIGS 30
RPL7A 75
PLEKHA3 11
ZNF432 3
NLK 36
CCNE1 19
RASSF5 39
BDH1 16
OLFM3 10
SLC5A4 4
C7orf25 21
VSIG4 37
SLIT2 7
HNRNPA3 62
ASPDH 2
UQCRH 41
MAML3 2
DIPK2A 5
RPL31 50
H4C9 117
TPT1 124
FAM71F1 2
PCP4L1 1
FES 11
DOK1 11
MAST4 3
RRH 1
ZNF512 83
ABI2 217
SLC43A1 4
STAC2 3
PLPP4 34
KRT74 15
ANKZF1 6
