gene_or_protein,study_bias_score
ALPI,2
NAA20,1
DPT,3
FBXO10,1
ZNF479,1
NIFK,3
CBX8,15
FANCF,4
GCK,2
KLHL31,1
LNPK,1
SMURF2,10
FAM193B,1
SECISBP2,3
RHBDF1,1
CDCA3,3
NFATC2IP,3
KLHL28,1
RABEPK,1
TCF20,2
HMGA2,3
GJB4,2
KRTAP1-5,2
HMGCR,2
AGPS,2
PER1,4
AP2B1,4
NR5A2,2
IDI1,2
UBAC2,3
LRRC8A,1
EVI2A,1
TNFRSF14,10
CA10,1
CRP,15
ZNF835,1
CYP4A22,1
RUBCNL,1
C19orf73,1
STAT3,35
ZCWPW1,1
MRPL21,1
CD14,2
DOK3,4
THRAP3,3
KCNAB1,2
ENTPD4,1
EPS15,10
INHA,3
THAP6,2
SLC44A3,2
PDCD2,1
ZNF775,1
TULP2,1
CEP43,6
ITIH2,1
POU4F2,1
HLA-DRB1,1
MORN2,1
GALE,2
PATZ1,2
FYB1,6
TRIM52,1
SNRPG,8
ZNF549,1
BRICD5,2
PMM1,2
NFAM1,2
GCC2,1
ESR2,13
TMED7,3
SLC25A6,4
CD22,5
TSEN54,2
EMC6,1
SEMA6D,1
AKT2,10
GLIS3,2
AGXT,1
H2AC6,1
NPY2R,2
UBLCP1,3
PERP,1
DERA,1
CMTM5,4
SUV39H1,13
TOE1,2
ZNF48,1
AEBP2,4
NR4A3,2
SYK,17
REC8,2
EXOSC7,7
PSKH1,2
AKAP14,2
ANKRD18A,1
DOCK7,3
DZIP1,1
PLEKHG3,1
CENPF,2
CPSF3,3
L3MBTL4,4
COMMD10,4
PSMD6,3
ZNF227,3
DPEP3,2
LEF1,8
CCDC97,1
ARF6,7
MIS18BP1,2
OR14I1,1
CHD3,8
ZNF432,1
IL33,3
GBP1,3
IRGC,2
ESS2,2
CPT1A,1
SNRNP200,4
DSCR8,2
TLR3,3
ADRA1B,3
NPHP3,4
POC1A,3
PLCE1,1
ZNF571,1
TBC1D13,1
S1PR2,2
MDK,3
GEMIN5,3
UTP6,1
RBMS1,1
CUL9,2
FGF14,1
RNPC3,1
LAX1,1
ANXA2,12
HINT1,1
IKZF4,1
OFD1,8
TNFAIP8L2,3
BGN,3
ZNF74,1
GPD1L,1
IVD,1
FSTL4,1
RBPMS2,1
CORO1C,2
KDELR1,3
CMIP,2
STEEP1,1
ZFYVE27,4
HYAL4,1
LRP6,17
FADS2,1
POMK,2
ZDHHC24,2
ATP5PO,5
CFL2,4
LCLAT1,2
CAPN3,6
S100P,6
CLDN10,2
GLT1D1,1
GPBP1L1,3
PRDM11,1
CRABP2,2
MAP1B,3
PCOLCE2,1
ETF1,4
CIC,2
CUEDC1,3
DNAJC10,3
HINFP,1
WWOX,8
AQR,2
RFPL2,1
ARMCX1,2
SCUBE3,1
FBXL18,5
AOC2,2
SIK3,4
USP6,2
NEK11,5
ULBP2,2
TMEM266,2
RIN2,2
CELF1,3
RAC1,50
TGM4,1
SBF2,3
ZG16,3
GDF11,1
NSUN7,1
GBP5,2
FUCA2,3
STOM,5
ZNF446,5
NCF4,2
ATP6,1
S100A8,4
PEBP4,1
RPL7,2
TASOR2,3
AP1S2,2
RTN4IP1,3
ZSCAN23,1
FOXD4L6,5
ILDR1,1
DNAAF11,4
ARID5A,4
TMED6,1
RBKS,2
TIMM10,2
TNFRSF12A,4
MIB1,1
MOAP1,3
CD200,1
MTNR1A,6
SLC5A12,1
ZNF248,1
PCBD2,3
GAB2,7
RAB41,3
KIF25-AS1,1
TFG,7
TIE1,7
BZW1,2
ADAMTS18,1
SHC2,1
MRGBP,8
UFSP1,1
UBN1,1
FOXJ3,1
SLIRP,2
IFFO1,1
MAML1,3
GRM2,3
RGR,1
SDCBP2,3
GALK1,2
DTNA,2
BTBD2,1
GPR50,1
FAM189A2,5
DUS1L,2
IRF2BP1,3
ECHDC2,1
TAFAZZIN,2
CCDC62,1
H2AZ1,3
ZFP91,1
NRAS,6
TRIM45,1
ANKZF1,2
RBPJL,1
HK1,5
CCDC68,4
PGK1,4
ZNF572,3
MASTL,1
TLE6,1
GAS2L1,2
TRIP4,1
COG1,1
APMAP,2
LIG3,3
CERKL,1
TMEM74B,1
DRD2,6
KIF3C,2
FAM135B,2
DNAJB4,1
FBXO5,3
HSPB2,3
UTP11,2
MTCH1,1
RIC8B,1
GP9,4
PANX2,1
UGT1A9,2
VPS45,2
DCK,1
FAM219A,2
ANTXR2,1
BAAT,1
TMEM98,1
RBM46,1
MSRB2,1
AKR7A3,3
SREBF2,7
C1QTNF3,1
ATAD2,2
AMIGO3,1
DHX58,3
PIK3CG,3
CHAT,1
GNRHR,2
C1QC,3
DEF8,2
C1QTNF9,3
CGA,1
LCN9,1
ST6GAL2,1
XAB2,4
SNTB1,2
UVSSA,1
KMT2A,14
KLHDC2,3
PMEL,1
BAHD1,3
PAK1IP1,2
DNASE2,2
SFT2D2,1
CREB1,9
TMEM255A,2
ARF4,2
TNFRSF1A,17
PKIA,2
SATB1,5
NOP56,2
KDM5B,2
TRPC3,3
TMEM69,1
AATK,4
TNFAIP8L3,1
MTMR6,3
LGALS2,4
FCAR,1
NSMCE1,4
RTN4R,2
CFTR,23
CD28,2
LRP8,5
FNBP1,5
MAGEF1,2
C2,3
FAM3B,2
CMPK1,2
SNX7,4
GFAP,6
UBL4B,2
CHMP5,2
VMA21,1
ARMC1,2
KCTD14,2
TRIO,2
