gene_or_protein,study_bias_score
ETS1,12
CARD11,5
CLIC4,2
GRIN2A,2
JMJD6,6
ICOS,4
FANCM,6
METTL2A,1
TARS1,2
KDM5A,2
ASIC1,3
ALYREF,6
CAPZA2,2
BCL2A1,4
UBR5,2
MED31,3
COL1A2,4
VAMP4,6
TRAM1L1,1
TOMM70,1
SEC22B,6
SLIT3,1
NUP153,3
APBB1IP,2
FUBP1,3
ASXL1,6
SLC22A18AS,1
ANGPT1,2
SFN,19
TPGS2,2
DDX11,1
KLHDC3,2
ELF2,2
MCM2,11
DCTN3,1
CBLB,10
SSX5,3
PILRA,5
CHUK,16
KRTAP5-2,1
LURAP1,1
RPLP1,1
DUSP7,4
PPFIA1,3
MUC1,11
SUSD4,2
ST3GAL1,1
FAM221B,2
MGLL,3
TOMM20,2
CCR4,1
NPAS3,1
PTPN14,3
KLF16,1
TSPAN7,3
YKT6,3
BPHL,1
L3MBTL3,9
ZBTB39,1
C3orf56,1
GSE1,4
MNS1,3
MAP4K1,6
CEP57,3
WHRN,1
PRR34,1
HAVCR1,2
MBNL2,1
ADAM12,4
ANKRD34A,1
STK33,2
MTG2,1
ANKRD26P1,1
TXNIP,2
NIPAL3,3
ARHGAP26,5
BHLHA9,1
VILL,2
MTMR8,3
SP2,2
PPY,1
FOXG1,3
DNAJC14,1
CSAG2,1
MATN1,1
ZNF517,1
ITGA4,6
CYP3A4,2
ALX3,1
LSMEM1,2
TRERF1,1
NUB1,3
OR2S2,1
IFT74,3
CHD1,1
ALKBH4,4
MAP3K9,2
COG5,2
ZNF772,2
HPCA,1
SOST,4
NPHP1,7
BID,7
STK38L,8
CENPO,5
SHLD1,1
ARNTL2,4
EIF4A3,15
SIM1,1
EVX2,1
CBR3,5
PCDHA5,1
GYPB,4
FAM120B,1
S100A9,7
TBX21,2
TAPBP,3
DENND10,2
NFIB,4
PSMA5,1
RBM25,2
RASGRF1,1
IRF5,4
NUDT14,3
PDCD1LG2,1
TRAPPC6B,2
EPN3,1
CCDC28A,1
GSDMA,1
FIS1,8
CFLAR,10
MCRIP2,1
CDCA4,3
PEA15,1
FCGR2A,3
CYP4F22,1
PCIF1,1
FXYD3,2
DUX1,1
LINC00242,1
BIRC8,2
PPT1,1
LRCH1,4
GADD45B,2
PTPRK,3
CASS4,3
SERPINB9,3
DENR,4
PVR,6
FAM184A,3
PPP1R2B,2
GKN2,1
ZHX1,3
GAP43,3
ATP6V1B1,1
NABP2,5
CXCL9,3
LCE3D,1
SLITRK4,1
CNOT9,1
PACC1,1
PRDM5,3
ZBTB16,7
WNT16,1
AIFM3,2
MAGI1,7
PCDHB5,1
AK3,2
GYPC,1
DMRT3,2
KIAA1958,1
SPAG11B,1
CLDND2,1
KRT76,1
OSMR,4
ATG10,2
RPL39L,1
NDUFA2,1
RAPGEF5,1
SEC24D,3
UNC93A,1
GRIN2C,2
TMEM79,4
CAV1,23
TRIM47,1
TNNI1,2
COMP,4
SLC23A3,1
SLC35B2,1
HNRNPD,7
ARFIP1,2
NLRP7,1
STRA6,2
MIER2,1
CNTRL,1
P2RY14,1
C1orf21,1
IFT27,3
SEC61A2,1
RHOT1,4
CD48,1
PRR14,1
C19orf12,1
SMAD7,6
ZNF319,1
OSBPL5,3
DTL,1
C2orf76,1
MYLK4,4
IGLL5,1
FEM1C,2
NT5C2,1
BLMH,7
CKM,2
USP47,3
FKBP7,3
CTDSPL2,3
SLC33A1,2
CAPN8,1
CNPPD1,1
ZRANB3,1
PQBP1,7
ONECUT1,1
AKAP7,2
SLC41A3,3
NUFIP2,4
RNF113A,2
SEPTIN5,8
SMIM3,2
ZNF526,1
ATPSCKMT,1
PCGF3,5
H1-4,3
HRK,1
ASB1,1
TRIM8,2
PARD6G,3
MAST3,2
ARL4A,2
PRKAG3,3
GFI1,7
BRMS1L,2
CALR,7
TMEM35A,1
C11orf65,3
NUF2,5
IMPDH2,4
MACF1,1
PTPN5,2
TCTN3,2
WWC1,3
PALLD,1
SYT11,5
VCPIP1,1
CIAO3,1
RABGAP1,1
PSMD8,1
KIFC2,1
PLA2G4A,1
PLA1A,1
AGBL2,2
PEX14,6
GDF5-AS1,1
FHIP1B,1
ZFP1,1
NAGK,7
B4GALT4,1
KCNA6,2
EHMT1,3
KRT7,2
INSR,22
CANX,6
PPIC,3
NBDY,1
ALOX5AP,2
CLVS1,2
RBM39,4
PRKCA,10
SFXN3,2
SLC26A9,1
PAQR8,1
TBX3,2
NDRG2,2
ENDOV,2
ARL13A,1
LYPLAL1,1
GOLPH3,5
SUN5,1
BAK1,13
TPD52L1,4
RTN4,6
ALG8,2
MYL12B,1
KRBOX4,1
LCE3B,1
OIP5,5
CITED2,1
PHF7,3
HSPB9,2
ZNF438,1
C1QL4,2
ACTR3B,2
ARMT1,1
PARM1,1
MYO1C,1
SPATA18,1
AQP10,1
CALN1,2
GPATCH11,2
GPHA2,1
WDR41,1
FGA,2
ADORA1,3
DPF3,3
PRDX1,8
COL23A1,1
RASSF9,1
FAM219B,2
TNNI3K,3
AGO3,7
ATXN2L,3
ATP6V0E1,2
DND1,2
AMOTL2,3
CHRM5,2
TNFSF11,4
SUCLG1,1
FHL1,5
SMUG1,6
CSE1L,2
ANXA4,2
CD63,5
OAS1,4
SMIM2,2
CHORDC1,5
STT3A,1
AGTR1,6
LILRB1,3
CDK20,3
SLC15A3,3
FRAT1,2
TRPC5,1
TMEM92,1
RRH,1
FZD5,2
FAHD1,1
EIF2AK2,10
SAMD1,1
TBC1D10B,1
KRTAP19-2,1
TGS1,2
AMOT,8
CD274,8
PRMT9,1
TPR,2
MKRN3,5
MAP2K4,6
SPRY3,1
VPS52,2
NTNG2,1
DPYS,2
AREL1,1
CRYAB,11
BCL2L11,15
MAP4K5,5
COX17,3
TMEM54,1
TCTN2,3
SORT1,14
DIAPH1,5
ITPR3,3
NUP62,5
CCDC6,4
AJUBA,2
ATP5PF,1
KRTAP8-1,2
PSMB4,4
CALY,1
PPP1R12A,4
VPS26A,4
MFSD12,1
ELP6,1
SNRPA1,4
DDR2,5
VAV1,10
ANXA2R,1
KLHL18,3
TRIM62,1
CLIP4,4
CCT6A,3
FOXJ1,4
RAB18,3
KLRD1,1
BANF1,3
GGA3,7
CELSR2,2
MAP2K1,19
NOTO,1
RUNX3,4
STPG3,1
ACTN4,8
EMC7,4
KLF9,2
MRPL4,3
STK32B,2
LRRC29,3
KRT13,2
SULT1A1,1
UGT1A4,1
ADAT2,3
DUSP26,4
ADCK5,2
DNAJA4,2
ETV3L,1
USP30,2
MRPL50,2
GSK3B,29
ERP27,3
FHL5,3
FSD2,2
GSPT1,2
EDDM3A,1
BANF2,1
CTTNBP2,2
NRCAM,1
YBEY,1
PCDHA3,2
RPL4,3
WDR97,1
SLC9A6,1
BECN1,23
GABARAPL2,12
CARNMT1,1
ATF6B,1
WDFY3,5
PTN,3
C1QTNF2,3
MYDGF,4
SLC6A20,2
TCL1B,2
B4GALT6,1
CIITA,4
UCHL3,4
SAE1,3
CAPRIN1,3
DDX19B,8
LOC107987462,3
MLKL,4
PRKAG2,4
ZBTB1,1
MEIS1,5
SLC22A3,1
CD74,6
TNPO3,1
EPOR,6
PRKD3,4
TASP1,1
ACKR1,1
CADPS2,1
FSTL1,5
COX4I1,4
PCARE,1
IL11,3
SYT5,1
MTERF2,1
TPRG1,1
SDHAF1,2
ZBTB18,1
SCML2,3
TIGD7,2
IRF8,2
IL24,1
CUL5,9
BRAF,22
IRGQ,1
TJP3,1
ABCB5,2
RCL1,1
ICOSLG,2
NAT2,3
AKT3,6
MLN,1
SLAMF1,6
GNGT1,2
ANKEF1,1
SMYD5,1
PTBP1,6
NUDCD3,2
ITK,11
CAMK1D,3
ZNF100,1
RAB13,1
GDF5,3
UBE2V1,4
FBXO11,6
ELAC2,1
GTF2H1,7
ABCF2,1
FKBP1A,4
CEACAM5,2
NMRAL1,1
GFER,1
PTCD1,1
TSPYL6,3
RSBN1,1
FAM156B,1
HOXC8,3
NOS2,2
DDX31,1
MFSD6,1
LY6G6D,1
LAP3,2
USP39,2
AKT1,39
SIGLEC6,4
GSTA2,4
ZNF578,2
CCKAR,1
NR2C2AP,3
IFT52,2
FAAP100,2
TMEM38A,1
CDC25C,5
FAM166B,1
WDR77,6
PAGE5,1
VDAC2,1
LRRC61,2
DHRSX,2
DNAJC15,2
GJB7,1
S100A16,1
ERICH5,1
COG4,3
ABCG4,2
RUFY2,1
PLIN1,1
GGH,2
STK25,14
ME2,1
CXCR3,3
THG1L,2
MLLT6,4
SLC29A2,3
SLC66A2,1
NUBP2,2
SLC39A13,2
FAM217A,1
FN1,19
MAP2K5,11
TMC6,1
MSH5,2
UCP1,1
H3-4,4
COP1,8
MLX,6
LY96,5
UBE2A,6
CIAPIN1,6
ESR1,69
KLHL33,2
PAPSS2,2
TMED5,1
VAMP8,4
DGAT2,1
SPOPL,1
CPEB1,3
HAUS3,4
HDX,1
BYSL,8
TBC1D3F,1
ADGRB2,2
DKK1,4
THAP10,4
VAT1L,1
NDC80,13
KIF5C,3
PLCG2,5
STX17,5
ZNF334,2
PDP2,1
RNLS,2
SERPINE2,2
KRT80,2
FOXL2,1
MPDZ,5
SLC39A12,1
MLLT11,2
RASSF1,11
ST3GAL3,2
CES1,2
KRTAP12-1,2
CER1,1
C10orf88,5
JPH4,1
MOB1A,7
RAB2A,4
GRB2,65
CELF5,2
TYRO3,5
ZDHHC22,2
SPATA17,1
LRRK2,60
CSK,11
RAD54B,2
CCDC88B,1
CFAP300,1
BIK,7
MUC7,1
TULP3,6
IL17RC,1
VSIG2,1
RPS6KA3,6
DDHD2,1
TANK,8
VASH2,2
CEP250,1
DMAC2,1
ZNF383,1
CCND3,11
SNRPC,4
ARCN1,1
B9D1,2
CFAP410,3
ARHGAP35,1
PRIM2,3
SRSF8,1
PIGM,1
INPP5D,3
MCCC1,1
FBXO32,2
HEG1,1
PTOV1,1
MACROH2A2,3
ZNF512B,3
SCRIB,11
GRAP2,15
MCFD2,3
ARHGDIA,6
NPEPL1,2
FAN1,2
PML,20
TIMM23,3
MISP,2
COG7,5
C5orf49,1
NR3C2,1
MRPL41,2
RIT1,5
LPAR3,1
ARHGEF9,2
ITGB4,5
HCK,22
B3GALT2,1
DPH1,1
CT55,3
CDH1,17
TRAP1,1
ZNF16,1
ZFYVE19,2
GRP,1
ZBTB8A,2
COL26A1,1
SPDYC,1
POC1B,3
CENPT,2
DCAF5,1
ZBTB48,4
VEGFC,2
CARD19,1
SPDYE2,1
ADAP1,2
HLTF,2
CLU,7
ZDHHC7,1
ZNF264,2
SORBS3,7
FLNA,14
POLDIP2,3
SYDE1,2
NOP10,3
RCHY1,7
TGIF2,1
CILK1,5
TOB2,4
STC1,1
ROMO1,2
HSF2,5
LCOR,6
TEX13A,1
BHLHE40,9
CALM3,1
CAMK2A,7
TIFAB,2
USP28,1
HAPLN2,1
MRPL34,1
B3GAT3,1
NOS1,1
GRAMD1B,1
ATP6V1H,2
IQUB,4
PPP1R18,5
MPL,2
ANKRD13B,1
CSGALNACT2,4
DEGS1,2
SYT7,1
KRTAP15-1,1
UGDH,2
GABBR2,2
TNKS1BP1,2
CCL4L1,3
CDNF,1
PHKB,3
PPIA,6
SRSF11,3
FREM2,1
CPA5,1
ZMYM4,1
WASF2,4
LPAR2,1
DAZ1,3
SERPINB6,1
WDR88,1
SFXN5,2
NOS1AP,1
YPEL3,1
SGTA,5
CCL21,6
DOT1L,6
HNF4G,1
LCE2D,2
TACO1,1
GRIN1,1
TTC23,3
USHBP1,8
NLN,1
SLC22A1,1
PLA2G12A,1
ZNF670,4
FCER1A,1
C20orf203,1
ADAMTS1,2
SAXO1,2
FBXL2,4
PRMT6,3
CYP2B6,1
PBDC1,1
LCP2,15
JMJD4,2
ANO9,2
WASHC5,2
RAB5A,12
METTL25,1
SLITRK6,1
HDDC3,2
ZNF256,1
SPACA6,1
ARL6,4
CCR5,9
GMPPA,1
PSRC1,1
H1-6,2
LEPROTL1,2
HSD17B2,1
IL17RA,2
EPB41L3,5
ZNF185,1
TUBB3,3
ZFAND4,1
FOXJ2,1
ULBP3,1
ERCC3,9
SLC16A1,1
JOSD1,4
RBM41,4
SF3B2,5
PTCH1,6
IL32,5
KRT18,8
ATOH8,1
NUP58,7
SEC16A,3
RTN4RL1,2
ZNF343,1
SRPK2,4
MAB21L2,4
PAFAH1B2,2
FAM209A,1
PREP,1
RPS6KA1,8
KRTAP10-5,3
PAPSS1,2
TMED10,6
RARG,4
RORC,2
UGT1A6,1
FGF16,2
CCL3,1
WDR33,1
EPO,2
ZNF783,2
NOS3,10
VAMP2,4
CERS2,2
NMNAT1,6
TCAF1,4
HDAC6,17
MAP3K11,3
BOLL,3
CMTM6,4
SLC47A1,1
ARHGAP25,3
CDC37,11
EIF3E,9
TGIF2LY,4
VARS1,2
ETS2,5
LMNTD2,1
SCNM1,7
SLC2A14,1
SPAG5,5
VIM,15
S100A3,1
ANKRD22,1
PRKACG,2
LONRF3,2
ACAP1,2
RPLP0,2
TIMP3,1
WFDC10B,1
TINF2,9
SRA1,3
SERPING1,3
LOXL4,5
ZDHHC15,1
MIEF2,6
MYPOP,1
TNFAIP1,4
HOXA9,3
INVS,4
CABCOCO1,1
PIH1D2,2
NDUFS4,1
CEP170,4
HOXC5,1
MTDH,3
MNAT1,5
TNS4,3
USP17L2,1
U2SURP,2
EXOSC10,5
CHST15,3
PITX1,4
USP37,1
TMEM70,2
ABCA12,1
RAB22A,4
ECE2,2
LHX9,1
FAM83E,1
MAPT,26
AQP4,2
SETMAR,4
MMP3,2
ZNF766,1
DDOST,1
PGBD1,4
APOA5,2
ATF7,4
GAGE5,3
NPDC1,4
BCAS2,5
THYN1,2
HAUS6,2
LIN7B,3
TBL1XR1,1
THSD7A,2
ZSCAN26,5
RNF128,2
VPS39,3
USP26,1
SRSF9,2
CENATAC,2
TNS1,3
ACCS,2
MGAT5B,2
KLF6,4
DUSP14,5
PLN,5
HCCS,3
MPRIP,2
STYXL1,2
RHOD,3
IL12RB2,1
NCAPG,3
CENPX,2
ATP1B4,1
MTX2,4
NTAN1,2
VPS33B,10
SKAP2,1
CYP2C9,1
FASTKD5,2
C7orf31,2
CCSER1,1
ANKRD28,5
TMEM167A,1
STK3,13
VPS4A,3
ARL4D,3
FAM153A,1
RPL18A,2
ASB8,2
ANKRD13A,1
ZNF131,3
STX1B,1
CATSPER1,5
LRRC51,1
STRN4,3
ING3,3
SH2D3A,3
TRMT61B,3
DPEP2,1
USP5,3
NANOS1,1
EMP1,2
AMFR,9
TOMM7,1
PIGQ,1
HR,2
MYBPC3,4
SRRM4,1
SERPINA5,3
HAT1,5
LRRK1,10
SERTM1,1
PAK6,8
ST6GALNAC1,1
GSTM5,3
CDK11A,6
FCHSD1,1
CBL,33
ERH,6
RAB34,1
AKT1S1,1
KCTD21,2
BFSP2,5
KRTAP26-1,2
WFDC5,1
BCCIP,3
KRTAP13-3,2
PSMC1,7
C1orf174,3
FLT4,7
SULT1A4,1
NFIA,2
CXCL6,1
RNF111,7
ATG101,4
PCGF1,8
TRABD,1
MPP4,1
SPANXB1,1
SLC9A1,1
TEKT5,1
NOL9,2
KHDC3L,1
PCDH17,1
MUS81,6
CYB5B,1
PEX11B,2
TIMELESS,2
TNFSF14,3
COQ4,2
CEPT1,2
ATP4B,2
LPAR4,1
B3GNT2,2
ZNF582,1
CMYA5,1
PRMT2,6
BCAP29,2
WDR27,2
EPB42,1
RPS6KC1,3
GPR25,2
MYEOV,2
TMEM45A,1
EPHA10,1
DNAJB14,1
CABP5,2
RPS6,4
FST,3
LCE1E,1
RANBP9,8
TESK1,3
APOBEC3C,3
CYRIB,3
ZBTB5,2
CRCP,2
USP18,8
CCN5,2
KIAA1217,4
FLVCR2,1
ZNF398,1
SLC2A2,1
CFAP97D1,1
LINC02913,2
CDCP1,5
EVA1C,1
FUS,15
NET1,1
SCNN1B,1
RNF24,1
DCC,7
RETREG2,2
DOCK2,3
GABRB3,1
CYTH3,2
CRADD,9
C1R,1
HMBOX1,4
CPT1B,2
LGMN,1
KRT27,1
PRKCZ,11
SASS6,5
RAD51AP1,9
MKNK1,6
CDIP1,3
YAP1,28
HSPB1,12
TTLL6,1
KLHL2,3
ANTXR1,5
NF2,16
VPS51,2
PRMT7,4
ACAD9,2
TNKS2,2
NKX2-1,3
FIG4,2
HDHD5,1
EN1,1
SEC23B,2
CYBB,1
PRKG2,1
MAPK14,20
ADPRH,3
PHETA1,2
BEX2,3
CSDC2,3
P2RX2,1
WAPL,6
MS4A1,3
JPH3,2
CXCL2,1
ZNF280A,1
SNRK,3
DNAJC4,1
VRK2,9
PHB2,6
TNXB,6
RASD2,2
NUP85,5
UBE3C,1
F9,1
LRG1,2
ARR3,5
CLTB,2
OMD,1
KRR1,3
SIRPG,2
NIP7,1
TADA2A,6
SEC13,5
GTF2H3,3
RHBDL1,2
TNP1,2
MCCD1,1
HMGN4,1
TLCD4,1
MEFV,5
SPTAN1,7
TNFRSF21,5
MTRF1L,1
OPN3,2
FGFR2,9
ZNF317,2
SYCE3,1
HMGN3,1
ITIH3,1
MYOD1,4
FBXO15,1
CDK2,29
PRUNE1,1
ZRANB1,3
GTF2I,4
EEF2KMT,3
CCL3L3,1
SLC12A2,2
SNTG2,2
HNRNPF,6
ODAD3,4
LRP3,1
EIF2S3,2
PIAS3,4
COL3A1,2
LIPG,1
TNFRSF17,3
PRPF38A,6
ECPAS,4
NGFR,7
IMPA2,3
GFRAL,1
ISLR,1
CACNA1F,2
MYL3,1
HTR6,4
ZNF562,1
CHGB,3
NMUR2,2
NXPH3,2
CCL14,2
ZNF800,1
PDCD4,7
DCANP1,2
FAM221A,2
ZNF230,2
ZNF461,1
TLR7,1
NOX4,2
UNG,2
OR6C1,1
HDAC1,42
AP4S1,1
JPT1,2
CDRT15P3,1
PHF11,1
SFXN1,3
MLLT10,3
CUEDC2,2
GPRC5D,1
CNGA3,1
KRT82,1
TMPRSS5,1
COQ8B,2
DCAF11,4
ICA1,1
CREBBP,31
CA14,1
C1QTNF9B,1
LRRC49,2
HBE1,1
RECQL5,3
CNTN1,1
C16orf54,1
WT1,8
GH2,1
ZNF558,1
PAFAH1B1,4
ZNF200,2
SNAPC3,3
KHDRBS3,3
SERPINA12,1
OPRD1,3
HNF4A,11
ATP2B4,1
LAPTM4B,4
PUS7L,2
MARK1,4
POLDIP3,4
MTRR,1
SLC16A6,1
PPP1R15B,2
TGOLN2,4
FAIM2,1
WDR26,3
SOWAHC,1
FRMD5,3
EIF4G3,2
PCDHB15,1
SEC24C,1
FAM218A,2
SFSWAP,1
POLR1D,1
SP100,12
FATE1,4
BLNK,3
ADGRG7,2
USP35,1
GNG12,2
AIRE,6
TTC1,4
TIPIN,4
PRDM14,4
TRIM22,3
NEIL3,1
STAU1,7
ARNT,7
H2BC11,2
MED24,1
LYRM2,3
HNRNPH2,7
KAT2A,4
KLHL15,3
HYDIN,1
HIPK4,4
ZNF667,1
TSC22D4,3
TRAF1,9
SERPINA10,1
DCP2,7
ATXN1,14
GALR1,2
MIX23,1
HEXIM2,4
NMU,2
PALS1,9
PDK3,3
PDCD5,2
DMPK,4
ASCC1,4
SPN,2
HEXD,1
MFAP1,5
LHFPL4,1
FAM174A,1
FOXRED1,1
ADGRL3,1
ASAH1,2
CCR10,2
TSPAN17,3
SLC4A7,1
MYZAP,1
RBM15B,3
SNRPD1,6
MKLN1,3
CCAR1,5
ETV5,5
DCAF15,1
MANBAL,3
MYOM3,1
STS,2
TMEM106B,1
SLC35B4,2
ARHGAP11A,1
STX18,2
ODF2,3
MTR,1
UBE3D,3
TAF9,7
ACADS,1
TEX35,1
BRF2,2
SPDL1,2
SEPTIN11,2
SCYL2,3
TAMM41,1
HDAC8,3
GPKOW,6
NELFA,4
PRPF18,1
TMEFF2,2
SPACA4,1
SLC35A4,1
SWSAP1,3
KIF21A,4
MFSD3,1
RIMKLA,1
C1QBP,11
CAMKMT,1
COX16,1
PEX11A,2
EFNA1,6
ACOT2,2
ELOA,3
KANK4,1
PSMA4,5
CCNDBP1,5
MOB3C,2
UBE2E2,8
LRR1,4
RFC3,2
SNCG,2
ZNF44,1
IPO4,1
ANK3,2
PIGBOS1,1
IL27,1
ZNF480,1
SLC22A18,1
NELFCD,5
FLRT1,1
MTERF3,2
RRP1B,4
ICMT,2
DNTT,2
MKKS,6
MOGAT2,1
PDCD7,1
RPL35,1
GOLGA3,1
LIM2,1
RPP38,2
STX19,3
UBE2E1,4
RAB19,1
CSNK1D,9
PCGF5,6
IRAK1BP1,2
RPS6KA6,5
ARHGAP36,2
POT1,8
C8orf74,3
ULK2,2
WBP1L,2
TMEM139,1
LAMP2,2
ITGB2,11
SLC12A7,1
LCK,29
PPP2R5A,7
HOMER1,4
PAEP,4
MTA1,11
DCAF4L2,2
BRMS1,5
PCYT2,3
ZZZ3,5
TRIM17,6
B4GALT7,2
OTUD7B,3
IL1RL2,1
PCDH7,1
RTL10,2
NOXA1,5
MYL9,1
C14orf178,1
SPATS2L,1
HMGB1,12
RNASE11,1
STYK1,2
ASNS,2
PCBD1,7
ABTB1,3
DSG2,3
MYADML2,1
RDM1,1
CORO2B,4
LHX2,2
TTI1,4
TIFA,6
KLC4,3
FAM74A4,2
ZNF35,3
KIF1B,7
ATG7,4
CALCOCO2,3
MCM8,3
GHR,4
PLCD4,1
AOC1,1
GCHFR,1
PSG11,1
TMPRSS3,2
GBP6,1
TMBIM4,1
PLAUR,3
DHCR7,1
PGLYRP1,1
COQ8A,7
SPINK7,3
CRHR1,1
B3GNT7,1
PRAF2,2
PTPRU,2
LRP2BP,1
MEOX2,3
REX1BD,2
ZNF702P,1
ABCG2,2
SHISA6,1
PRDM16,2
UBOX5,3
KRT78,1
DNAAF10,3
COMTD1,2
CENPQ,3
KCNJ6,1
HLA-DQB2,1
ATF2,16
PKN3,4
MORN3,4
AKIRIN1,1
PTX3,5
BUB3,7
IFT80,1
VAC14,5
FANCL,2
ZNF274,2
PDP1,3
TFCP2,4
LITAF,8
LUC7L3,1
CDKL4,1
NOC4L,4
CLN6,3
FGF11,1
PLD2,3
FMO5,1
ARMC10,1
ZNF232,4
NUDCD2,3
AMT,1
SKA3,4
HELLS,2
EML3,1
CKMT2,2
C9orf153,1
TMEM176A,1
PCDHGB4,1
EYA3,1
