gene bait_usage
FSD2 2
MYO1D 2
CACNG7 2
ALPL 2
EPHA7 2
SYT4 2
VSIG1 2
CATSPER2 1
PLEKHF1 2
SRPK1 2
DCLRE1C 2
SPNS3 2
LMNB1 2
PRDX1 2
PJA1 2
NKX3-2 2
TAC1 2
SDHAF4 1
TUBE1 2
ZG16B 2
OBP2A 2
HDAC9 2
ARL4A 2
SLC7A3 2
BOLA1 2
PPP2R5C 2
DNAJB8 2
ZNF419 2
MTMR9 2
ADSL 4
NUDT11 2
DLGAP1 3
JAK1 2
EAF1 2
DGUOK 2
ARFGEF1 2
CYB5B 1
GMFG 2
GTF2H2C_2 2
TOE1 2
ZC3HC1 2
SH2B2 2
NCOR1 2
PRR5 2
LEFTY1 2
UNC5CL 2
DPYSL4 2
KRTAP6-1 2
ST6GAL1 2
POLD1 3
TMEM19 2
FAM171B 2
CD70 2
C16orf87 2
CENPL 2
ZNF140 2
RCAN3 2
BOC 2
CENPS 2
FSHR 2
SPANXN2 2
KIF18A 2
TM4SF5 2
WDR59 2
STEAP1 2
SLC38A4 2
BBS10 2
NCAPG 2
DERA 2
ANGPT1 2
CFAP91 2
PCTP 2
PCDHB3 2
TXNRD2 2
SBSPON 2
USP32 2
TUBGCP2 2
CENATAC 2
IGFBP6 2
TRIM34 2
FGB 2
ABT1 2
PREB 2
ZNF575 2
ALDH2 2
DUOX1 2
CRHBP 2
ENO2 4
EIF3J 2
SYNGR1 2
MAGI2 2
TRDN 2
CA9 2
CAPN5 2
CYB5A 2
IVD 2
MAGEC1 1
HELLS 2
DRD2 2
TBC1D4 2
ARPC2 2
TTLL1 2
CNTN1 2
MAPKAP1 2
THRA 2
LMBRD1 2
ATP11B 4
DNAJC14 2
CATSPERD 2
DAAM1 2
HOXD1 2
DCAF15 2
TERF2IP 2
RND3 2
TRDMT1 2
SLC44A5 2
TBC1D2 2
PHAX 2
A4GALT 2
SULT1A2 4
LCP1 2
BRD2 2
COG3 2
LRRC8C 2
RPA2 2
GARIN6 2
IP6K3 2
CIRBP 2
GSK3B 2
KLK2 2
MRPS24 2
STK32B 2
TERF1 2
POMGNT2 2
FAAP20 2
CPNE1 2
ROMO1 2
MAPK9 2
TAS2R7 2
FBXO2 2
SGSM2 1
BTG2 2
KLHL6 2
FLT4 2
RPS9 2
NBAS 2
GGA1 2
CSH2 2
ST3GAL3 2
APH1A 2
SYTL4 1
ZDHHC21 2
TTC39B 2
ASPSCR1 2
RNASE2 2
SPATA13 2
NSMF 2
TMEM147 2
LRP1 2
TTLL5 2
STAT5A 2
NXF5 2
ZBTB34 2
MPP4 1
RAB10 2
ITLN2 2
ST6GALNAC5 2
GJA1 2
CDH5 2
TMEM25 2
TGS1 2
SUMO3 2
TOPBP1 2
ARPIN 2
BMP2 2
ABCE1 2
FASTKD5 2
LYPLA1 3
WDR5 2
HJV 2
PAIP2 1
ZNF136 2
GOLT1B 2
ARHGEF25 2
CSTF1 2
PPP6R3 2
NFIA 1
PDP1 2
GIPC1 2
OR6B1 2
NCF1B 2
IER3 2
PNKD 2
ANGPTL4 2
MAP1LC3B 2
EPB41L5 2
KDM4B 4
YWHAE 2
EBI3 2
CEP95 2
LMNTD2 2
PCDH18 2
CHERP 2
VDAC1 2
PSMA6 2
PTK6 2
