node1 node2
RNF14 NR3C1
RNF14 NCOA4
RNF14 ESR1
RNF14 UBE2E1
RNF14 FAM46A
RNF14 AR
UBE2Q1 STUB1
RNF10 C1orf103
RNF10 EEF1A1
RNF10 TLE1
RNF10 UTP14A
RNF10 COL4A5
RNF10 CCDC90B
RNF10 SETDB1
RNF11 C1orf124
RNF11 WWP2
RNF11 ITCH
RNF11 WWP1
RNF11 NEDD4
RNF11 UBE2D4
RNF11 STAMBP
RNF11 UBE2D2
RNF11 USP5
RNF11 ERCC6
RNF11 UBE2D1
RNF11 RIPK1
RNF11 ZFYVE9
RNF11 IKBKG
RNF11 UBAC1
RNF11 QARS
RNF11 MYO6
RNF11 POLI
RNF11 CCDC127
RNF11 EPS15
RNF11 SMURF2
RNF11 HUWE1
RNF11 UBQLN2
RNF11 CALCOCO2
RNF11 ZFYVE16
RNF11 UBQLN4
RNF11 PTPRC
RNF11 SNRNP70
RNF11 CBLB
RNF11 RPS27A
RNF11 OPTN
RNF11 RABGEF1
RNF11 EPN1
RNF11 EPN3
RNF11 EPN2
RNF11 GGA1
RNF11 DCUN1D1
RNF11 GGA3
RNF11 TNIP1
RNF11 SDCBP
RNF11 TAX1BP1
RNF11 HERC1
RNF11 UBE2N
RNF11 RNF168
RNF11 PDCD6IP
RNF11 TNFAIP3
RNF11 NEDD4L
RNF11 UBA52
RNF11 HERC2
RNF11 ZNF350
RNF11 TOM1L2
RNF11 UBB
RNF11 UBC
RNF11 ASCC2
RNF11 STAM2
REM1 YWHAZ
REM1 CACNB2
REM1 CACNB1
REM1 YWHAQ
REM1 CACNB4
REM1 YWHAH
REM1 YWHAE
CHMP1B SNRNP200
CHMP1B CNOT10
CHMP1B C15orf23
CHMP1B SSRP1
CHMP1B CHMP4B
CHMP1B STAMBP
CHMP1B RASSF7
CHMP1B RAB11A
CHMP1B SUCLG1
CHMP1B VPS4A
CHMP1B VPS4B
CHMP1B CHMP1A
CHMP1B CHMP5
PMM1 RAB6A
ASS1 ELN
ASS1 ASCC2
ASS1 AKTIP
ASS1 ARAF
FHIT UBE2I
FHIT SRC
FHIT HSPD1
FHIT FDXR
FHIT GSN
ZNF709 ARF6
NID2 LAMC1
