gene bait_usage
ZRANB2 2
MTMR8 2
SNRNP25 2
DAZAP2 2
PTPRG 2
KLHL11 2
GPC6 2
SLC9A7 2
GNG11 3
SLC35E3 1
PUM2 2
TTK 2
ASTN2 2
CLTB 2
HDGF 2
RAI1 1
CERKL 2
LRRC20 2
CCSER1 2
FHL5 2
CHMP5 2
GIT1 2
BATF 2
DDX21 2
PIN1 2
MAGI1 2
ACP6 2
TLX1 2
RPL10 2
SYNRG 2
LTBP2 2
RALBP1 2
DEPP1 2
SLC35G5 2
ATP6V1B1 2
CYP1A2 2
SCAP 2
GTF2H2C_2 2
RFTN2 2
SYDE1 2
VAMP8 2
TNPO2 2
DDAH2 4
M1AP 2
ANKRD13B 2
EBP 2
TMEM171 2
THAP11 2
RNASE9 2
SCNM1 2
GNAO1 2
SERPINB6 2
SEC61G 2
ABCB11 2
GDF10 2
ID3 2
PDE4B 2
RELL1 2
HYLS1 2
CT45A3 2
TAS2R19 2
PHC1 2
SPARC 2
CEP20 2
FNDC3B 2
PRELP 2
CUL4B 2
ARMC1 2
ADH5 2
SLX9 2
ARL4D 2
HTRA3 2
CTDSPL 2
NOP9 2
COMMD7 2
PTPRK 2
SLC4A1AP 2
TOX4 2
EAF2 2
LRRTM1 2
TP53I13 2
KICS2 2
SPRED1 2
B3GAT3 2
EPRS1 2
TLE3 2
ST8SIA1 2
HEYL 2
SETD1A 1
NDRG1 2
TGFBRAP1 2
CCT6A 2
TMBIM6 1
BORCS8 2
JAM2 2
LSM5 2
DMTN 2
REC8 2
MBL2 2
SNX17 2
GGACT 2
TMEM80 2
AP4E1 2
NFS1 2
ATP1B4 2
PRMT1 2
SYS1 1
IRAK4 4
TUBGCP3 2
C1orf127 2
F11R 2
ZNF311 2
LIPC 2
TTC9C 2
KDM5A 2
KANK4 2
MEX3C 1
CCDC146 2
TEAD2 2
SHBG 2
APOOL 2
HSD3B7 2
IFNAR1 2
ARHGAP42 2
ANKRD22 2
RNF128 2
ZSCAN5B 2
FOXS1 2
GADD45GIP1 2
DEFB103A 2
DNAJB4 2
MLN 2
YWHAG 2
STK3 2
RHAG 2
IL27 2
NT5C2 2
PYCR1 2
PRUNE2 2
CYSLTR2 2
NMU 2
SUPT7L 2
UQCRC1 2
TIGIT 2
RMC1 2
NPDC1 2
ENTPD3 2
PITPNA 2
BAG6 2
MYO19 2
GPM6B 4
CD247 2
AKR1B10 2
ETV6 2
SARAF 2
TPM4 3
IRAK1BP1 2
TLK2 2
PCBP4 2
MAB21L1 2
TEX101 2
PHF21B 2
TNS3 2
KLRG1 2
HLA-E 2
VAMP5 2
TPD52L2 2
ZXDA 1
DRAM1 2
TMEM123 2
CYRIB 2
PIP4K2B 2
INO80 2
NPLOC4 2
HNRNPH3 2
SGCZ 2
NFYC 2
ARHGDIA 2
BCL11B 1
UBE4B 4
TRH 2
SLC30A2 2
S100A14 2
EXOC8 2
PTPN4 2
