gene study_attention
Q9BZG8 18
Q9Y2L1 42
Q0JRZ9 23
Q8WWR8 21
Q9NZC7 135
Q96A37 46
Q13164 22
Q9BYS8 3
O94907 10
Q01970 9
P15309 19
Q14681 17
E7EQV3 2
P80188 74
Q8NI27 81
Q6PL45 39
Q9BWC9 33
Q8WWP7 44
Q01740 6
Q9P127 20
B7Z6H4 1
Q8WZ19 24
Q8N5C6 24
H0Y3A3 5
P36544 8
F8VWT9 3
Q13886 1
Q9Y5X3 36
Q53LP3 2
Q6ZTR5 4
Q8N2H3 2
P43365 21
Q5VXD3 1
Q14749 17
P04275 8
Q6PJP8 3
P13497 42
P79483 3
P51857 7
P35080 46
O43572 2
P19526 16
Q5H8C1 1
Q96RS2 2
Q70Z35 4
O00483 220
Q5FYB1 4
Q3LI66 182
O75317 26
P53672 24
O76015 73
P59780 4
Q9NPD3 64
Q5TA79 44
Q9BXJ1 9
Q8IWK6 4
O96014 20
Q8WVE0 6
Q7Z3H4 9
E5KS95 1
Q9HCQ5 1
O95415 2
Q8NCC5 20
Q15287 195
Q8NFZ8 5
Q9BSR4 1
P20749 9
Q01543 5
P50454 39
O00471 67
P43357 14
Q9NYZ2 1
Q9Y5X1 59
O00409 18
P58511 5
P63220 15
B2Y833 23
Q6F5E8 4
Q5GLZ8 16
F4ZW66 2
Q9UKA1 26
O94905 69
P10606 56
Q14244 31
Q96A26 10
P48067 5
P55064 6
Q8NAJ2 1
Q86UT5 6
P36959 3
P0DOX8 1
Q8NF99 36
Q9UHX3 18
P23769 31
B4DYI6 5
P54855 1
Q8N7Q3 1
Q9NX61 20
Q7Z7M9 1
Q14129 16
O00305 12
Q9BWM7 27
Q9NPC7 5
P11117 31
Q04695 20
Q9UBR5 3
Q9BT08 1
Q99996 51
Q9NP95 1
P09382 44
P54829 29
Q7Z2W4 129
Q9UBZ9 1
Q14642 12
Q9HCC6 10
P0DP57 1
P36383 14
Q53GA7 1
Q96C86 4
Q9UGP5 38
Q86U44 233
P62955 1
P48382 13
O60437 57
Q02156 10
A0A024R0C3 1
A6NHQ4 19
Q08629 3
O14745 33
P23284 37
Q92997 189
J3KPF9 7
P42785 3
Q92833 18
Q9P2K3 93
Q5JSP0 1
Q6ZQS4 1
O60307 42
E9PPM8 1
P43378 50
A0A024R8A7 1
Q9NY74 5
P42685 10
Q309B1 11
P60410 389
O75815 74
P61289 135
Q6AI39 25
Q6DJT9 4
Q14542 1
Q92947 21
C9JA08 1
P78412 12
O43278 23
B2R9X3 1
J3KQE5 1
P48742 6
Q8ND83 44
Q68CZ1 156
Q96A72 80
Q9P2Y5 53
Q5W0A0 1
Q96L34 33
Q16540 26
O15379 90
Q2TAL5 19
Q3LI73 4
P05015 1
P38606 84
Q3SXR2 18
Q8TDM6 32
Q96RI1 12
Q9BSJ5 27
Q7Z4H8 3
Q9Y5P4 26
Q99459 632
O43379 52
Q6FHT8 3
Q3LHN2 43
Q15661 2
Q9UI47 100
P02776 26
Q86YQ8 12
Q9UMX1 57
A0A024RDE5 1
Q96KT7 1
Q86WZ6 8
Q02952 19
Q71U36 362
Q86WK9 3
Q9BQ70 24
Q9Y3Q4 2
Q96NZ8 9
Q9H079 57
Q9NXB0 79
Q53H82 3
Q496F6 8
Q9BYT1 6
O75563 11
Q8NCK7 4
Q9NVH6 11
P86790 9
Q96B54 17
Q00653 118
B1ALY0 1
Q9UNE7 127
Q8NEN0 2
Q8IWU9 2
Q12796 10
O60739 166
Q13051 1
Q9UHV5 1
O00764 12
P35712 2
Q9P2T1 2
Q13813 93
Q9P283 8
Q9UMX2 34
P69849 4
E9PK12 18
Q8N3K9 15
P28472 6
Q9NY25 15
Q9UP38 5
B4DLN1 10
Q9HAK2 3
B4E2X3 1
Q8IWL3 738
Q9NP58 12
Q6ZN96 11
Q16343 1
Q3SXP7 28
P62877 47
Q15915 109
Q15398 15
Q9NQ39 3
Q96A22 2
Q6PJE2 2
Q8NAB2 1
Q8TE68 8
P59901 1
P37059 1
Q9BZA7 1
Q2MKA7 8
Q8WUF8 9
Q9NX00 18
Q9BV87 5
Q99500 3
O15503 9
Q5VZM2 24
Q9Y3D6 33
A4D1N4 1
Q3MIX3 27
P51854 6
B2R6K1 1
Q9UKW4 11
Q8IV01 14
O15034 6
F5GY56 1
Q8TCT0 58
P27544 6
O95466 11
Q86XP6 2
Q9UPX8 16
Q96SI9 55
P01584 4
P35212 6
Q8IYP9 5
Q9UKD2 29
A8K5H9 5
O14641 108
Q96JM7 78
Q8TEA8 3
Q9UMR5 9
Q7Z3E2 7
Q5TEJ8 3
V9HW53 2
P36382 27
Q9UJP4 13
Q9UJH8 4
A0AVG3 28
E5RGV0 1
Q8NEG0 19
O15394 3
Q9H1C4 355
Q4ZIN3 14
Q8IXB1 46
Q6ICP4 3
P42658 3
Q6P1N0 31
Q6NSZ9 28
Q8N7G1 2
H0Y9Y3 3
A2RU56 1
O43294 10
Q9BYE0 5
Q9UJT9 6
Q92696 22
Q8IX04 17
Q9Y4Z2 44
Q9BS16 13
Q6ZU15 14
Q7LBR1 28
H7C4R2 6
Q9UL19 2
Q99250 3
Q14332 13
Q6IQ49 4
Q06643 1
P30301 40
Q5XKK7 10
Q9HCS7 47
A6NKN8 1
Q16650 9
Q9Y5K6 56
P23458 33
Q9UF83 2
Q5SQH8 2
Q9P086 28
P0C870 13
Q49A12 5
Q96PV0 17
P08514 5
Q15034 15
Q8IY67 6
A0A0S2Z604 4
P00519 211
Q6NZ67 30
Q8TDP1 4
Q5MJ68 4
Q86UP9 3
P16581 10
O14604 1
Q14588 2
Q02318 5
Q8TAA3 6
Q8N490 82
Q9BYB4 13
Q9BYR8 82
Q9H2L5 6
Q9H892 5
O15389 23
Q96EH5 1
Q9NS26 5
P48443 20
P10243 4
B4DUP2 1
Q9NRJ7 35
B7Z6M0 1
Q5VTT5 6
A0A0S2Z4R1 1
P20396 2
P60903 22
Q8TDR0 128
A0A0S2Z5K2 1
Q9P0J7 22
Q00266 5
A2RTY3 1
Q9C010 3
Q8TE73 1
Q86XI2 9
F8W9L8 2
Q53F39 72
Q969E2 18
Q14157 26
Q9BZI1 3
Q9NZI8 79
Q9NQ89 5
Q9Y608 25
B5MCE7 1
O94864 14
A0A024RAD5 1
A0A0S2Z3T7 1
Q6ZNG9 2
P17039 2
Q68DN1 1
Q96MF6 6
Q9BSA0 1
Q96ET8 12
Q5VTE6 15
Q92604 12
Q9UJU3 2
P46527 47
P49639 272
A6NIX2 7
Q14191 32
E7EMK3 2
Q02094 5
Q99650 12
A0A024R8E4 1
P47211 4
