gene study_attention
Q5K4L6 19
Q96FI0 6
Q9UPA5 4
P46020 9
Q96M29 44
P10586 26
Q14500 3
Q9NX36 5
Q8WYA6 45
Q8IXJ6 47
Q92802 29
P15336 203
J3KPF3 1
E9PHY8 1
Q15751 30
Q05823 11
Q8TBF2 8
Q16587 2
Q8IZF0 3
U3KQK0 14
Q6UWW0 8
Q8IWQ3 2
Q15166 2
Q11130 2
Q14318 82
O95427 9
Q14653 46
Q8N9N7 4
O75038 1
Q2VPK5 21
Q6NZ63 2
Q9Y2H9 36
Q96S53 11
Q8TCD0 1
O95363 86
X5DNE0 2
P08247 61
Q53GW1 1
Q8IYL3 10
Q8TED1 154
Q6PCD5 43
Q13114 60
P50579 31
O43395 89
P35869 11
P49916 51
P52597 138
Q53HL2 45
Q8IWG5 6
Q5VTR2 49
Q5JNW7 3
Q9H7T9 7
Q6IAW1 2
Q7Z7B1 8
Q86V35 1
F5GZ90 3
Q9HAU4 71
Q8WXX5 28
V9HW22 1
O15444 8
Q9BW30 1
Q6FGU2 2
Q9P1C9 1
D6PAV9 1
Q13596 62
Q8N6M9 5
Q9Y4J8 25
Q8N5D0 26
Q8NDX6 7
Q9NPC6 12
O15054 5
O60810 1
P36543 18
P49441 4
Q96E09 14
Q96AY3 9
Q6ZSR9 4
Q9Y2S2 34
Q9UBU3 2
Q5VT40 5
O15243 14
Q05901 2
Q86T13 18
P03372 1883
P57735 12
O14668 1
Q70CQ3 33
P61218 63
Q96FV2 13
F8W726 1
D3DUQ6 13
Q8N201 20
P47898 1
P21810 3
A1L4H1 20
Q9NSD9 27
Q6ZV73 11
P06213 54
A0A024R9W5 1
Q5T200 20
P62266 35
Q9H4B7 78
Q9H2J1 1
Q96GA3 32
Q6ZV77 3
Q3KNW5 144
Q96MH2 64
P30044 26
Q9H6D7 43
Q8IX19 13
Q8IXU6 11
P12694 40
Q13905 12
P16519 1
O60641 10
Q96KQ4 89
Q6ZMY3 2
Q8NAF0 31
Q8N461 7
Q9NQG1 23
Q9P1Q0 8
Q9H0A8 29
Q9NYL5 1
Q86UW1 7
Q9NRW8 1
Q5SZE2 3
Q7L945 8
Q6PIK1 1
P10720 16
Q9BXB5 20
Q6UWQ5 38
B0FTY2 2
Q00444 11
P05976 8
Q8IVA8 3
Q9NSE2 7
Q15397 91
P22570 21
O75569 50
Q9UF02 39
Q9BXJ8 36
Q7Z422 2
O43674 48
Q13586 38
Q9NWT6 200
P15529 10
Q9BRX9 134
Q99683 42
P60329 46
O15347 13
Q13243 41
Q7L3S4 15
Q8IWF6 14
P05412 1371
Q6PL18 10
Q6ZN54 34
Q92796 49
V9HW29 4
Q86VP6 591
P19532 43
Q9BQ61 9
Q92954 2
H6VRG1 1
Q96MN5 23
P53673 25
Q99943 9
Q9NVL8 18
Q8N8C6 1
D3DU92 9
Q9H1E3 7
Q92879 32
O75841 48
Q5HYJ3 20
Q9UGI9 7
Q9Y2J8 1
Q9HCU0 1
O00408 3
Q5LJA9 1
Q02080 8
P50213 15
Q9NQE7 1
Q8IYX4 7
Q8WTP8 40
H7C2N3 1
A1A519 12
Q6PJG3 10
Q9BVS4 17
G3V1N3 4
Q5VWM5 1
Q9H6K4 83
Q8N4C6 109
Q92927 1
P10266 1
P15018 6
P22891 31
O60880 27
F5H018 2
Q9BZI7 33
P25791 209
Q8N556 22
B2R5W2 2
Q9UQV4 63
Q13241 2
Q7L4P6 24
A0A1U9X8X8 32
Q86Y56 37
P03951 4
O75884 2
Q5T750 4
Q8WYX9 8
Q9Y3P4 12
A0FGR9 4
P0DMV8 27
Q96J65 1
O00231 95
Q24JT5 5
Q8N9J2 5
Q5VWX1 72
P22301 7
Q9NTX7 16
Q9Y5H7 2
V9HW25 1
Q9H9H4 31
Q96G03 4
Q8WXF7 5
Q9UPQ3 8
Q14995 6
O00159 174
P54652 54
Q96MW7 3
Q6UXF1 25
Q13889 9
Q5T853 9
P55197 24
O43927 5
Q9NZ32 31
P46092 7
B3KXW5 1
Q9BRP4 24
Q9H0L4 40
Q9UC06 7
P43897 37
Q15036 32
Q9P0V9 17
V9HWH6 2
Q14CZ8 1
Q15131 19
Q9NZU0 5
Q13042 122
Q8N1A6 2
Q9H1D9 24
Q9UKI2 7
Q5C9Z4 39
Q63HK5 35
O94842 35
Q9BRP0 1
Q05D60 58
R4GMT7 1
P21941 2
Q6NSM0 36
P53677 10
O43715 13
F2Z2E2 1
Q9UK73 38
Q00577 23
O95297 38
Q68DS0 1
Q00169 11
Q6UWV6 14
P00491 18
Q7Z6R9 60
Q5THT1 7
Q13501 143
Q86X27 7
Q9UHQ7 8
O15226 34
Q13404 42
Q04743 2
P40879 1
O15031 25
P55056 23
Q9H6F2 6
Q99985 3
Q9UGM6 6
O15355 72
Q86WN2 9
Q9Y6D5 28
P61353 51
O60469 1
Q5CZA5 1
F5H5S8 1
Q8IXW5 33
Q8NA42 5
E9PJN9 3
Q2TSD0 1
P26842 26
Q6YP21 10
Q76LX8 2
Q8IWP3 2
Q9Y6G1 29
Q86WB0 18
P13645 35
Q9UKV0 26
H0YC01 1
P07766 22
Q96HA7 25
A2RTX5 34
Q49A92 2
Q8IUR7 69
Q147X3 3
P15408 62
O78179 1
Q5VWQ0 47
P52888 6
Q8WWX9 10
Q7L3T8 9
Q59EI9 1
V9HWF5 2
Q9NY47 15
Q8WYQ3 95
P43034 27
Q92794 17
Q9NQW8 2
P51788 30
A8K0Y0 1
Q8WVB6 11
P41145 12
Q5T0L3 13
A4D161 18
C9JFV4 1
P51965 67
Q96H78 3
Q9BS40 34
Q2TAZ0 21
P82909 11
Q86W61 1
Q86U90 3
Q96QF0 53
P21802 64
P10075 4
B9ZVR7 6
Q8NFV4 43
Q4G0I0 1
E9PQZ5 1
P56693 13
Q9Y3C6 30
Q86WX3 24
Q9UII5 8
Q5TEU4 43
Q00978 13
Q8NFP0 1
P56178 9
Q7Z4W1 12
A0A140VJZ4 1
Q9BY49 9
O00570 2
P61812 1
O43916 2
Q8WWY8 24
Q9HB58 14
P12271 1
P09958 10
E7ETK0 1
A0A087X2H1 1
Q9NP77 7
Q75MZ5 2
O15212 41
X5DP35 12
A8K8A6 1
P19793 36
P57682 12
Q9Y240 31
A0PJX2 5
Q53SE7 60
F5GWN5 1
Q8N1G4 20
E7EN19 5
Q9Y566 12
P40337 250
P62249 75
Q9BTN0 13
Q3KP44 32
Q9NXW9 18
Q14342 4
A6XGL0 1
Q92832 37
Q8NHY3 41
Q9Y4E8 81
Q2TAA5 6
Q8N5S3 3
E9PQD7 1
P27348 319
Q15369 66
Q15323 377
P21127 21
P20711 1
Q8WV99 21
Q96NW7 5
Q5VU62 29
Q8IZ07 18
Q9UQ07 9
Q8IWZ6 65
F8W038 3
Q1WWK5 1
O00303 87
O75494 49
P08173 76
A8KAH1 1
Q9NTX9 29
Q6ZNQ3 1
Q99666 32
Q9BVC5 6
B4DKZ6 1
Q9Y5F2 48
Q8NCX0 7
A4D2P6 4
Q9UFV9 1
Q16204 65
Q9NYU2 39
Q99439 10
Q9NR55 42
Q8N8A6 29
O95954 6
P56747 6
O75486 10
Q8N4G2 4
O95971 8
Q9Y4P1 22
Q969P5 5
Q9P232 2
Q6IB11 1
Q17RD9 2
Q6Q759 1
P21964 80
A8K5B0 1
A8K517 1
Q8N8Q1 3
P04150 70
Q6KB66 29
Q8N100 1
Q96FV3 25
Q9Y547 22
Q96IF9 1
Q969P0 27
Q92968 10
Q8NF67 1
Q9ULZ2 8
Q9UL26 8
Q96HJ3 4
O96017 101
O60939 58
Q8IVG5 4
Q1MX18 13
A0A087WTP3 1
Q5TA56 4
Q8NBN3 19
Q96CX2 21
Q9BWW9 7
Q7RU04 2
Q9H910 8
C9E8W1 3
Q9Y320 174
Q9NZI2 15
P40429 43
Q9UII2 22
Q9BQP7 21
Q6P1X5 15
Q6IPI1 1
Q93015 5
C9JPM4 2
Q15777 14
Q9H845 70
A6NED2 20
A0A0S2Z639 1
Q7L4M3 1
D6RGH6 7
P16885 30
B4DDX2 1
Q86UT6 22
Q92824 77
Q6P9F7 21
Q56A76 2
Q05C46 2
A0A140VK70 1
P21145 83
Q86WB7 19
Q96JB7 1
Q6F5E7 10
P06729 5
C9IZQ1 1
O95159 82
Q9Y5E3 1
Q4KMG9 93
P60370 140
Q9BTP7 9
Q9BQJ4 4
O75419 24
P49458 42
B2RBR9 2
P78344 32
Q7L8J4 27
Q14C61 7
Q8TAP4 102
Q15772 5
Q99547 33
O43543 11
Q9BXI2 3
O15155 315
Q8NBU5 17
Q9NRY2 14
V9HWE9 1
Q8TDG2 4
Q8IY49 7
O15479 47
Q6UXN7 6
Q92831 38
Q13557 133
Q9BY11 45
P16035 24
Q9BYC8 25
Q9NYA4 28
Q96KP6 38
P23415 2
Q8N5M4 34
P16150 11
Q9Y3E8 1
Q7Z333 49
Q9H4B6 89
Q6PH85 8
Q9NZZ3 42
A0A0U1RQC9 1
Q9H814 35
Q9Y2Y0 6
Q86XM0 2
Q9H3R5 41
Q8NE09 1
Q9HCK0 35
O60779 28
Q9Y466 14
Q00536 37
Q9H930 4
Q9Y2T3 5
O14497 29
O14498 39
Q9NQX6 59
P16619 4
Q5T4B2 55
Q9NRA2 1
Q6AWA4 1
Q9UNE0 6
O75074 3
Q9H2J4 13
Q96DG6 14
Q9HBD1 9
Q9P2W1 15
C9JJ79 14
Q9UI42 20
Q9NWA0 73
Q15365 106
P48764 1
Q02878 91
A8K900 1
Q96AX1 15
P08637 3
Q8IVL1 10
Q96QT4 9
Q9BZD6 2
B4E0R6 1
Q5JSJ4 2
A0A0C4DGT3 1
Q86TL0 3
P21709 112
Q53SF7 18
B4DXZ6 1
P24539 65
Q6PKB3 1
Q9UPT5 53
Q5SNV9 1
P43246 53
Q9NVP4 3
O75335 2
Q01538 1
Q7RTY5 1
Q7L0X2 2
Q8WZ82 2
Q99504 6
B2R983 1
Q8IY34 8
Q99988 13
Q9H4A5 16
A0A0S2Z3N5 1
Q03112 18
Q4G0X9 25
Q9UL17 4
P16401 29
O95478 50
O00746 102
H7BYT1 1
Q9HBB8 13
P04629 12
P49642 23
Q9Y5K2 3
Q8TD19 30
B1PKZ2 4
O00292 2
P28330 6
Q9UN19 16
A4FU01 2
P29597 61
A0A0S2Z3K0 3
Q96GD0 3
Q9NPE6 27
J3KQ12 33
P07814 59
P54577 23
Q08257 10
P10588 24
Q969X1 11
Q8N8E2 2
Q96MS3 3
O75449 52
P16930 9
Q5JT25 7
P30556 72
Q6IPC0 2
Q30KQ5 2
P21399 11
P05413 10
P49190 4
Q16181 28
Q5VZI3 3
P13747 38
O00268 21
Q93099 4
P49750 28
E7ESI2 2
H3BRN8 1
B0I1T2 5
Q6ZP65 1
P98198 14
E5RIZ4 1
Q9HAP2 3
Q2I0Y7 1
A6NKK0 1
P63162 104
Q9H4F1 2
Q7Z351 1
Q05CH4 6
A0A024R324 1
Q15776 24
Q9H2X6 21
Q96PX1 1
Q6UB98 5
P20339 69
Q9Y587 20
Q9BVG4 14
B1AHB1 1
Q13275 2
Q8WWF3 110
Q9UNH5 8
Q14CX5 3
Q6P0N0 12
Q9ULG1 21
Q9Y3B9 23
A0A0C4DG38 5
Q9UPU9 26
Q9NZR1 14
Q9UIG4 26
Q8NDP4 21
Q0VAQ4 36
P31939 20
P02810 3
O76081 62
B8A4K4 1
O75920 15
Q6IPE9 7
A8K3S1 1
Q7L014 22
Q00587 15
B4DJ38 1
Q15853 26
Q8N6G6 7
P16070 83
Q9UN74 39
V9HW09 1
B2RWN4 9
P13693 125
O75360 57
Q68CQ4 20
Q7Z401 14
B4DWV9 1
Q9H3Q1 18
Q9BU02 6
Q8TBK2 2
B2RWN5 6
Q05516 103
Q8NC24 37
Q86UV7 1
O60359 2
P25789 44
Q9NXH9 28
Q8TBR7 1
Q8N1L9 14
Q13618 1028
Q92935 6
A0A583ZBW7 3
Q15388 138
Q9HBR0 7
Q8IZJ0 1
A6NCS6 1
O14880 390
J3KT73 1
O60404 6
A0A075B6F9 1
Q7RTU1 6
O43306 16
Q8N9M1 11
Q8ND25 16
Q8NG68 4
Q9UBG3 19
Q96A73 21
P12755 16
Q16665 89
Q8WWG1 5
A8K8N7 1
Q9Y241 19
A0A024R904 1
Q86VG3 9
Q8IUX4 7
Q96EA4 24
P09564 3
Q9Y3B7 59
Q53HV7 43
Q4VXZ8 1
O15357 44
P05783 57
P54803 13
O94762 37
Q8IUC1 105
Q5SQS8 1
O95382 21
Q08289 8
Q1L5Z9 11
P30626 18
Q8HHH1 1
Q53ZZ1 1
Q99615 106
Q9ULX6 95
O95484 19
Q07955 68
P07315 7
P10073 34
B4DUB1 33
Q3B7S5 1
Q99550 26
P61077 100
Q8IVF6 3
Q92499 45
P46100 32
Q9UKQ9 10
Q99437 23
P01225 1
Q16690 2
Q5VUJ6 20
Q6UVM3 8
Q6IAX9 3
Q9UBU8 110
Q86YW5 2
O14757 38
Q86SG2 20
Q9Y3B2 63
Q13541 19
Q8TE96 13
O94779 3
Q9NYS0 3
Q9H477 6
Q9Y6E3 3
Q9UJ90 4
F8WDT5 1
E9PQX1 12
Q8TBK9 2
Q10713 56
O95999 33
P29466 21
Q49AM3 3
A0A0S2Z4F2 6
A0MNP2 1
Q6R2W3 6
Q96H20 20
P63241 36
O95782 84
Q6DKI2 28
Q5TZ20 1
Q92544 31
Q8WWL2 10
Q3ZCM7 80
Q7Z5R6 7
B4E3T4 2
I3WAC9 2
P49768 124
P29122 6
Q9BQG2 13
Q9NZH0 20
Q9Y247 48
P32780 24
B3KU03 1
Q6PL24 39
Q8WVD3 36
Q9NYV6 7
P07585 9
Q15744 2
O75711 4
Q8IVV7 28
Q4G163 2
Q9P203 1
Q7Z403 5
Q8IZ69 54
Q9H222 4
Q86UP2 67
Q01974 60
Q96IL0 1
O00512 6
P37231 42
Q86TE4 3
P04439 74
Q9H106 4
Q9BSE5 3
P98177 14
Q9BZ95 39
Q9C002 173
Q8N130 5
Q9BX72 3
Q9BSJ8 32
A0A0B4J295 1
Q8WXG1 7
P41732 21
Q9BZD4 38
I3L4P8 4
P07108 14
B7Z7U6 1
B4DSQ5 1
P19823 14
P32121 327
P13765 1
Q9H6K1 2
P05230 13
O75896 7
Q93063 24
Q0P631 2
Q8N567 15
K7ENG2 1
Q53HB9 1
Q8WW55 1
Q15329 8
Q6PKC3 31
Q9UN70 33
Q53F02 1
Q7Z624 6
Q7Z362 1
O14656 19
P13646 41
Q9NVJ2 27
Q9Y2Z4 45
P23743 1
O60879 3
Q8NEX1 5
Q9Y3A4 30
Q15058 54
J3KTL8 1
Q6P452 1
Q8N4N3 19
Q9NP70 3
Q17RA0 4
Q9H2G2 11
Q96HB5 145
Q7L5N7 9
Q5TD97 90
Q9UBF6 24
Q9Y2H2 1
Q9BVG3 25
Q96T68 11
B0S7P4 1
Q8N5Y2 9
O75061 6
Q8IUW3 8
Q9H008 2
O14867 41
Q9BX68 6
O95755 1
Q8IWU2 26
P43351 42
Q9Y5J1 17
Q3V5L5 2
Q9NZN9 18
Q9Y6J8 11
P41182 117
O14715 20
Q8NA72 119
Q9UGY1 66
Q9HBI6 1
P63215 17
Q14558 27
Q9C0B2 4
Q15782 2
H0Y8D1 3
Q71RC9 7
C9J0Q5 1
Q969Q1 164
H0Y4V9 1
P05186 9
Q9H4D4 1
Q8WVL7 10
Q6ZTW0 22
Q96E35 72
Q86YJ6 3
Q14849 16
Q99518 1
Q8IXN7 3
Q8N3U4 31
A8MRB1 5
Q9BSJ2 51
P18850 32
Q6P1M0 11
Q8WXQ8 14
Q9UHG3 12
Q4KWH8 13
P00492 38
P51116 96
Q13367 6
Q53EL6 21
B9A044 1
P41226 5
Q16822 39
Q7Z5K2 39
Q9HC78 9
Q8IVW1 1
Q96JG8 14
Q9NUN5 3
P51692 37
Q96KM6 84
H7BYD0 1
Q5VUJ9 6
Q9Y3V2 4
Q9H3D4 75
C9JDE9 1
Q9NX70 94
Q9UBN7 119
Q9UPV0 77
Q9Y303 3
Q6VAB6 132
Q9BTM1 2
O60765 10
Q8NFJ9 45
Q9BZD2 1
Q96BR6 43
Q15005 29
O95567 3
Q1XH10 2
Q15050 123
Q15735 18
Q15796 225
Q99946 3
Q59FJ7 3
Q5JR98 3
F6XY72 13
P56177 1
P33261 1
P78524 11
C9J050 1
Q6FHJ6 2
D6W5C0 1
P29279 15
G2XKQ0 38
Q15366 51
Q1JQ76 1
E9PKP7 2
Q9Y375 52
P58499 9
Q96BK8 9
Q9UGI6 4
B3KPC1 1
Q2NL82 44
Q8N878 47
B7Z720 1
Q53FV1 27
A8MQ02 1
Q5QJE6 18
Q9Y2Y9 4
P54278 26
Q6NXQ0 7
Q68EN5 1
P35236 14
Q6P4F2 3
Q8N3Y3 18
P54821 2
Q6UWP7 23
O43426 17
O95214 77
Q96L50 20
A8MQ03 504
Q9H7S9 28
Q9UMY4 9
B2RXH4 1
P51810 1
Q5TEE2 1
P48740 18
Q9HC21 11
Q8NHG7 11
Q13398 16
Q96G23 31
Q6ZPD9 8
A1L020 2
A0A0S2Z515 1
Q9Y2D2 2
P02489 11
Q15884 51
Q07021 192
Q8NHZ7 8
O95425 43
Q9BZ11 40
P06681 10
Q8WXK4 9
Q8TAV3 1
Q13901 26
O60231 22
Q6UX72 2
Q5BLP8 3
P42338 32
Q96FV9 86
P43627 13
Q8NHM4 1
Q9H4X1 4
O75175 30
Q00537 29
O14645 19
Q8N8N0 7
Q9H841 1
Q9UM13 17
Q9BUA3 10
Q9NXV6 37
E9PAV9 1
Q8IWF9 8
Q8WWB7 64
Q9UKL6 2
Q8IVB5 2
Q9NPF5 67
P51858 119
Q6ZR62 1
Q96QS6 11
Q5JTZ5 2
Q7L3V2 9
O96028 28
Q6PIW4 30
Q3KNW1 2
Q9C037 9
P16298 30
P22413 10
Q8N0S6 6
Q8IVW6 14
Q96PU4 39
Q8NAU1 8
E9PBF6 2
Q14416 23
O43837 31
Q9UNH6 16
P06454 12
Q8WXF2 1
Q3KP31 2
Q12766 8
B4DJ66 1
Q969X2 4
A0A087WWI0 4
C0H5X2 3
Q14571 20
Q06203 7
Q6ZNE5 18
Q8NG11 12
Q9H270 33
Q96RW7 1
P19876 4
A8K8K1 1
Q9Y6W5 32
Q0P6H9 9
Q9Y2R5 15
Q9UGI0 163
Q96BD5 29
Q5SZK8 17
Q8IUQ0 2
O15055 10
A4D1J9 1
O75030 9
P46531 145
Q96CU9 23
Q9UBG7 1
A6NEL2 1
P47224 26
P26572 7
Q9NQ92 24
Q8N661 105
Q13796 9
Q8N4L5 2
Q9NZ56 11
Q14766 31
O76024 16
A6NK59 1
Q8WWU7 2
Q14677 73
Q658P3 25
P36873 251
Q3MI94 5
Q99828 26
Q0VG75 1
Q92599 22
Q14088 12
Q5T013 3
Q9Y2L5 15
P56880 6
Q9Y5Y2 19
Q86VE9 1
Q6ZSG2 33
Q8IV08 19
Q9BRB3 11
Q09472 103
Q9HBI5 1
Q9C0I1 5
Q6PGP7 15
Q96SZ5 8
Q08174 11
Q9C0J1 2
Q96EP9 5
B3KM36 1
Q08ER8 3
Q8N5H6 2
Q8WVF1 4
H0YIN8 3
Q96JZ2 12
Q9Y6I4 26
P35250 39
P45954 15
Q9P0J0 75
A6NLX3 11
K7ELG9 1
Q9UDV7 7
P48145 1
Q2M2I8 19
Q9BV29 5
Q7Z4H1 1
P25440 32
P19021 13
P13984 40
E2QRF9 1
A6NIZ1 3
H7BZF0 1
Q5EG05 1
Q9H7X3 42
P98171 2
O14662 20
Q12891 21
P49914 2
Q9Y297 135
Q9HAH7 19
Q99805 8
Q6VMQ6 66
O60934 44
Q9NZ71 28
P20336 30
Q9NX58 121
Q5QJU3 1
P53539 26
Q96F15 61
Q9Y2U8 43
Q9UBQ0 27
Q9NPJ8 24
Q9NX14 55
Q96N96 13
Q6GQQ9 24
O75095 6
Q5XUX1 4
Q96GM5 162
Q6NW34 22
Q9H813 90
Q9NRZ7 30
A1A5B4 2
P01344 10
P30405 24
Q8NB46 25
Q06033 4
P52306 46
Q9BRG6 2
F8W6L3 1
Q96LB4 2
Q96F81 2
Q12918 1
Q9Y227 7
O00391 14
P17098 7
Q5TZZ9 1
Q76P68 1
P49760 112
Q9C040 27
Q6PH81 21
Q8N682 8
P31930 46
Q8WV48 23
Q8NDZ2 17
Q9P2P6 8
P35398 6
Q96M02 1
Q04912 9
Q9UPR3 10
O95704 23
Q15784 2
P82932 27
O60285 12
O00559 29
Q13162 27
Q5DX21 3
A2RRG2 1
Q75WM6 4
Q6PJH3 22
P14784 4
A0A024RD03 1
Q6UX41 37
O94812 2
Q96I24 37
P21695 7
Q7L0J3 8
Q9Y6S9 1
Q9NS61 11
O00566 21
Q96NX9 5
O75478 56
Q99895 14
O60888 22
P55318 47
Q06S70 1
H7C0H1 2
Q15714 148
Q96BQ1 1
Q96I13 3
O75438 14
Q4V328 67
P05155 6
Q9UBW7 44
D6RA89 3
Q9BXR5 11
Q969W9 7
Q92914 4
Q7Z4I7 15
Q13642 36
Q9NV12 47
Q8IXY8 4
P16422 2
A0A024QZS4 1
P27540 21
Q86TH1 1
Q6PEW1 24
O75396 104
P59998 36
