gene_or_protein,study_bias_score
A0A0S2Z489,1
P55011,23
Q658L1,2
Q8N6Y0,226
P20265,7
Q9C0I9,11
Q9NWT1,21
Q7KZ85,42
F8WAJ0,2
Q8IXK0,81
Q6DCB0,2
Q8IVV8,1
Q8IVP1,4
P06576,141
Q5QGZ9,24
H7C070,1
Q5IRN2,1
A0A0S2Z5K2,1
Q5SQ64,2
Q9H4G0,28
Q9H2X0,46
Q9Y4X5,78
Q14997,21
Q8TE56,1
Q9Y5Q0,18
Q5BKX8,3
Q96FY5,1
Q13203,8
Q9P2H5,3
P12074,16
Q9H3K2,54
Q9H172,8
Q07343,6
Q15059,17
Q9P212,3
O60294,11
P02743,6
Q14151,46
P09086,6
Q9UJ70,62
Q9UFQ0,1
O75688,49
O43323,7
P08572,24
Q7L0Q8,10
Q9UBY9,24
Q9Y6D9,68
Q9ULE0,8
P01566,3
Q9UKX7,42
Q9H2S1,2
Q8WVT3,21
Q8TDM0,13
P00797,4
Q9Y262,49
P0C2L3,4
Q9BTT0,35
Q969Y6,1
Q56VL3,1
Q75MH1,7
Q17RS7,2
Q9BSY4,2
Q8N7W2,80
Q9NYU2,39
Q6FGX2,2
P22692,3
Q14585,3
Q8TD23,3
Q494U1,41
Q8N766,34
P68871,44
Q99615,106
Q6P1K1,10
P0DPK4,217
O14732,18
P49918,13
Q9H0W7,7
P24539,65
B7ZBC8,1
A0A087WZU1,8
P21953,16
A0A4W8VYG7,1
Q9Y5J5,94
O14562,3
Q9UKA4,28
Q13009,10
Q9UF56,12
Q96GW1,3
P21815,2
J3KPF9,7
Q9H368,4
Q8IYT4,58
Q96PC2,30
Q96DA2,22
P43121,16
P30533,22
P55160,3
Q5JPT3,1
Q96EA4,24
Q8NBN7,21
Q6HA08,4
Q9UNL7,2
I3L2N2,1
Q6NZ63,2
P26371,194
P49758,6
Q8IUR5,1
Q9NV79,7
Q02156,10
P27487,1
P62191,90
P57103,6
Q9HBT7,1
Q9BT40,37
Q9NRW3,21
Q969M1,1
O75952,3
Q86VK4,61
P54687,23
P31944,19
Q9C0C9,77
Q96NT3,78
P62841,42
Q13324,2
R4SBI6,1
B4DX78,1
Q8N6D5,16
Q6B0I6,5
Q702N8,3
Q96IW7,104
Q9BQY4,70
Q6ISU1,4
Q8N283,1
Q9GZV9,1
Q96GE4,29
Q8N0U1,2
P26012,11
Q9BXS6,17
A0A024R3E3,1
Q9C0D0,2
Q9H2J1,1
Q9UHG3,12
P43155,10
Q9NWS6,17
P62256,49
P82664,32
P59780,4
Q96DZ1,12
P20393,11
Q96MG2,13
Q13707,1
Q8IVU9,4
A0A142JA41,3
Q9H6Y7,27
P55273,51
P14416,62
Q9NY64,10
Q9UF02,39
Q14118,63
P00167,11
Q9NR19,2
Q6UX07,4
Q96MF2,43
Q96EY4,34
Q15742,80
Q16651,3
Q9ULW2,55
A1L378,1
Q6J272,5
B2R894,2
P53370,10
Q9H583,30
F8W727,1
Q6PII3,9
H0Y7E6,1
Q16661,2
O95749,28
Q8NCW6,15
P56537,98
P59901,1
Q49A12,5
Q9NWH9,20
Q9H190,58
Q14839,65
Q9ULK6,12
A8MVS5,1
O14862,107
A6NI72,1
P17540,11
Q92911,11
O00175,5
P38570,2
Q8N4S9,14
O60783,38
F8W038,3
Q6PGQ7,20
Q15233,69
Q8IZD9,12
Q8WWF3,110
Q96H35,6
Q96JK2,31
P84022,148
P62072,12
Q9UBS3,35
B4DRT3,1
O75427,17
Q9NPJ1,11
O75164,35
P14859,29
Q14738,43
Q8TBM7,39
Q6PD74,20
Q9Y2Y6,10
P35542,2
Q8IXM7,4
Q96A83,2
Q96DR8,11
P46531,145
Q5JPT6,8
Q8IXM3,60
O60749,36
Q969E2,18
Q8TB24,44
Q9Y512,25
Q8WUV1,9
O60503,16
Q8N7R7,35
Q86UC2,7
Q9Y6W3,16
P24557,1
Q96FQ7,7
Q5TID7,1
O95273,128
Q9NUT2,18
Q9H0Y0,18
P31942,72
Q6P179,1
O15145,69
P68133,28
Q86Y07,40
P11117,31
P06727,10
Q7RTS1,43
D6RD17,1
Q16585,26
Q9BW11,30
Q8TCV5,5
H3BQK0,2
P30532,8
Q96AQ7,8
Q9Y5F2,48
P00813,3
Q16385,28
Q7L0Y3,44
O43463,149
P12643,14
D3DTR7,3
Q63HR1,1
C9JE12,4
Q59FF0,1
Q86X51,7
Q9GZU2,4
P41250,29
A0A0B4J1V8,1
Q9HB65,18
Q86UE8,24
Q9BQ48,30
Q9NZD1,28
P51178,14
Q8IVW6,14
Q8WUJ3,2
Q8WUF8,9
Q9BXB1,21
Q5KU26,31
Q6UVM3,8
P80748,2
P19174,114
Q8N1G4,20
P48751,2
P00918,8
Q9BUT1,11
A8K979,3
P80303,10
P0DTE5,1
Q5JS37,3
P62854,31
A8MV81,12
P61925,8
Q549M8,2
Q502W6,2
O75679,15
X5DR09,1
Q96D37,4
Q9UPU5,20
P63215,17
B3KX11,1
Q9UBY8,1
O43542,144
P09601,44
P42898,21
Q9GZS1,37
Q9H1M4,24
P14136,91
Q7Z4V5,33
Q8TBY0,3
P55854,56
Q9Y3D3,29
P17947,8
Q00597,33
O14972,22
Q8NFB2,44
Q14203,198
Q8WUJ0,42
Q96K37,23
Q5U8S2,2
Q14964,12
Q8WVL7,10
A8K4K9,1
Q9NPF8,5
Q6ZWI9,34
Q8N257,1
Q8NFW9,8
H0Y2M0,1
Q4VC05,55
Q5SRE5,21
Q99653,17
Q7KZI7,72
A0A024R870,1
Q9BSJ8,32
Q9UJX2,136
P51531,45
A0A1V1IGJ9,3
Q9Y6I3,32
Q6P3W6,1
O75718,21
Q96P11,8
P54274,115
Q676U5,39
P10620,19
O15067,21
Q53SS8,4
Q13509,247
Q4G0Z9,1
P0DPB6,8
Q86US8,13
Q14722,2
Q8IWE5,5
Q2M1Z1,1
Q9BYG3,77
O96018,41
Q13889,9
Q9UBS0,6
Q05682,34
A0FGR9,4
Q96BY2,20
B2RV13,5
Q96KP6,38
Q9BWV7,1
D6RER5,1
Q6NSW7,1
O75794,10
Q8N103,1
Q9Y2T4,39
Q8WUH1,3
O75317,26
Q53HY9,6
Q9NXC5,27
Q96J92,5
Q6B8I1,1
P10243,4
Q7L5Y9,34
Q15633,43
Q7Z2X7,3
Q9H7B7,8
Q9NPC3,12
Q9H891,2
Q8IV32,2
P36957,275
A0A0S2Z576,1
Q01523,62
Q9BTI9,1
O94856,8
O14662,20
O60658,2
P01374,10
Q7Z3S9,236
P50053,17
Q08357,14
P11021,283
P11229,4
Q16559,1
Q9BTP7,9
Q9H0C2,3
Q53H47,11
D6RIU2,1
Q8WY91,51
Q96F63,19
Q01094,36
Q96NL0,5
Q5ZPR3,11
O14519,55
Q96EK7,12
Q9H2D6,37
Q96GP6,8
Q16769,20
Q9UNE7,127
O15399,3
Q96AG4,73
Q16825,26
Q96AG3,32
Q7Z7L1,5
Q13615,26
Q7Z570,1
Q9H0F7,7
Q6DKI7,10
F8WDT5,1
Q9Y5Q6,53
Q8N9P6,1
P17050,3
B7Z7U6,1
Q6Q0C0,44
A0A0C4DGV4,7
Q14692,20
Q6FG85,1
Q9P2E2,3
Q7L8A9,6
Q8IZ41,3
A0A0S2Z5Y8,1
Q60I27,7
Q03519,15
Q92481,4
Q13569,13
Q96F81,2
Q5T8D3,21
O14594,2
Q68CQ7,7
Q6ZR29,1
Q6YFQ2,3
Q9BQK8,10
Q9BSJ6,29
Q96EP1,21
Q96JC4,7
Q6NSH1,1
Q53GA4,4
Q86U42,39
H0YBV7,1
P02749,16
Q86WZ6,8
Q9Y680,80
O15121,28
B2RAB7,1
Q6ZNC4,18
Q8NEH6,32
O43678,30
Q7Z2K8,13
A0PJZ3,8
Q16363,25
Q8N6M8,30
O75185,1
P07919,43
Q7Z699,40
Q9HCN2,1
O75027,10
P11137,14
Q96MM3,5
P78562,1
A0A024R9Y6,1
O95760,4
Q70EK8,22
Q6PH81,21
P19823,14
Q9C0H9,5
B7Z3H4,3
Q96GX5,21
P01700,3
P28749,29
Q15269,30
A0A0S2Z4G4,3
P37840,86
Q8WX39,1
P0DML2,7
Q8N6R0,17
A0S183,1
Q7L1Q6,26
Q96MR6,1
Q9UIG0,19
Q16075,1
O75596,42
P68106,9
K7EJC8,2
B2R8T5,2
A0A0S2Z5D8,1
B2R935,1
Q86V38,29
Q9UKU0,3
Q6P1J9,89
O95235,25
Q8IUC4,12
Q8N7G1,2
Q9BRU2,1
Q5SWX8,4
Q16394,21
Q96LM9,1
Q8IYX1,25
B3KSQ7,1
A6NDS4,1
P51659,29
P62750,69
Q96SN8,54
Q7Z2Y8,2
Q9UKN5,5
P0DN86,3
Q93050,44
Q8WXA3,14
P35236,14
A6NHR9,18
Q5QNZ2,3
Q8N6M9,5
Q9BQ70,24
P46821,49
Q9UJ37,1
Q15147,5
Q9NYH9,16
B1AK88,1
Q06323,41
Q96CU9,23
Q8N386,38
Q6PL18,10
O94906,56
Q9NYD6,6
O95399,3
A0A0S2Z6M9,2
P30086,24
Q6ICN0,1
A0PJW6,31
Q6UWP7,23
Q3KP31,2
O15068,7
Q5SZL2,11
K7EN05,1
P11766,3
Q5TYX0,2
P36402,4
U3KQK0,14
Q6PYX1,1
Q96HE9,63
Q96RF0,40
Q86W11,11
Q5T8P6,34
P11801,2
Q8NBJ9,16
Q9NNW7,7
Q99218,1
Q5VVH5,9
P23634,38
Q9UMD9,7
Q9Y3B1,22
A0A0S2Z6A9,3
Q9NP72,20
Q9Y536,6
Q9Y3Q0,7
P22612,19
Q9BUR5,4
A8MUS3,2
Q92765,9
Q96EL3,29
Q9NTZ6,23
P15260,23
Q01432,5
Q9Y5K6,56
P67812,18
P42701,13
Q9Y508,35
Q9H2Z4,2
O15273,41
Q15306,11
P55008,1
Q8N6K0,35
Q86X59,7
Q96PD7,2
Q53EL6,21
Q68G74,28
P54619,55
Q9BUJ2,78
Q96EZ8,152
Q8TEB9,23
O15013,5
A0A140VJZ4,1
Q96RJ6,11
P98179,43
Q4KMP7,3
Q96F83,1
O15417,13
Q0VAK6,1
G3XAN4,2
O75063,21
Q7RTS9,16
Q96G74,22
Q8TE30,29
Q9P0U0,1
Q15102,38
Q5RKV6,20
P50452,13
Q8IYJ2,12
Q8NE63,25
Q9H0V1,4
Q8IVS2,17
O95715,24
Q8NHW5,15
P16233,9
Q5VTB9,10
Q7RTT5,6
Q9UBS8,18
Q9NUG4,6
Q9Y243,37
Q9UBY5,53
Q5T0L3,13
O95810,13
Q8N998,15
Q96M11,4
Q9UBL3,52
Q02413,38
Q0GE19,11
Q5W111,15
Q8TBP5,82
Q9H6R4,31
P14384,20
Q9UBD5,36
Q8TDN4,7
Q6ZVE7,26
O76050,2
Q9NYV6,7
O94992,27
Q14679,5
H0YE48,1
O75438,14
O15354,55
P78386,46
Q9H2G9,115
O95397,1
Q93079,3
Q9UHP6,44
Q0WX57,6
Q9UNY4,55
Q17RB8,94
A0A0S2Z5F8,1
P21217,21
P60328,141
Q7RTN6,6
O94804,2
O15432,5
Q9H106,4
Q9H3H5,8
P69891,2
Q16828,11
Q5T2R2,8
Q9Y2Q3,106
O95059,26
Q86VH4,1
Q5XPI4,33
Q5JR95,1
Q96BN2,21
P01270,3
Q2M2I3,4
Q9NVV9,99
Q9Y2P7,2
P02778,17
A0AVI4,3
O95931,29
Q9UIB8,3
P13686,12
P17029,21
E9PFW3,1
A0A0G2JJL1,4
A0A0S2Z528,7
V9HW37,2
Q8NDX5,24
Q9BQE6,10
Q17R31,1
Q9BYD5,16
Q9BRI3,71
B1PKZ2,4
Q16678,5
O43665,4
Q96HU1,5
O75052,40
Q9Y546,5
P05089,28
Q8N3R9,57
P56975,1
Q8N0S2,52
A0A0B4J1Z1,2
O43524,46
P06730,44
Q14623,1
E7EWX6,1
O43670,18
P11836,31
O43915,5
B3KW79,1
Q13496,8
Q13620,288
Q9H4L5,49
O15234,45
Q8TF20,1
P57789,1
Q9NS91,57
Q96E16,5
Q8N307,21
A6NK97,1
Q86UR5,6
Q96GB0,1
Q6P5Z2,48
Q6NT04,4
Q8N1F7,59
P82279,9
Q8NFJ5,13
Q96MA6,15
Q9BUQ8,46
Q8TF45,3
Q15198,24
O15347,13
Q96MX6,19
J3KTL2,1
Q3KRA6,1
O94972,65
P46109,77
P31644,1
H0YIB4,2
Q6P4H8,1
Q9NSY0,6
Q02548,42
Q66PJ3,31
Q9C0K7,13
Q96IU4,1
Q5HYC2,3
P48304,3
Q9H2K2,27
P25942,38
P49407,224
P49419,17
P35523,4
Q8NHP7,2
B4E083,1
H3BRN7,1
P15085,1
O75907,8
Q8IY17,17
A0A024R6W2,1
Q6P4D5,1
Q8N4A0,8
P04196,3
P12314,35
Q9UHH9,9
Q6NXR4,16
Q9ULJ1,17
Q96FV9,86
Q6IMI6,1
P52564,8
Q96PC5,52
Q9NVH0,18
A0A2R8YD28,1
Q9ULS5,4
Q9NQW7,16
Q0VAF9,2
Q5VZ52,12
Q9NUI1,14
Q9HCE7,22
Q1RN33,11
Q02985,3
Q14654,11
Q9H9P2,10
Q96CX2,21
Q8NEA5,3
Q7Z4T9,6
Q96DT6,15
O15062,15
P14868,41
Q96BD0,4
P05129,6
Q07817,70
Q1MSJ5,46
I6L9A0,2
A0A068F7M9,1
O60353,12
P51946,43
Q6ZN16,6
Q6ZTA4,2
P46199,38
Q9NY12,65
Q8NG48,1
E7EN77,1
A0A384NQ31,4
Q9UKF2,12
Q13137,165
O43353,56
Q9NP71,2
Q9Y639,5
P04156,402
O43711,83
Q9H6R0,10
P00749,6
Q7Z628,13
Q9NPH3,11
Q13242,23
Q9UET6,112
Q460N3,1
Q08AK7,1
Q96G21,15
Q96LL9,35
P04439,74
Q9C0D9,1
Q9NQN1,1
Q8IWY7,1
Q6XYQ8,2
P56589,5
Q15751,30
Q9P000,17
Q9ULW0,25
Q92901,3
Q9HCK4,23
Q5JWT2,1
Q7Z6I5,11
Q86UN3,3
P42695,37
P02766,52
P43405,31
A1A5B4,2
Q9ULJ7,10
P0CG04,4
Q9HAT2,31
O75339,1
P23786,20
P54278,26
O43347,9
P00734,4
Q8NE31,19
P52435,34
Q8N5W8,2
Q8WXI3,5
P46019,12
Q00653,118
Q6P9F7,21
O95661,18
Q9BRZ2,14
Q9HB90,18
Q96M95,3
Q86WH2,34
Q05516,103
Q05639,93
M0QYS1,1
Q86TV6,7
P41182,117
P35716,2
Q8WVC6,15
Q9H4I9,5
P78345,30
Q8N4Y2,14
Q8WXG6,17
Q8NEP3,6
Q9BZ76,32
P0C5Z0,4
Q15172,29
Q9Y6J8,11
A0A1P0AYU5,14
O43447,26
Q8TCD5,11
Q9NWS1,1
Q9Y291,31
O95436,32
Q96F25,2
O95848,13
Q5TC63,6
Q9ULV8,29
Q8WYQ3,95
P14209,5
Q9Y334,1
P11488,3
P0DP42,1
P46976,14
Q8WXH2,6
P51948,37
Q9H3S7,34
Q9C002,173
P34897,96
Q9H2J4,13
Q9NRP0,16
V9HW63,1
P02461,8
Q9BQB4,24
P56730,4
Q8IWP3,2
O15260,37
Q5TDE9,1
V9HWC7,1
Q9NVH1,52
Q9P2W3,29
Q9Y3E0,182
Q8WXB4,2
Q9BUV0,16
Q8TAB7,7
P35813,62
Q86YH2,1
Q49AR2,6
Q8IUY3,3
A0A0J9YVP6,1
O43462,2
P37802,33
Q9P2S2,2
Q9NPG1,8
P49917,8
Q14980,43
Q8TAD8,89
O95429,164
Q9H1R3,22
Q13061,36
O75635,12
P82673,67
A0A087WYA8,1
Q5HYK3,23
Q08174,11
Q6FHF7,10
Q9P0S3,45
Q8N0W4,2
O96024,3
E7EQZ4,1
Q96C24,26
A6NGQ2,9
Q8TCU4,38
Q6UXT8,2
Q9UI38,18
Q96M69,2
Q8N1C8,1
Q6MZW0,1
Q99733,42
Q9UBK7,1
Q7Z7H3,16
Q99607,1
O00748,1
Q6IAR4,1
O75608,13
P17677,20
Q9UNS2,63
Q9Y6E2,32
H6VRG2,4
Q96CW6,1
P78543,6
Q9NR46,31
O43921,1
Q9NPD8,20
E9PBC6,4
Q5FWF6,1
Q8TBP0,5
Q6LEU2,1
P0DJD3,27
A5PLK6,1
O94830,14
Q8NHW4,36
Q96SB8,53
Q9BUY7,3
P20916,2
Q9H9F9,42
G5E9N2,1
Q9Y2T1,56
Q16515,2
P02655,2
Q9UER7,119
O75752,20
Q96MT8,149
Q96JM2,20
Q5T0Z8,2
P11166,23
Q9NXK6,7
A0A024QZY1,1
Q9GZN1,30
Q9H246,4
Q9BZ71,3
Q9Y256,3
O15075,16
Q7Z782,2
E9KL48,1
Q96DU3,14
P0C7H9,3
Q9BY77,31
Q7Z408,7
Q00994,30
Q9Y2M2,4
Q7Z3Z2,10
O94851,3
Q56A76,2
Q99966,4
Q99712,2
Q53F65,1
H3BUK6,1
Q53XS2,4
Q96KY9,23
Q6NUN9,19
Q8N8N7,5
A0A024R0E2,1
P40305,3
O75147,47
Q9NP61,18
Q8IUH8,3
P00403,26
Q49A26,57
Q7Z5A3,1
Q969Z3,7
Q7Z392,10
Q9BRS2,26
Q9Y210,2
Q8N5N6,4
Q8N8R5,7
Q643R3,8
Q96DN6,7
P04279,27
B3KW34,1
Q9BZK7,33
Q15072,15
Q9HAK2,3
O00506,47
P55075,98
Q6L8H2,41
Q7LBR1,28
Q9UK05,2
P15173,49
A0MZ66,25
Q8WV60,15
Q96HR9,65
O00189,27
Q5T230,2
Q53RY4,2
O43296,28
P46108,256
Q9BYC5,21
B2R5W2,2
Q75VX8,1
Q99988,13
Q9BYR3,62
Q9UI33,1
P50225,7
Q8IZF3,1
O95859,35
E7ETY7,3
Q06033,4
Q9Y2S2,34
Q07866,62
Q8N568,2
O95391,30
Q96P65,2
P32926,2
P08247,61
B2R679,1
Q3SXM5,20
Q2QD09,3
Q96KC2,18
Q9NTG1,1
Q6IS01,5
Q3ZLR7,1
Q03111,30
Q8TB72,16
H7C2E6,3
Q01344,5
P61962,117
P04141,1
Q02747,13
Q641Q3,3
Q86UQ8,3
P33992,63
Q9BWP8,8
Q9Y2P4,10
Q6H9L7,1
V9HW44,1
P30837,23
Q6P9H4,16
A0A024QZN9,1
Q04118,6
Q7Z569,43
Q969R2,9
Q9H0K1,26
E9PG19,1
O60264,58
Q96MM7,5
Q9UKJ5,60
P11226,5
A0A087X295,1
A0A0F7KYT8,1
P35219,33
Q9H8W5,9
Q8NCT1,4
Q06732,6
Q9NPE6,27
P30047,12
Q00005,183
