gene_or_protein,study_bias_score
Q9BYE9,4
Q9Y696,9
Q8IYJ1,1
Q59EK9,54
P06702,43
Q5T6M2,1
P55201,21
K7ERC4,3
A8MT65,1
O60870,2
Q13557,133
Q15466,12
Q96RN1,2
P22307,13
Q8N336,3
P51648,66
P54826,1
Q92791,9
Q9C005,73
Q8IVH2,15
P41134,34
Q06055,2
Q7Z738,1
Q6XQN6,8
O95478,50
Q02978,41
Q5HYM0,1
O95858,61
Q9Y5W5,9
P36954,27
Q6IAT9,1
Q06141,4
Q59GR8,1
A6NK59,1
O43155,1
Q5VUA4,26
Q9UKW6,3
O75334,3
Q12912,2
Q96SI1,19
P19883,15
Q9BYZ2,10
Q9UL33,36
P04233,143
Q15746,13
Q6RVD6,26
Q6Y1H2,31
Q9Y6E3,3
Q5NDL2,20
Q6P593,1
A2A274,2
Q8NCR9,2
Q14766,31
Q2MV58,122
Q9NUY8,15
Q02161,7
Q9UKB3,15
Q9NR81,10
P0DMU9,6
Q5GH72,1
H0Y8D1,3
B4DIR9,1
Q96JP2,2
Q16854,55
Q15853,26
Q9NVC6,41
Q9C0E8,40
Q96HR3,29
A0A0S2Z4I0,2
Q86UN6,15
Q8WUE2,5
O43679,27
P62861,17
Q8TCD0,1
Q59E92,1
P32246,21
Q8WVC0,30
Q9HCJ5,4
Q8TAC1,1
Q6PIF6,3
Q5TB53,4
Q92782,11
Q969W9,7
O00411,35
X5D2M4,1
P67809,307
Q14677,73
Q9BQ04,42
Q6TFL3,1
Q6Q788,16
Q9H6L5,19
Q9UMS0,22
P09565,1
P35326,11
Q99612,6
Q9Y5T4,5
A9Z1X7,3
Q5ZF01,1
Q13231,4
Q99541,7
Q96Q42,17
P28698,2
Q9NR31,82
Q9HBL8,2
P00488,9
O14874,22
Q59ET3,1
Q8N3C0,26
P17030,3
Q9Y606,18
Q01668,3
Q19T08,4
Q5T5S1,28
P55056,23
Q52LD8,8
Q9NX62,16
Q9H641,1
O00203,38
Q9NQY0,27
Q13148,50
Q9BWG4,22
Q9H3W5,2
Q9UH65,8
O95863,62
B4E127,2
Q9BQ95,101
P24390,31
P08034,44
P50440,3
Q9NT62,31
P08603,14
Q7Z3Y8,142
Q16658,50
Q96MU7,38
O14628,8
Q9NRD9,1
Q70JA7,15
P32927,8
Q3SYC2,1
E9PDU5,1
P53667,28
Q9UPY5,9
Q9NUL3,41
Q9UDR5,8
Q9Y2Z2,23
Q8NDX2,4
Q9H7C4,41
Q13901,26
Q8N4H5,6
Q5U649,2
Q9BX70,37
Q6AZZ1,40
Q9Y5B0,17
Q9Y5H2,9
O76064,68
O60664,34
Q6IA98,7
Q9BVS5,233
Q15165,64
Q9UBM1,2
O00499,69
Q7Z6R9,60
Q9HAT8,19
A0A0S2Z507,4
O75841,48
Q8WWA6,4
O95573,35
Q9ULH0,48
P62805,117
E9PRZ1,1
O15162,59
Q8TDR3,1
Q9Y3B4,36
Q6IBB0,2
Q8NHQ1,250
B5MBZ0,1
Q86Y56,37
P22415,40
Q9BRR0,22
P36888,15
Q5W012,4
O75771,63
O15375,2
Q9BZQ8,4
O15240,3
Q99435,35
Q9NXJ5,11
Q5U623,1
D3DPS3,1
Q8N7Q3,1
P78509,1
Q5TAX3,12
Q15542,19
O75636,1
A4D1W7,3
Q9NYW3,11
Q6ZP29,10
Q9NR50,36
E9PEN0,3
P16949,20
P46977,27
O75182,31
P51164,3
B3KSH4,40
Q9Y394,35
O15127,10
Q99816,123
Q9BXP2,16
Q5JVY0,1
B7Z207,18
Q8N695,22
Q96BK5,113
Q92908,2
E5RGH0,1
O15078,111
B9EG76,1
P36508,85
Q9BWV1,7
A8MTZ0,7
Q9Y4D8,9
Q8TE69,1
O75844,22
Q8N0U6,1
Q8TDX7,25
Q99999,8
P07204,24
Q99518,1
Q9BVA0,40
Q86UA6,5
Q9H7Z3,14
Q9NP59,3
C9JEH3,1
Q8IWL3,738
Q92535,2
P09237,15
Q8NCN4,47
Q8TD26,10
Q9H2F9,13
O95267,3
Q8TBZ2,7
P17844,133
O76096,8
Q9GZT6,34
E5RGS4,2
B0AZQ4,1
Q9Y5X5,3
P05120,47
Q496H8,1
P08397,4
Q96DB5,4
Q96S37,3
P48594,56
P50052,2
B3KNN7,1
Q96HZ7,3
Q9UJK0,22
O95630,47
Q5T2X4,1
P15309,19
Q68CZ2,13
P78536,21
Q8NEP9,6
Q96EU7,8
Q8N9W8,2
Q92733,32
Q96P53,27
O95870,70
P01893,5
Q8N344,26
B3KXM2,2
O43567,28
Q02224,26
Q9H4B8,3
P31323,64
Q96F82,1
Q14C61,7
P29466,21
B4E312,1
O75448,41
Q9Y4A0,6
Q9BVG3,25
Q17RF5,40
Q9BXT8,3
P15863,1
F5H365,2
Q03001,62
B4DH61,2
Q8TAD7,9
Q9Y587,20
Q5JNW7,3
Q8WU58,37
P37231,42
Q9HCG7,11
Q13164,22
O95389,4
O43294,10
Q3LI70,64
Q86W26,1
Q32P28,32
H0YB92,1
A3KFJ0,1
Q96M94,40
Q8TCT9,18
P26441,20
J3KR97,1
O60888,22
Q9BSM1,43
Q14773,9
P56134,30
A8K2B9,1
P16671,12
Q5JTZ5,2
Q8N2W9,44
Q9Y4A5,66
B1ATL7,4
Q9Y216,8
Q8NDP4,21
Q9P2Q2,4
O15079,4
P21912,45
P16422,2
Q15003,29
Q14868,1
Q5BKZ1,40
Q7Z6G8,15
Q5JR12,8
A0A024RBE8,1
Q9BT43,25
Q9HCM9,76
Q8TAE6,2
Q13685,14
C9JLW8,5
Q9HCC8,5
P14735,53
Q9P0U4,39
Q9H6K1,2
Q9BXW7,14
C4AM86,1
B2RWN7,1
Q8N661,105
Q99743,15
P30740,12
Q15116,52
Q9Y294,43
Q15818,33
P52741,3
Q86SE9,39
Q99829,9
Q9Y576,4
Q8WXK4,9
Q00534,38
Q9BV35,19
V6DZ76,2
Q99985,3
Q9HCS4,1
Q76N32,16
P86790,9
Q69YN4,28
Q7Z7G8,13
O00744,6
Q07627,185
P41159,4
Q9BQP7,21
P35240,65
Q9BTK6,15
P58317,20
Q9BYJ0,1
A8CGI2,1
Q92843,57
Q9P2Z0,11
Q96HY3,3
Q96MW5,18
Q16600,5
A6NKF1,1
Q8NBJ4,116
Q8WWX8,2
Q9BQI5,2
Q9NY27,35
Q6UWE0,44
Q9Y5G9,3
Q9H2H9,79
Q8WUA2,20
Q5T5P2,26
Q59FY4,1
Q9BZX4,2
Q8WU02,7
Q8N4P6,1
H0UI80,1
Q9Y2G0,8
Q5SZK8,17
Q2VPB7,9
Q504R6,1
Q9BX73,14
O75355,15
Q08493,9
Q5MJ70,6
Q9HCK0,35
Q99684,13
Q9NY56,6
P12111,6
O75264,1
O94993,4
A8K7Q2,6
P20020,30
Q7Z7K6,26
Q92764,94
Q9UK32,30
Q15528,28
Q96BA2,2
Q4KMQ1,24
Q9Y5Q5,4
Q9BQ69,23
E7EMZ9,2
Q9C099,22
Q14576,7
Q50LG9,2
Q6PI25,6
E7D7X9,1
Q14999,25
A0A087WZZ9,1
Q9UH62,20
O60729,17
Q08397,9
O15146,10
Q96IF1,17
Q9NW13,66
Q13153,69
P14415,3
Q8WW33,5
Q96IC2,10
Q9NQF3,1
Q3KP66,43
Q99728,49
Q8NH93,1
A0A0S2Z4M1,28
Q8N743,22
A6NHQ4,19
A0A024RAQ3,1
Q9Y3B7,59
Q96FT7,42
Q8N2H4,17
Q7RTS7,15
Q9NQS3,36
Q8IUB2,2
Q07912,39
Q92922,78
Q9C019,9
Q9UHE5,25
Q9BTE1,20
O95868,4
Q5VY09,11
Q12879,4
Q8WWG1,5
Q9UBP5,25
A8K287,5
Q96J87,2
O60281,10
Q8N4S0,17
Q9NVU0,50
O15247,4
Q9NVM1,5
P30273,6
Q32M45,1
E9PH82,1
Q15006,108
Q92974,44
Q9HAZ1,14
Q86SX6,17
P56270,19
P78347,53
P62633,141
Q49AR9,80
P05023,67
P82930,78
Q9BYG5,84
P52569,23
Q9BX51,1
Q9UDX3,20
Q96HF1,13
Q8NEG4,3
Q496F6,8
P01375,92
Q9BPY8,4
Q86VP3,13
E5RIW3,1
A0A140VK69,1
B2R9H7,3
Q6BCY4,17
Q6IQ19,1
P55347,19
A0A0S2Z3H3,1
Q9H3H9,12
Q6P3X8,1
Q6ZSC3,3
Q13404,42
Q96HH0,6
Q5T3I0,104
Q9NSE4,59
P08729,10
Q9BTB7,1
Q96MT7,2
Q6FHL7,2
Q9BYF1,2
F8W1M6,1
O00472,26
P50991,143
O60224,2
Q16539,113
A4D110,3
Q7Z6L1,15
Q13444,44
P49765,6
Q5T3G3,9
J3KNF4,2
Q66LE6,94
E9PF49,1
O15427,13
Q6IEG0,13
P08670,196
Q5JRA6,42
E9PJD7,9
O00445,6
Q9H8J5,89
B2RUU2,1
Q9NUC0,11
O96006,59
O43610,27
Q9NVA2,16
Q5VVX9,68
Q96GJ1,8
F5GWT4,4
F8WBS4,1
Q53EQ6,41
Q9H875,8
Q0IIN5,1
Q6IN84,71
Q9BQY9,3
Q96Q77,55
Q9Y6G9,25
Q92496,9
V9HWJ5,5
Q9BQI0,6
P25685,56
Q6UX53,4
Q96N95,16
Q8TED9,2
B4DE76,1
Q5SWH9,3
Q12766,8
Q701N4,45
Q9C009,106
P25789,44
Q99808,23
