gene bait_usage
A0A024R136 2
A0A024R275 2
A0A024R493 2
A0A024R4B0 2
A0A024R4Q5 2
A0A024R4Z4 2
A0A024R5S0 2
A0A024R6G0 1
A0A024R6X4 2
A0A024R8A9 1
A0A024R8L2 2
A0A024R8L5 2
A0A024RA76 1
A0A024RBS3 1
A0A024RCD1 2
A0A024RCZ4 2
A0A087WSW0 2
A0A087WUI6 2
A0A087WZT3 2
A0A087WZU1 2
A0A087WZY1 2
A0A0A0MR80 2
A0A0B4J1Y2 2
A0A0B4J2F0 2
A0A0B4J2F2 2
A0A0C4DFN3 2
A0A0C4DFT7 2
A0A0C4DFY0 2
A0A0C4DFY5 2
A0A0C4DG38 2
A0A0C4DG62 2
A0A0C4DG91 2
A0A0C4DG94 2
A0A0C4DGF1 2
A0A0C4DGJ5 2
A0A0C4DGM4 2
A0A0C4DGQ3 2
A0A0C4DGQ7 2
A0A0C4DGT3 2
A0A0C4DGV4 2
A0A0C4DGX9 2
A0A0G2JHK4 2
A0A0K2S4Q6 2
A0A0S2Z328 2
A0A0S2Z364 2
A0A0S2Z3D2 2
A0A0S2Z3D6 2
A0A0S2Z3E6 2
A0A0S2Z3E8 2
A0A0S2Z3E9 2
A0A0S2Z3G1 2
A0A0S2Z3K0 2
A0A0S2Z3N5 2
A0A0S2Z3N6 2
A0A0S2Z3P2 2
A0A0S2Z3R2 2
A0A0S2Z3S1 2
A0A0S2Z3T7 2
A0A0S2Z3U4 2
A0A0S2Z3V1 2
A0A0S2Z3X1 2
A0A0S2Z3Y6 2
A0A0S2Z3Z3 2
A0A0S2Z408 2
A0A0S2Z442 2
A0A0S2Z470 2
A0A0S2Z4A7 2
A0A0S2Z4D7 2
A0A0S2Z4D9 2
A0A0S2Z4E4 2
A0A0S2Z4E5 2
A0A0S2Z4F2 2
A0A0S2Z4G9 2
A0A0S2Z4H3 2
A0A0S2Z4I0 2
A0A0S2Z4M0 2
A0A0S2Z4M1 2
A0A0S2Z4M5 2
A0A0S2Z4P3 2
A0A0S2Z4Q4 2
A0A0S2Z4Q8 1
A0A0S2Z4U3 2
A0A0S2Z4Y0 2
A0A0S2Z4Y8 2
A0A0S2Z4Z6 2
A0A0S2Z505 2
A0A0S2Z507 2
A0A0S2Z515 2
A0A0S2Z528 2
A0A0S2Z545 2
A0A0S2Z547 2
A0A0S2Z551 2
A0A0S2Z576 2
A0A0S2Z596 2
A0A0S2Z5B5 2
A0A0S2Z5C1 2
A0A0S2Z5D3 2
A0A0S2Z5D5 2
A0A0S2Z5E1 2
A0A0S2Z5F2 2
A0A0S2Z5F8 2
A0A0S2Z5G4 2
A0A0S2Z5I3 2
A0A0S2Z5K2 2
A0A0S2Z5K4 2
A0A0S2Z5K8 2
A0A0S2Z5Q7 1
A0A0S2Z5R8 2
A0A0S2Z5S9 2
A0A0S2Z5T9 2
A0A0S2Z5W7 2
A0A0S2Z5W9 2
A0A0S2Z5X4 2
A0A0S2Z5Y1 2
A0A0S2Z5Y6 2
A0A0S2Z5Y8 2
A0A0S2Z5Z3 2
A0A0S2Z5Z9 2
A0A0S2Z604 2
A0A0S2Z615 2
A0A0S2Z639 2
A0A0S2Z645 2
A0A0S2Z6A9 2
A0A0S2Z6B0 2
A0A0S2Z6F4 2
A0A0S2Z6H0 2
A0A0S2Z6I7 2
A0A0S2Z6M9 2
A0A0S2Z6P0 2
A0A0S2Z6U5 2
A0A0S2Z6X0 2
A0A0U1RRE5 1
A0A142JA41 2
A0A158RFV5 2
A0A1B0GUV7 2
A0A1B0GWI1 2
A0A1U9X8X8 2
A0A286YEY3 2
A0A286YFD7 2
A0A2K7P776 2
A0A2R8YD28 2
A0A384DVV8 2
A0A384ME17 2
A0A384ME25 1
A0A455ZAR2 2
A0A494C108 2
A0A583ZBW7 2
A0A583ZBW8 2
A0AUL9 2
A0AV02 2
A0AV96 2
A0AVF1 2
A0AVG3 2
A0AVK6 2
A0AVN2 1
A0AVT1 2
A0FGR8 2
A0FGR9 1
A0JLT2 2
A0JP07 2
A0JP26 2
A0MZ66 2
A0PHL1 2
A0PJW6 2
A0PJX0 2
A0PJX2 2
A0PJX4 2
A0PJY2 2
A0PK00 2
A0PK05 2
A0PK11 1
A1A4F0 2
A1A4S6 2
A1A4V9 2
A1A519 2
A1A580 1
A1A5B0 2
A1A5B4 2
A1A5C7 2
A1A5D2 2
A1DRY3 2
A1E959 2
A1KXE4 2
A1L0T0 2
A1L157 2
A1L188 2
A1L190 2
A1L1C6 2
A1L390 2
A1L3X4 1
A1L429 1
A1L443 2
A1L4F5 1
A1L4G7 2
A1L4H1 2
A1L4K1 2
A1L4L9 2
A1X283 2
A1XBS5 2
A2A2V5 2
A2A2Y4 2
A2A3K4 2
A2A3R6 2
A2BDD9 2
A2BDE7 2
A2IDD5 2
A2RRC6 2
A2RRC9 2
A2RRD8 1
A2RRG2 2
A2RRH5 2
A2RRL7 2
A2RRL9 1
A2RRP1 2
A2RTX5 2
A2RU14 2
A2RU30 2
A2RU48 2
A2RU67 2
A2RU80 2
A2RUC4 2
A2RUH7 2
A2RUQ5 2
A2RUT3 2
A2RUU4 2
A2VCK2 2
A2VDF0 2
A4D0P7 2
A4D0Q3 2
A4D161 2
A4D1B5 2
A4D1E9 2
A4D1I3 1
A4D1P6 2
A4D1S0 2
A4D1S5 2
A4D1T9 2
A4D1W7 2
A4D2B0 2
A4D2J0 2
A4D2J9 2
A4D2P6 2
A4FTV9 2
A4FU01 2
A4FU49 2
A4FVC0 1
A4PIV7 1
A4PIV8 2
A4PIV9 2
A4PIW0 2
A4QMS7 2
A4QPB0 2
A4UGR9 2
A5D8T8 2
A5D8V6 2
A5D8V7 2
A5D8W4 2
A5D903 2
A5PKU2 1
A5PKW4 2
A5PL33 2
A5PLN9 2
A5X5Y0 2
A5YKK6 2
A5YM69 2
A5YM72 2
A6H8W8 2
A6H8Z2 2
A6NC98 2
A6NCF5 2
A6ND01 2
A6ND36 1
A6ND48 2
A6ND91 2
A6NDB9 2
A6NDG6 2
A6NDP7 2
A6NE52 2
A6NE82 2
A6NED2 2
A6NEQ0 2
A6NER0 2
A6NFR6 1
A6NFY7 2
A6NGG8 2
A6NGQ2 1
A6NH52 2
A6NHC0 2
A6NHJ4 1
A6NHL2 2
A6NHQ4 2
A6NHR9 2
A6NI15 2
A6NI28 2
A6NI72 2
A6NJ78 2
A6NJB7 2
A6NJL1 2
A6NK59 2
A6NK89 2
A6NKB5 2
A6NKF2 2
A6NKM8 2
A6NLU0 2
A6NLX3 1
A6NMK7 2
A6NMU8 2
A6PVS8 2
A6ZKI3 2
A7E2Y1 2
A7KAX9 2
A7MCY6 2
A7MD48 2
A8K0Y0 2
A8K0Z3 2
A8K251 1
A8K287 2
A8K2B9 2
A8K2M0 1
A8K2R3 1
A8K3C2 2
A8K3Q9 2
A8K4G0 1
A8K571 1
A8K5H9 1
A8K660 1
A8K7B7 2
A8K8P3 2
A8K8V0 2
A8K8Y5 1
A8K900 1
A8K932 1
A8K940 1
A8K979 2
A8K9C1 2
A8KA13 2
A8KA83 2
A8MQ03 2
A8MRB1 2
A8MT69 2
A8MT70 2
A8MTA8 2
A8MTQ0 2
A8MTZ0 2
A8MUH7 2
A8MUP2 2
A8MV65 2
A8MV81 2
A8MVS5 2
A8MVW5 2
A8MW92 2
A8MW95 1
A8MWD9 2
A8MXD5 2
A8MYP8 2
A8MYZ6 2
A8MZ59 2
A9QM74 2
A9UEZ6 2
A9UF07 2
A9UGY9 1
A9UHW6 2
B0B1U2 1
B0FTY2 1
B0LPE5 2
B0UZZ8 2
B0YJ76 1
B0YJ81 2
B1AHB0 1
B1AHC3 2
B1AK13 2
B1ALG1 2
B1APZ0 1
B1AQ61 2
B2R4U6 2
B2R550 1
B2R6J3 1
B2R7W0 2
B2R886 2
B2R894 2
B2R8T5 2
B2R8Y4 1
B2R9H7 1
B2R9Y1 1
B2RAB7 2
B2RB89 1
B2RC52 1
B2RC85 2
B2RDC9 1
B2RDE6 2
B2RDP1 2
B2RDU6 2
B2RNN3 2
B2RTY4 2
B2RU33 2
B2RUY7 2
B2RUZ4 1
B2RV13 2
B2RWN4 2
B2RWP4 2
B2RXF5 2
B2RXH8 2
B2Y833 2
B3KM70 2
B3KPL7 2
B3KPU6 1
B3KQG4 1
B3KSH4 1
B3KSW4 2
B3KTP4 1
B3KTQ9 2
B3KTT5 2
B3KUN1 2
