node1 node2
Q9UBS8 P04150
Q9UBS8 Q13772
Q9UBS8 P03372
Q9UBS8 P51965
Q9UBS8 FAM46A
Q9UBS8 P10275
Q7Z7E8 Q9UNE7
Q8N5U6 C1orf103
Q8N5U6 P68104
Q8N5U6 Q04724
Q8N5U6 Q9BVJ6
Q8N5U6 P29400
Q8N5U6 Q9GZT6
Q8N5U6 Q15047
Q9Y3C5 C1orf124
Q9Y3C5 O00308
Q9Y3C5 Q96J02
Q9Y3C5 Q9H0M0
Q9Y3C5 P46934
Q9Y3C5 Q9Y2X8
Q9Y3C5 O95630
Q9Y3C5 P62837
Q9Y3C5 P45974
Q9Y3C5 "['P0DP91', 'Q03468']"
Q9Y3C5 P51668
Q9Y3C5 Q13546
Q9Y3C5 O95405
Q9Y3C5 Q9Y6K9
Q9Y3C5 Q9BSL1
Q9Y3C5 QARS
Q9Y3C5 Q9UM54
Q9Y3C5 Q9UNA4
Q9Y3C5 Q96BQ5
Q9Y3C5 P42566
Q9Y3C5 Q9HAU4
Q9Y3C5 Q7Z6Z7
Q9Y3C5 Q9UHD9
Q9Y3C5 Q13137
Q9Y3C5 Q7Z3T8
Q9Y3C5 Q9NRR5
Q9Y3C5 P08575
Q9Y3C5 P08621
Q9Y3C5 Q13191
Q9Y3C5 P62979
Q9Y3C5 Q96CV9
Q9Y3C5 Q9UJ41
Q9Y3C5 Q9Y6I3
Q9Y3C5 Q9H201
Q9Y3C5 O95208
Q9Y3C5 Q9UJY5
Q9Y3C5 Q96GG9
Q9Y3C5 Q9NZ52
Q9Y3C5 Q15025
Q9Y3C5 O00560
Q9Y3C5 Q86VP1
Q9Y3C5 Q15751
Q9Y3C5 P61088
Q9Y3C5 Q8IYW5
Q9Y3C5 Q8WUM4
Q9Y3C5 P21580
Q9Y3C5 Q96PU5
Q9Y3C5 P62987
Q9Y3C5 O95714
Q9Y3C5 Q9GZX5
Q9Y3C5 Q6ZVM7
Q9Y3C5 P0CG47
Q9Y3C5 P0CG48
Q9Y3C5 Q9H1I8
Q9Y3C5 O75886
O75628 P63104
O75628 Q08289
O75628 Q02641
O75628 P27348
O75628 O00305
O75628 Q04917
O75628 P62258
Q7LBR1 O75643
Q7LBR1 Q9H9A5
Q7LBR1 C15orf23
Q7LBR1 Q08945
Q7LBR1 Q9H444
Q7LBR1 O95630
Q7LBR1 Q02833
Q7LBR1 P62491
Q7LBR1 P53597
Q7LBR1 Q9UN37
Q7LBR1 O75351
Q7LBR1 Q9HD42
Q7LBR1 Q9NZZ3
Q92871 P20340
P00966 P15502
P00966 Q9H1I8
P00966 Q9H8T0
P00966 P10398
P49789 P63279
P49789 P12931
P49789 P10809
P49789 P22570
P49789 P06396
Q8N972 P62330
Q14112 P11047
Q14112 Q5TAT6
Q14112 P15502
Q14112 P12757
Q14112 P98160
Q14012 P29475
Q14012 Q9UQL6
Q14012 "['P0DP24', 'P0DP23', 'P0DP25']"
Q14012 O43432
Q14012 P04406
Q14012 Q96RR4
Q14012 Q8N5S9
Q14012 P18846
Q14012 P17600
P35270 Q13555
Q96C28 Q99750
Q16566 P29475
Q16566 P56524
Q16566 P04406
Q16566 Q96RR4
Q16566 Q8N5S9
Q16566 Q04206
Q16566 Q92793
Q96K80 Q93062
Q96K80 P54253
Q9Y508 Q9Y6K8
Q9Y4L5 SSSCA1
Q9Y4L5 P51149
Q6PJT7 P35900
Q6PJT7 Q9UPT5
P16150 Q9UER7
P16150 P06241
P16150 P15311
P16150 P35222
P16150 P26038
P16150 P05362
P16150 P09382
P16150 Q9BZZ2
Q6ZNA4 O15105
Q6ZNA4 O43541
Q6ZNA4 Q9HAU4
Q6ZNA4 O15169
Q6ZNA4 P84022
Q05586 P30153
Q05586 P35637
Q05586 Q13813
Q05586 P01112
Q05586 TUBA4
Q05586 P35222
Q05586 P36507
Q05586 P19174
Q05586 Q13114
Q05586 Q05193
Q05586 Q00610
Q05586 O14578
Q05586 P27824
Q05586 Q92796
Q05586 Q15700
Q05586 P78352
Q05586 "['P0DP24', 'P0DP23', 'P0DP25']"
Q05586 P07196
Q05586 P11137
Q05586 P35579
Q05586 Q00839
Q05586 Q8TCU5
Q05586 "['P0DMV9', 'P0DMV8']"
Q05586 Q9Y2H0
Q05586 Q13115
Q05586 P19022
Q05586 P29323
Q05586 P10114
Q05586 P21359
Q05586 P54760
Q05586 P63151
Q05586 P05771
Q05586 Q02156
Q05586 Q9UQM7
Q05586 P05129
Q05586 P00750
Q05586 Q96PV0
Q05586 Q02447
Q05586 Q07157
Q05586 P35609
Q05586 P51812
Q05586 Q8WY41
Q05586 Q14114
Q05586 Q99996
Q05586 P21728
Q05586 Q13224
Q05586 Q12879
Q05586 O15399
Q05586 Q16352
Q9UG56 Q8NCG7
Q9UG56 Q7Z478
Q08211 Q16637
Q08211 P38398
Q08211 Q16637
Q08211 Q08945
Q08211 Q07666
Q08211 Q6P2Q9
Q08211 P05412
Q08211 Q00403
Q08211 Q9ULX6
Q08211 SIP1
Q08211 MGEA5
Q08211 P07910
Q08211 P11388
Q08211 P12004
Q08211 Q00341
Q08211 Q9UBU9
Q08211 Q99873
Q08211 Q9UHI6
Q08211 P24928
Q08211 P14678
Q08211 Q96SB4
Q08211 Q04206
Q08211 O95793
Q08211 P08579
Q08211 P20226
Q08211 P57678
Q08211 Q9UBB5
Q08211 Q12906
Q13428 P12004
Q13428 O00567
Q13428 P17480
Q13428 P19784
P52948 Q99567
P52948 P18754
P52948 O00410
P52948 P37198
P52948 Q9UBU9
P52948 Q8WUM0
P52948 P55735
P52948 Q14974
P52948 Q92973
P52948 P12270
P52948 Q09472
P52948 Q92793
P52948 P78406
Q01831 P54727
Q01831 P54725
Q01831 P32780
Q01831 P19447
Q01831 Q13569
Q01831 P41208
Q01831 P62310
Q01831 Q15797
Q01831 Q92466
P08047 P11142
P08047 Q6VMQ6
P08047 P10276
P08047 P14921
P08047 P01106
P08047 RNASEN
P08047 P38398
P08047 P29353
P08047 Q02447
P08047 Q02446
P08047 P56645
P08047 P84022
P08047 P68400
P08047 P24385
P08047 Q5U623
P08047 Q09028
P08047 P06729
P08047 Q16665
P08047 P56693
P08047 P18146
P08047 P05412
P08047 Q15459
P08047 Q13285
P08047 Q8N108
P08047 O00268
P08047 Q92731
P08047 P03372
P08047 P20226
P08047 P41235
P08047 Q06413
P08047 C14orf106
P08047 Q14814
P08047 Q13547
P08047 Q92769
P08047 P25490
P08047 Q13485
P08047 Q15796
P08047 P78527
P08047 Q04864
P08047 Q9Y618
P08047 O75376
P08047 Q05516
P08047 P10589
P08047 P27361
P08047 P28482
P08047 P29590
P08047 P17542
P08047 P28749
P08047 P19793
P08047 P17096
P08047 Q6W2J9
P08047 P04637
P08047 Q09472
P08047 Q04206
P08047 Q14209
P08047 P40337
